x;y;z
0.2712094;1.3291265;0.6599929
0.42370906;1.1864204;0.5865703
0.4188452;1.2648335;0.74593216
0.43415895;1.3484128;0.86396205
0.5214075;1.228701;0.82972026
0.6411387;1.1298596;0.7690847
0.74335533;1.0531155;0.6908673
0.785258;1.0650295;0.7053995
0.87235105;1.0098112;0.6618744
1.2075182;-1.1829494;2.6567614
2.4478524;-0.38959527;-1.5322577
1.0978781;0.9260034;0.6324173
0.98059183;0.9579918;0.61636484
0.7896274;1.0724975;0.7116891
0.46791622;1.2735068;0.82692075
0.5386761;1.3351042;0.8049682
0.6186878;1.1942127;0.6915239
0.7084314;1.1073323;0.6616615
0.8247226;1.218073;0.7353578
0.8877192;1.4178383;0.926421
0.792913;1.6435452;0.90823936
0.85801685;1.5322164;1.003921
0.6864888;1.4181079;0.846294
0.55520815;1.5299727;0.8277761
0.34196615;1.8286595;0.7558931
0.25372973;2.1592057;0.77560914
0.27800477;2.0105453;0.76474404
0.4373555;1.5249717;0.74637306
0.7720334;1.1289707;0.66971457
0.92059606;0.9981021;0.60561615
0.66073114;1.1421937;0.67423916
0.6514116;1.1543308;0.6761818
0.797064;1.0837362;0.6470649
1.2344791;-1.135659;2.6193368
2.6423721;-0.497867;-1.658773
1.2129427;0.9749606;0.6430676
0.99370426;0.9929309;0.6141073
0.8050583;1.1517022;0.74672896
0.33664542;1.7223713;0.91427606
2.2787888;-3.126582;1.8745337
0.15892324;1.3268301;0.5098227
0.14237677;1.2208391;0.49365935
0.24676126;1.1155273;0.47370684
0.19458936;1.1386603;0.4411194
0.15739632;1.2019522;0.43974862
0.118697025;1.2705802;0.47271737
0.15619837;1.225211;0.4844335
0.17741582;1.1418602;0.45412794
-0.005867026;1.4520515;0.56491315
0.030107863;1.4709438;0.58787
-0.14741313;2.0656655;0.6563157
0.09932589;1.7021683;0.6581415
0.23697773;1.57469;0.7849816
0.2618421;1.9202071;0.79285586
0.4552871;1.408549;0.8408231
0.56404084;1.2877434;0.8539517
0.6480946;1.1995921;0.8474674
1.0162557;-0.9022949;3.0359464
2.1732702;0.4049868;-0.73771757
0.83526915;1.0685146;0.7360308
0.85740787;1.1131706;0.81745267
0.8359014;1.2809798;0.89703
0.6300357;1.5870447;0.965793
0.3278964;1.6178167;0.75681806
0.15264606;1.4462444;0.7776666
-0.040914603;1.487999;0.57353634
-0.049775578;1.3002409;0.51687884
0.09720365;1.1489596;0.45137098
0.2849942;1.0513918;0.41835424
0.21480417;1.0757102;0.45457906
0.15570287;1.1395;0.52848524
0.16313107;1.1800123;0.57958704
0.014082604;1.3916003;0.6127354
-0.08210581;1.5565244;0.6516437
-0.08279092;1.5875417;0.65171874
-0.09470899;1.6248888;0.7647952
0.07761452;1.4666253;0.7625793
0.13889265;1.3715903;0.8053346
0.1549644;1.4187213;0.893431
0.15680227;1.4118433;0.8208132
0.36759028;1.3472592;0.8587672
0.9136494;-0.7166497;3.217292
1.9844652;0.3432539;-0.7433567
0.74086773;1.128723;0.7910886
0.79125565;1.0786747;0.77442694
0.8546381;1.1155057;0.7978849
0.6768742;1.1705242;0.81206334
0.54540277;1.2542537;0.8373176
0.34063944;1.3169636;0.70885384
0.15487817;1.361238;0.6992351
0.10030531;1.2665681;0.6018444
0.20432636;1.0477934;0.49174425
0.2402004;0.99787116;0.44026503
0.1955934;1.0152689;0.42844787
0.024962418;1.1569824;0.46602014
0.021921836;1.2039633;0.5133958
0.063744806;1.2563175;0.63530177
-0.14487235;1.6327183;0.725158
-0.22608826;1.8343174;0.7631061
0.041958652;1.5332711;0.749143
0.22731382;1.3185031;0.7900089
0.29632196;1.3450958;0.84911036
0.3936158;1.2597752;0.81659526
0.45693034;1.2581465;0.80184996
0.5200299;1.2880307;0.8417833
0.98027766;-0.98131883;3.0568438
2.1445048;0.27160722;-0.83969957
0.7315789;1.2129692;0.8542619
0.7112159;1.3588775;0.9485902
0.594106;1.5431219;0.9878361
0.2114963;2.0850482;0.9682594
-0.18616727;2.3774152;0.7214649
-0.21901526;1.9407324;0.6790603
-0.17774963;1.6118766;0.5858184
-0.044912793;1.3474289;0.55958605
-0.018335886;1.318154;0.5253119
0.0050776834;1.2704695;0.48317716
0.07842293;1.171583;0.40805724
0.105013035;1.1402284;0.4551266
0.02093976;1.2808255;0.45718235
-0.3337491;1.9054513;0.55041826
-0.39195684;2.2343972;0.46504998
-0.16454116;2.1169868;0.63828266
0.10424038;1.7848662;0.74478775
0.26105386;1.6049476;0.7672378
0.5181245;1.2639651;0.8064324
0.4762609;1.490281;0.8029875
