x;y;z
1.1072461328248595e-06;-5.572366053369678e-06;5.041865751424637e-05
1.1072461327119204e-06;-5.572366053447626e-06;5.0418657514107536e-05
1.1072461328055527e-06;-5.572366053389291e-06;5.0418657514286796e-05
1.1072461328534181e-06;-5.572366053370697e-06;5.041865751436845e-05
1.1072461328181311e-06;-5.572366053361368e-06;5.0418657514371106e-05
1.1072461328749666e-06;-5.572366053440718e-06;5.0418657514323726e-05
1.1072461331363093e-06;-5.572366053518902e-06;5.041865751425908e-05
1.1072461330462867e-06;-5.572366053483239e-06;5.04186575142661e-05
1.1072461332959975e-06;-5.57236605357803e-06;5.041865751413864e-05
-0.000107103057322401;-0.0030292559261771144;0.0005151857435227625
0.003067651910675869;9.36382864408134e-06;-0.005188634514818903
1.1072461337952652e-06;-5.572366053672737e-06;5.0418657514600205e-05
1.1072461334851363e-06;-5.572366053547503e-06;5.041865751436405e-05
1.1072461331153817e-06;-5.572366053507233e-06;5.0418657514278386e-05
1.1072461327963194e-06;-5.572366053387698e-06;5.041865751431648e-05
1.1072461327848057e-06;-5.572366053401401e-06;5.041865751431192e-05
1.1072461328041225e-06;-5.572366053434006e-06;5.041865751423639e-05
1.107246133057378e-06;-5.572366053454606e-06;5.041865751432883e-05
1.1072461330321497e-06;-5.5723660535510184e-06;5.0418657514362365e-05
1.1072461327314267e-06;-5.572366053444678e-06;5.041865751424197e-05
1.1072461328317915e-06;-5.572366053325678e-06;5.04186575142984e-05
1.1072461327657415e-06;-5.572366053372377e-06;5.041865751425313e-05
1.1072461327879844e-06;-5.572366053416598e-06;5.041865751426783e-05
1.1072461328466188e-06;-5.572366053379436e-06;5.041865751429596e-05
1.1072461330207658e-06;-5.572366053544032e-06;5.041865751437572e-05
1.1072461331473182e-06;-5.572366053581724e-06;5.041865751448953e-05
1.1072461330941578e-06;-5.572366053569446e-06;5.041865751442216e-05
1.107246132855985e-06;-5.572366053313347e-06;5.0418657514306684e-05
1.1072461328982863e-06;-5.57236605338166e-06;5.0418657514222814e-05
1.1072461330045644e-06;-5.572366053394465e-06;5.041865751411442e-05
1.1072461328908354e-06;-5.572366053413333e-06;5.041865751428687e-05
1.1072461328668906e-06;-5.572366053376549e-06;5.0418657514331526e-05
1.1072461330218328e-06;-5.572366053428595e-06;5.041865751421406e-05
-0.00010710305732221675;-0.0030292559261771244;0.0005151857435233209
0.0030676519106763215;9.363828644554236e-06;-0.005188634514818534
1.1072461334435578e-06;-5.572366053444448e-06;5.0418657514391306e-05
1.1072461331629218e-06;-5.57236605346742e-06;5.0418657514240846e-05
1.1072461329987654e-06;-5.572366053442451e-06;5.041865751430797e-05
1.1072461329577008e-06;-5.5723660536099076e-06;5.041865751438412e-05
0.0012557453135366831;0.0025228304673715865;0.0027364123665173054
1.1072461328386696e-06;-5.572366053376321e-06;5.041865751422671e-05
1.1072461326851163e-06;-5.572366053349289e-06;5.0418657514131673e-05
1.1072461327143901e-06;-5.57236605339046e-06;5.041865751398637e-05
1.107246132730008e-06;-5.572366053387172e-06;5.041865751402411e-05
1.1072461327746942e-06;-5.572366053378814e-06;5.0418657514111494e-05
1.1072461327974271e-06;-5.57236605336917e-06;5.041865751419015e-05
1.1072461327692461e-06;-5.572366053370112e-06;5.0418657514136085e-05
1.1072461327253522e-06;-5.572366053379989e-06;5.0418657514026696e-05
1.1072461329829417e-06;-5.572366053524032e-06;5.0418657514292535e-05
1.1072461329730314e-06;-5.572366053510313e-06;5.041865751428286e-05
1.10724613326558e-06;-5.572366053713216e-06;5.0418657514606174e-05
1.107246133047112e-06;-5.57236605355196e-06;5.0418657514422246e-05
1.1072461329411616e-06;-5.572366053466323e-06;5.0418657514275716e-05
1.1072461330373793e-06;-5.572366053523994e-06;5.041865751445133e-05
1.107246132843073e-06;-5.572366053367615e-06;5.041865751433968e-05
1.10724613286885e-06;-5.5723660533926944e-06;5.0418657514435094e-05
1.1072461327763119e-06;-5.572366053419968e-06;5.0418657514209404e-05
-0.00010710305731819848;-0.0030292559261767575;0.0005151857435265511
0.0030676519106742762;9.363828637013339e-06;-0.005188634514824538
1.1072461328706917e-06;-5.572366053441288e-06;5.0418657514181045e-05
1.1072461329399582e-06;-5.572366053449579e-06;5.041865751422661e-05
1.107246132811057e-06;-5.572366053399788e-06;5.041865751427539e-05
1.107246132848801e-06;-5.572366053357296e-06;5.04186575143287e-05
1.1072461329688403e-06;-5.572366053481978e-06;5.0418657514289926e-05
1.1072461328817088e-06;-5.572366053427776e-06;5.041865751424177e-05
1.107246133045643e-06;-5.572366053577427e-06;5.041865751434312e-05
1.1072461329264902e-06;-5.572366053416173e-06;5.0418657514255754e-05
1.1072461327178647e-06;-5.572366053354682e-06;5.041865751408779e-05
1.1072461326286552e-06;-5.572366053351225e-06;5.041865751390933e-05
1.1072461326578359e-06;-5.572366053352997e-06;5.0418657513937635e-05
1.1072461326622917e-06;-5.572366053342298e-06;5.041865751399406e-05
1.1072461326766927e-06;-5.572366053358083e-06;5.0418657514013956e-05
1.1072461329397037e-06;-5.572366053468476e-06;5.041865751424971e-05
1.1072461330940979e-06;-5.572366053586451e-06;5.041865751441699e-05
1.1072461330789802e-06;-5.572366053584554e-06;5.0418657514418065e-05
1.1072461331283978e-06;-5.5723660536126824e-06;5.041865751448031e-05
1.1072461329235158e-06;-5.5723660534661305e-06;5.0418657514245454e-05
1.1072461328340287e-06;-5.572366053379693e-06;5.041865751424013e-05
1.1072461327764148e-06;-5.572366053347925e-06;5.0418657514163474e-05
1.1072461328707795e-06;-5.572366053392275e-06;5.041865751422698e-05
1.107246132865517e-06;-5.5723660533609485e-06;5.041865751433727e-05
-0.00010710305731331588;-0.003029255926177838;0.0005151857435297558
0.0030676519106741826;9.36382863716622e-06;-0.005188634514824352
1.1072461328538944e-06;-5.572366053406145e-06;5.041865751424787e-05
1.1072461328901654e-06;-5.572366053430543e-06;5.04186575141772e-05
1.1072461328753986e-06;-5.572366053386061e-06;5.041865751418934e-05
1.1072461328125395e-06;-5.572366053438907e-06;5.041865751425631e-05
1.107246132856929e-06;-5.5723660534053466e-06;5.04186575144316e-05
1.1072461328656497e-06;-5.5723660533697915e-06;5.0418657514323164e-05
1.1072461328292669e-06;-5.572366053351618e-06;5.0418657514259996e-05
1.107246132776228e-06;-5.572366053355511e-06;5.04186575141925e-05
1.1072461325956228e-06;-5.572366053281762e-06;5.0418657513880294e-05
