x;y
-0.229809;0.147952
-0.148825;0.122079
-0.185561;0.141877
-0.210015;0.153088
-0.155576;0.142572
-0.0983387;0.11999
-0.0507775;0.100104
-0.0431376;0.0988043
-0.00728989;0.0822497
0.111117;-0.162498
0.238259;-0.717068
0.0476917;0.0461305
0.0311852;0.0686089
-0.0476345;0.108146
-0.172523;0.147597
-0.17959;0.130245
-0.108222;0.127901
-0.0590909;0.120032
-0.0827385;0.119271
-0.147054;0.134338
-0.242943;0.155539
-0.196916;0.1489
-0.180994;0.159531
-0.239603;0.171169
-0.391251;0.187546
-0.527138;0.216815
-0.466116;0.210599
-0.252909;0.181245
-0.0420771;0.119041
0.0309216;0.0820671
-0.0676888;0.133451
-0.0728639;0.14629
-0.0217866;0.121022
0.133464;-0.156435
0.2786;-0.716155
0.0787626;0.0645925
0.0385553;0.0941199
-0.0584221;0.130747
-0.35136;0.186426
-0.0678019;-0.950852
-0.229887;0.167331
-0.19008;0.191399
-0.130353;0.155143
-0.151275;0.16011
-0.185001;0.164965
-0.221749;0.168565
-0.194425;0.164399
-0.162346;0.158825
-0.326475;0.186318
-0.323966;0.182896
-0.561902;0.212507
-0.38804;0.195029
-0.306116;0.185565
-0.432113;0.181611
-0.203118;0.157632
-0.145534;0.135067
-0.103024;0.11488
-0.00752802;-0.151678
0.0836946;-0.657359
-0.0147159;0.096523
-0.0374026;0.0890717
-0.0926764;0.114298
-0.22946;0.145215
-0.291501;0.176379
-0.272756;0.177738
-0.334961;0.213039
-0.26954;0.20947
-0.186316;0.165099
-0.102918;0.141917
-0.128717;0.152775
-0.164829;0.163005
-0.176962;0.162252
-0.290576;0.190357
-0.378954;0.209346
-0.387733;0.207169
-0.403201;0.207522
-0.302624;0.184993
-0.256206;0.169732
-0.278714;0.168405
-0.272561;0.159106
-0.206653;0.140351
-0.113351;-0.152214
0.0891731;-0.661849
-0.0608294;0.0977338
-0.0412443;0.0885854
-0.0395277;0.0947258
-0.0909993;0.115083
-0.139589;0.117862
-0.191397;0.136915
-0.244486;0.155423
-0.221829;0.159376
-0.126123;0.141269
-0.0972056;0.13899
-0.11498;0.143991
-0.21015;0.168919
-0.223748;0.169701
-0.23744;0.156997
-0.42972;0.195273
-0.502418;0.218637
-0.342399;0.184527
-0.217997;0.156849
-0.218368;0.152925
-0.166087;0.131996
-0.154914;0.126423
-0.155287;0.120653
-0.00128446;-0.154187
0.105628;-0.672913
-0.0884311;0.103907
-0.144083;0.113327
-0.222928;0.133284
-0.495122;0.162646
-0.668989;0.211629
-0.522277;0.214688
-0.408429;0.207663
-0.288274;0.177483
-0.275288;0.157968
-0.254175;0.149358
-0.196905;0.145744
-0.180938;0.138785
-0.257547;0.146824
-0.563627;0.198219
-0.686126;0.230765
-0.588457;0.20267
-0.415818;0.182615
-0.318306;0.159708
-0.148371;0.127339
-0.232774;0.131083
-0.103651;0.116139
-0.0320788;0.0877004
0.0670665;-0.15639
0.165464;-0.683625
-0.00873079;0.0774872
-0.0554367;0.0936646
-0.10061;0.101193
-0.325104;0.144854
-0.36114;0.138478
-0.485364;0.210923
-0.39319;0.214252
-0.329841;0.195461
-0.394467;0.203555
-0.336532;0.208455
-0.214632;0.174622
-0.260083;0.169619
-0.258782;0.175444
-0.276998;0.1787
-0.329671;0.173109
-0.294313;0.177111
-0.507957;0.21955
-0.286489;0.176781
-0.186679;0.152597
-0.177645;0.144593
-0.0983749;0.126357
-0.057842;0.112227
0.0690658;-0.150469
0.199157;-0.67872
0.0388223;0.0711288
0.0199591;0.0847254
-0.141552;0.12382
-0.382835;0.162207
-0.588977;0.17921
-0.391325;0.186928
-0.302463;0.180485
-0.256489;0.185974
-0.291413;0.19211
-0.241661;0.161806
-0.131948;0.148871
-0.227264;0.173107
-0.154187;0.159114
-0.391344;0.211741
-0.653146;0.247914
-0.648355;0.223524
-0.531591;0.226722
-0.316197;0.179619
-0.330433;0.164266
-0.26844;0.153708
-0.154073;0.138466
-0.0904047;0.120894
0.049346;-0.147562
0.157887;-0.66291
-0.0042971;0.0886942
-0.0262052;0.104166
-0.14048;0.122876
-0.424504;0.177299
-0.614462;0.205587
-0.410523;0.198414
-0.293556;0.186445
-0.230801;0.170015
-0.214275;0.161997
-0.199783;0.154504
-0.18789;0.159223
-0.282696;0.190809
-0.228532;0.177364
-0.328797;0.183286
-0.418918;0.199513
-0.413145;0.206396
-0.258739;0.165099
-0.201566;0.144321
-0.155585;0.120782
-0.174913;0.128046
-0.113483;0.118577
-0.0140447;0.0829575
0.111898;-0.163569
0.243626;-0.717973
0.0628557;0.0447181
0.0257214;0.0816119
-0.0959127;0.12089
-0.428181;0.185681
-0.536168;0.192023
-0.330856;0.179853
-0.279189;0.165257
-0.223001;0.16011
-0.230893;0.153169
-0.267598;0.164664
-0.305811;0.167344
-0.328206;0.179087
-0.35802;0.190455
-0.324234;0.176488
-0.351343;0.177711
-0.329917;0.166705
-0.305108;0.179959
-0.157331;0.145721
-0.140512;0.1374
-0.0789271;0.121811
-0.0539742;0.112674
-0.0180919;0.109127
0.0909673;-0.154583
0.22364;-0.689182
0.0260715;0.0806574
0.0134409;0.0921042
-0.0636229;0.119184
-0.182774;0.144978
-0.203734;0.134284
-0.248336;0.139106
-0.265803;0.148355
-0.262291;0.142352
-0.253042;0.137966
-0.179967;0.124638
