x;y;z
0.00147142;-0.206434;-0.177172
0.105653;-0.156777;-0.110131
0.0622105;-0.187833;-0.138195
0.0255808;-0.20658;-0.157724
0.0891846;-0.180067;-0.110331
0.169935;-0.140941;-0.0644064
0.244221;-0.107325;-0.0266507
0.251122;-0.103862;-0.0199971
0.309445;-0.0772237;0.00781891
0.574004;0.199301;0.0363022
0.0016234;0.750033;-0.0229038
0.423043;-0.026401;0.046768
0.371808;-0.0527584;0.0390555
0.243003;-0.114639;-0.0213606
0.0606281;-0.189805;-0.124734
0.0736023;-0.17473;-0.136684
0.148676;-0.151058;-0.0708009
0.211757;-0.128917;-0.0277559
0.203381;-0.135898;-0.0502041
0.131665;-0.170491;-0.105526
0.0236078;-0.219842;-0.18767
0.0720266;-0.199931;-0.147319
0.0695591;-0.204943;-0.128673
-0.00239588;-0.233503;-0.179393
-0.150432;-0.294287;-0.314426
-0.276885;-0.364122;-0.431306
-0.230817;-0.339453;-0.376574
-0.0356149;-0.246389;-0.188027
0.215359;-0.122615;-0.0122061
0.333843;-0.0650742;0.0434233
0.173435;-0.144107;-0.0313385
0.160543;-0.158293;-0.0318984
0.242834;-0.118614;0.0074308
0.57856;0.200549;0.0592095
0.0411186;0.761107;0.0149081
0.432565;-0.0351318;0.0818856
0.351663;-0.0753153;0.0544914
0.208717;-0.139709;-0.0237561
-0.12596;-0.281601;-0.278686
-0.276517;0.890523;-0.387542
-0.03377;-0.224033;-0.170208
-0.0184038;-0.235788;-0.125334
0.0661452;-0.18225;-0.0816351
0.0448912;-0.193271;-0.0993997
0.0105399;-0.208088;-0.129028
-0.0245948;-0.222863;-0.162239
0.00176547;-0.210566;-0.138259
0.0387337;-0.19548;-0.110112
-0.128239;-0.271799;-0.253736
-0.123095;-0.267871;-0.252607
-0.332429;-0.368859;-0.464245
-0.185483;-0.299446;-0.308545
-0.10792;-0.266192;-0.236128
-0.196205;-0.300338;-0.354548
0.00820759;-0.208225;-0.149778
0.08212;-0.169037;-0.103614
0.146177;-0.136619;-0.0705554
0.395669;0.154895;-0.0705477
-0.264571;0.646806;-0.147075
0.260918;-0.0926653;0.00564601
0.252266;-0.0924818;-0.0181445
0.166478;-0.133784;-0.0617244
-0.00119958;-0.204728;-0.179226
-0.0934591;-0.252672;-0.225869
-0.0868387;-0.248142;-0.207903
-0.165412;-0.300692;-0.25327
-0.103367;-0.277194;-0.193204
0.0121329;-0.208689;-0.130251
0.111144;-0.161183;-0.0603707
0.0754515;-0.179481;-0.0806804
0.032035;-0.200386;-0.111106
0.0201371;-0.20353;-0.122862
-0.108108;-0.265244;-0.219426
-0.19734;-0.310533;-0.295466
-0.205749;-0.311012;-0.304313
-0.226812;-0.316224;-0.318924
-0.119775;-0.263943;-0.232646
-0.067749;-0.235196;-0.194697
-0.0788664;-0.241257;-0.216624
-0.0697332;-0.229896;-0.213611
0.015116;-0.192045;-0.158474
0.280559;0.124644;-0.168704
-0.261762;0.653498;-0.142889
0.209267;-0.107438;-0.0367848
0.247439;-0.0930129;-0.021625
0.245627;-0.0989015;-0.0183002
0.167011;-0.133641;-0.0594059
0.0992775;-0.150278;-0.103677
0.0291548;-0.183718;-0.1451
-0.0393778;-0.217442;-0.188347
-0.0209371;-0.214087;-0.165564
0.0883942;-0.167607;-0.0822652
0.116901;-0.156587;-0.0559951
0.0968839;-0.166766;-0.0708304
-0.00651676;-0.219801;-0.151321
-0.0272811;-0.224646;-0.163823
-0.030652;-0.216781;-0.181098
-0.220932;-0.312393;-0.347538
-0.298374;-0.357243;-0.407588
-0.147506;-0.275583;-0.269746
-0.0187874;-0.21127;-0.163296
-0.00752349;-0.208;-0.165248
0.0536456;-0.1715;-0.123249
0.0744007;-0.162862;-0.11475
0.0814992;-0.157603;-0.117206
0.393452;0.159432;-0.0653458
-0.233062;0.668942;-0.131437
0.168561;-0.121868;-0.0606893
0.104042;-0.147925;-0.109796
0.00825828;-0.191089;-0.177028
-0.241762;-0.301396;-0.42051
-0.42757;-0.400652;-0.56508
-0.326896;-0.359006;-0.427374
