x;y;z
8.93026e-05;0.000465798;0.000112864
8.89228e-05;0.000458205;8.47443e-05
8.92132e-05;0.000460736;8.02452e-05
8.96423e-05;0.000460736;8.24948e-05
8.9667e-05;0.000453143;5.21258e-05
8.962e-05;0.000448081;3.18798e-05
8.93319e-05;0.000448081;1.95072e-05
8.94483e-05;0.00044555;1.61329e-05
8.93849e-05;0.000444284;4.8851e-06
8.92308e-05;0.000440488;-1.86357e-06
8.91697e-05;-0.0020981;-6.36268e-06
8.90533e-05;0.000441753;-8.61224e-06
8.9038e-05;0.000441753;-2.98835e-06
8.91133e-05;0.000446815;1.50081e-05
8.91027e-05;0.000458205;6.89974e-05
8.94354e-05;0.000460736;8.58691e-05
8.9272e-05;0.000454408;4.98762e-05
8.90368e-05;0.000451877;3.52541e-05
8.97411e-05;0.000453143;3.75037e-05
9.02608e-05;0.000456939;6.1124e-05
9.06641e-05;0.000469594;0.000108365
9.07134e-05;0.000460736;7.79957e-05
9.04677e-05;0.000460736;7.23718e-05
9.00162e-05;0.000469594;0.00010499
8.98751e-05;0.000493638;0.000212969
9.01738e-05;0.000520214;0.000287204
8.99551e-05;0.00051009;0.000248962
8.91156e-05;0.000482249;0.000122987
8.85113e-05;0.000451877;3.18798e-05
8.82197e-05;0.00044555;8.25943e-06
8.79622e-05;0.000454408;4.53771e-05
8.78094e-05;0.000456939;5.1001e-05
8.77717e-05;0.000450612;2.51311e-05
8.77541e-05;0.000443019;3.85985e-07
8.77388e-05;-0.0020981;-8.61224e-06
8.77212e-05;0.000440488;-9.73702e-06
8.77224e-05;0.000443019;-7.38793e-07
8.78188e-05;0.000450612;2.85054e-05
8.80339e-05;0.000488577;0.00018035
8.81068e-05;-0.0020981;0.000227591
8.78235e-05;0.000472125;0.000136484
8.77329e-05;0.000467063;0.000109489
8.76765e-05;0.00045947;9.37426e-05
8.77553e-05;0.000464532;0.000102741
8.81056e-05;0.000467063;0.000122987
8.81644e-05;0.000469594;0.000138734
8.82197e-05;0.000468329;0.000121862
8.80927e-05;0.000463267;0.000110614
8.83479e-05;0.000482249;0.000196097
8.87217e-05;0.000479718;0.000183725
8.9185e-05;0.000516417;0.000345693
8.92532e-05;0.000488577;0.000205096
8.9493e-05;0.000477187;0.000139858
8.95295e-05;0.000501231;0.000224217
8.93249e-05;0.000467063;8.69939e-05
8.91203e-05;0.000456939;6.22488e-05
8.8924e-05;0.000453143;3.97532e-05
8.88264e-05;0.000454408;3.97532e-05
8.88087e-05;-0.0020981;4.87514e-05
8.86018e-05;0.00044555;8.25943e-06
8.84901e-05;0.000448081;1.16338e-05
8.8543e-05;0.000451877;3.63789e-05
8.85583e-05;0.000467063;0.000111739
8.87688e-05;0.000479718;0.000148857
8.90169e-05;0.000473391;0.000124112
8.91532e-05;0.00048478;0.000160104
8.87288e-05;0.000478453;0.000136484
8.85642e-05;0.000468329;0.000117363
8.87723e-05;0.000458205;7.57461e-05
8.86724e-05;0.000458205;8.24948e-05
8.86371e-05;0.000464532;9.37426e-05
8.87605e-05;0.000462001;9.82417e-05
8.91532e-05;0.000473391;0.000153356
8.9292e-05;0.000486046;0.000199472
8.95471e-05;0.000486046;0.000194973
8.99057e-05;0.000486046;0.00018485
8.98693e-05;0.000472125;0.000126361
9.00256e-05;0.000465798;0.000101616
9.03842e-05;0.000469594;0.000102741
9.04289e-05;0.000468329;0.000112864
9.04301e-05;0.000464532;7.57461e-05
9.05912e-05;0.000463267;8.81187e-05
9.05077e-05;-0.0020981;3.75037e-05
9.04254e-05;0.000448081;2.0632e-05
9.03548e-05;0.00044555;7.13465e-06
9.04219e-05;0.000444284;6.00987e-06
9.04219e-05;0.000450612;2.62559e-05
9.05359e-05;0.000453143;5.1001e-05
9.06547e-05;0.000460736;7.57461e-05
9.07264e-05;0.000468329;0.000101616
9.0356e-05;0.000468329;9.93664e-05
8.95777e-05;0.000458205;6.33736e-05
8.93472e-05;0.000455674;6.33736e-05
8.92402e-05;0.000456939;7.1247e-05
8.92297e-05;0.00047086;0.000112864
8.94413e-05;0.000469594;0.000113989
9.01597e-05;0.000464532;0.000116238
9.06594e-05;0.000491107;0.000210719
9.12214e-05;0.000507559;0.000238839
9.13507e-05;0.000475922;0.000144358
9.13754e-05;0.00045947;8.02452e-05
9.13436e-05;0.000460736;7.79957e-05
9.11673e-05;0.000455674;6.22488e-05
9.1085e-05;0.000455674;5.66249e-05
9.13989e-05;0.000455674;5.77497e-05
9.12449e-05;0.000446815;2.85054e-05
9.13872e-05;-0.0020981;2.40063e-05
9.14154e-05;0.00044555;2.28815e-05
9.15329e-05;0.000450612;5.1001e-05
9.14459e-05;0.000460736;8.81187e-05
9.11743e-05;0.000502497;0.000270333
9.10638e-05;0.0005354;0.000391809
9.09662e-05;0.000506293;0.000278206
9.07405e-05;0.000486046;0.000205096
9.08616e-05;0.000472125;0.000137609
9.10873e-05;0.000469594;0.000146607
9.06888e-05;0.000469594;0.000152231
9.06641e-05;0.000464532;0.000115113
9.07958e-05;0.000462001;0.000108365
9.11355e-05;0.000468329;0.000145482
9.16176e-05;0.00051009;0.000340069
9.22513e-05;0.000534134;0.000419928
9.32613e-05;0.000515152;0.000327696
9.30743e-05;0.000486046;0.000202846
9.29191e-05;0.000473391;0.000151106
9.28321e-05;0.000450612;5.66249e-05
9.2731e-05;0.00045947;0.000103866
9.23242e-05;0.000448081;3.97532e-05
9.20079e-05;0.000443019;1.0509e-05
9.17222e-05;0.000441753;4.8851e-06
9.15036e-05;-0.0020981;8.25943e-06
9.13072e-05;0.000440488;1.51076e-06
9.10697e-05;0.000444284;1.83824e-05
9.06276e-05;0.000449346;3.63789e-05
9.06441e-05;0.000475922;0.000161229
9.06723e-05;0.000479718;0.000200596
9.05888e-05;0.000499966;0.000261334
9.0289e-05;0.00048478;0.000203971
9.00703e-05;0.000474656;0.00018485
9.01091e-05;0.000483515;0.000229841
8.93155e-05;0.000480984;0.00020847
8.87335e-05;0.000468329;0.000143233
8.86394e-05;0.000469594;0.000165728
8.87382e-05;0.000469594;0.00015673
8.92332e-05;0.000475922;0.000179226
9.0657e-05;0.000482249;0.000193848
9.06264e-05;0.000473391;0.00015673
9.09827e-05;0.000497435;0.000259085
9.13766e-05;0.000465798;0.00013086
9.12402e-05;0.000454408;8.137e-05
9.12931e-05;0.000454408;7.57461e-05
