x;y;z
4.662126948676559e-46;1.802453265819858e-50;3.604432947936302e-47
2.629658537298088e-18;-4.326644169619461e-18;-3.495380432664311e-18
3.1815487957326876e-18;4.6969480719681e-19;2.1641911349568667e-18
4.06549155537632e-18;3.310636238748048e-18;4.993484758115877e-18
3.7853289891558695e-18;-2.067597119552791e-18;-2.738549025251334e-18
3.249947667326913e-18;2.570751808541677e-19;3.561730683297677e-18
1.3605307572983217e-17;4.752626503768356e-18;1.4996233524458915e-18
1.0981185396809448e-17;4.0041422075443226e-18;2.032147111092356e-18
5.947270512459422e-18;-3.464453994401976e-18;-3.0988970252688288e-18
3.4104769431210284e-17;1.440393709991678e-17;-5.930287153972506e-19
-1.2294843689119529e-17;-3.889517598577161e-18;4.729834150436435e-18
-3.843731020580302e-18;8.670837690991693e-18;7.107367024408022e-18
-1.4487352001987552e-18;-5.690928841489856e-18;2.4323551760271345e-18
1.915506253824819e-17;4.7934285908124604e-18;2.494427236868169e-18
3.899474840967593e-18;1.329314832291639e-20;6.0996652925416e-19
3.5535967381384045e-18;1.6269820104567195e-19;1.5790694896051748e-18
5.5587414164859885e-18;-9.241113273830589e-18;-4.244207804146234e-18
-2.3728190301400947e-17;2.789228482115838e-18;-4.45763425418672e-18
2.5404329696939618e-17;4.093305310877587e-18;2.6965916064905606e-18
-6.799019900428506e-18;-1.1719229543141014e-17;2.3529047113452467e-18
4.538115512087272e-18;4.3980366983053904e-18;6.500042313266366e-20
3.1498032370217657e-19;3.893621041157305e-19;2.3826937147429793e-18
-2.903666148128709e-18;-4.6842523911722746e-18;-5.048905546381666e-19
1.0631234819236316e-17;-3.818859187117946e-19;-3.530046091122608e-18
-9.552671720579098e-18;5.274982316691038e-18;1.8751702145752833e-18
-1.1954848349883598e-17;-1.516552077691707e-18;4.978196238854321e-18
-8.434092277827258e-18;-7.288264308342724e-19;2.686042947259314e-18
1.1973120909872186e-17;-4.681966488492764e-18;-3.12009212538457e-19
-1.3702738513183993e-17;-8.443375501409279e-19;-2.037226014674801e-18
1.031240804940383e-17;4.1659176063573665e-19;1.1769823962698113e-18
1.464328134922019e-18;2.8628006205433627e-19;-3.837018253850234e-18
1.8331251948207534e-17;7.737931364751514e-18;1.6673201616370162e-19
-8.805598273548429e-18;-2.4194563277602126e-18;3.62700354011801e-18
2.7194257799315698e-17;-1.4967761417859702e-17;-1.4028090656127204e-18
-6.636146535681649e-18;2.1206172838514776e-20;1.4325582311010437e-18
-1.050299087943727e-17;-7.556269388695264e-18;-9.944253327259785e-20
1.5370729881487493e-17;1.8359571568816517e-18;-1.0497698672533503e-18
3.0551115651887922e-18;2.062502538852159e-18;2.769601455968396e-18
1.1963596409163235e-18;2.5308921088664374e-18;-4.695958775982878e-18
1.5502632705424954e-17;-8.696495330053928e-18;-4.183122705036653e-18
-1.2268492133886595e-18;1.0107546242739406e-18;2.0226678440540958e-18
-1.605759044312981e-17;-6.304618629567617e-18;6.7311879042803524e-18
-1.7192951216117184e-18;2.630555810595449e-19;-1.2476220471533818e-18
-8.886410862256692e-19;1.9112820885724912e-19;-1.0700511652499384e-18
3.458787955896998e-20;5.82943852393234e-19;1.555337257389677e-19
2.116476272240534e-18;1.4491502026920048e-18;1.2942215719939749e-18
4.350739773967963e-19;5.536125246625244e-19;9.12760320335388e-19
-1.396167963596101e-19;7.746321082066438e-20;-4.996337316194569e-19
1.0899500840519608e-17;2.3536289119480857e-18;-3.123797738731642e-19
8.107428515144168e-18;1.5227032009973584e-18;-3.303248539652341e-20
8.207710610994489e-18;-4.0146734290322585e-18;2.1547899075725845e-18
-4.4999560338918086e-18;-1.0631430910606889e-19;1.8768424343704628e-19
2.734432574478456e-18;-7.457554855716792e-19;-3.362595334928037e-18
-2.6232253588464453e-18;4.345455179630063e-19;1.1439252161689599e-18
5.358125115229097e-18;-1.6037052115226238e-18;-1.9571565195971857e-18
4.469456719749887e-18;-7.12554907357586e-19;-1.819658819698572e-18
-8.59320558962e-19;-3.7801618601836114e-18;5.326552960430413e-19
-2.5105044395052793e-18;-1.0006685176676413e-17;-5.916765653340472e-19
-6.495710893839683e-18;-1.9788728756124244e-18;-7.56952264845114e-18
-8.870675353564623e-18;2.422527489151622e-18;7.348595629771931e-18
-1.1372390379322763e-17;8.723165694184922e-19;4.968176272142569e-18
1.0031983231267735e-17;-1.710442084967344e-19;-3.978639160241469e-18
-3.251723107958391e-18;1.6479396040734947e-18;1.5567720641536727e-18
-4.536050308062136e-18;-3.3731576618089466e-18;-4.149165777934164e-18
4.398918196807407e-18;-2.2404846584398555e-18;-4.370573881245294e-18
2.9231194180165754e-18;-2.7909414367380983e-18;-4.292121645668926e-18
5.7258768579277805e-18;-1.0510510904937623e-18;9.760437843062817e-18
1.0741527213742097e-18;-2.396012579046765e-19;1.7055546677056022e-18
-2.35956033478775e-18;-6.242679038032528e-19;-1.6016918054940063e-18
-6.387391207100885e-19;-8.363092679940365e-19;1.0805666276250847e-19
5.573738434306074e-20;1.285032998178699e-19;3.563100475718827e-18
1.5227230124328721e-19;-1.4626220989549978e-18;1.0698759389602388e-18
5.391630243326232e-18;-1.8579418153867526e-18;2.596860407681411e-18
-7.154974501480599e-19;-2.442903936661908e-19;-6.787285134069535e-19
-1.9932292243170816e-18;-8.123879435238192e-19;-7.261775276205983e-19
-3.212223677360451e-18;-3.0054940201863413e-18;-2.128197951705187e-18
2.9566117469570247e-18;-1.4300944296767738e-19;-2.987260918015809e-18
2.8010262796530317e-18;-1.9167054270272093e-18;-1.4700282967814664e-18
-7.013423878774772e-19;-2.6978465731944025e-18;-7.508120213574022e-19
2.972074523627742e-18;-1.8285008590660606e-18;-1.7030828821312098e-18
2.7226905894007495e-18;-3.016412425426877e-19;1.2367384783912598e-19
-1.075949411901844e-18;-1.6774257536933004e-18;9.099400936999087e-18
-5.8568506567778214e-18;5.778774792327468e-18;3.0272973143932037e-18
3.2285001981635613e-18;2.708765059108952e-18;1.2514134209283507e-18
-3.7244610708024705e-18;2.6185638551305692e-18;3.636731346339382e-18
-4.3616944930195756e-18;2.105270238397324e-18;4.473801000857197e-18
1.1926499622995313e-18;-1.7519275851202756e-18;-8.087285249078229e-19
-2.349087937646282e-18;9.282068951971512e-19;1.3520552393053193e-18
1.5504215717507714e-18;4.960406937516707e-19;-1.738030935965282e-20
-2.5080414371002553e-18;-2.84353682715384e-18;-8.741029785920389e-20
-1.3886947783031275e-18;-2.8128541102872493e-18;-2.5777112610828224e-19
2.0130182264343466e-18;-2.8412647591810474e-18;3.174984157344938e-18
-1.3253676058124595e-18;-1.8690499279835464e-18;-2.2410421325281165e-19
2.2132672302742136e-20;-1.992780384811585e-18;9.976366010874697e-19
1.4779554832245958e-18;-2.60528670280366e-18;4.417281527218623e-19
-7.253470684128901e-19;-2.5152648652581225e-18;1.3143303135357909e-18
-1.3278538719735676e-18;-3.550968781180985e-18;8.31384208567965e-21
-4.073769650635255e-18;2.586139197508915e-18;-4.017304136554746e-18
2.629525404926348e-18;-1.3141407336087598e-19;-3.3090604961992277e-18
4.251779564632349e-18;-7.200585779764527e-19;-1.7039633083434765e-18
5.996404392158391e-18;-1.1099048800867915e-18;-3.470426041460069e-20
4.5045919870047815e-18;-9.088900067541613e-19;-1.1298986872634282e-19
3.90200040968587e-18;-5.582352419118229e-19;-4.711455154733168e-19
2.2033296605197014e-18;7.381067977627829e-20;9.308207951086684e-20
1.649846923593846e-18;3.399938781723878e-19;3.7438982313429584e-19
2.4921487214723065e-18;-9.943669445495092e-18;-1.3705805856519661e-18
-8.275945627608659e-18;1.95371008742061e-18;1.2112916046084347e-18
4.676156612609658e-18;2.0531435265117667e-18;-1.2353127078308117e-18
1.0360345717026883e-17;1.0432375777406357e-18;2.5741132861584805e-18
-3.922190408735974e-18;2.0541081034924772e-18;-8.422648474255143e-19
1.796764906033539e-17;-9.624988162801401e-18;-1.1440999039221867e-17
3.196494287964223e-18;3.2196598747301426e-18;4.0902319164548495e-19
-6.310085436291497e-19;5.645410572028576e-19;6.804276487864834e-18
-2.1862324269757056e-18;-1.787768667231861e-18;-4.524678905061121e-19
1.9474815357468585e-19;-7.507435837805541e-19;-3.083012054056174e-18
-6.554312512127253e-18;-4.1184583052007915e-18;-2.5426098804956255e-18
