x;y;z
5.95398806948561e-09;-8.876111050335582e-07;-6.807527334695557e-05
5.953988097228841e-09;-8.876111050075014e-07;-6.807527334693173e-05
5.953988094418495e-09;-8.876111050036397e-07;-6.807527334693518e-05
5.953988089109738e-09;-8.87611105002158e-07;-6.807527334693419e-05
5.953988094329213e-09;-8.876111050116807e-07;-6.807527334694363e-05
5.953988104153674e-09;-8.876111050078805e-07;-6.807527334693739e-05
5.953988065575689e-09;-8.876111050527567e-07;-6.807527334699684e-05
5.953988070604409e-09;-8.876111050467051e-07;-6.807527334699103e-05
5.953988118238207e-09;-8.876111049962291e-07;-6.807527334691806e-05
-0.0007950090177983626;-0.0004431894555560317;-0.0009460129880396558
0.0012279357107463583;4.300213448783611e-06;-0.000718228809768836
5.953988073015872e-09;-8.876111050242509e-07;-6.807527334678637e-05
5.953988099878547e-09;-8.876111049941977e-07;-6.807527334682155e-05
5.953988072907065e-09;-8.876111050402428e-07;-6.807527334698692e-05
5.953988095102228e-09;-8.876111050062664e-07;-6.807527334693519e-05
5.953988093466728e-09;-8.876111050017657e-07;-6.807527334692645e-05
5.953988085762973e-09;-8.876111050297391e-07;-6.807527334695385e-05
5.9539880858184535e-09;-8.876111050224433e-07;-6.807527334696293e-05
5.953988077430669e-09;-8.876111050456348e-07;-6.807527334695858e-05
5.953988085046407e-09;-8.87611105015076e-07;-6.807527334692825e-05
5.953988080129292e-09;-8.876111050064463e-07;-6.80752733469095e-05
5.953988075938828e-09;-8.876111050274446e-07;-6.807527334692616e-05
5.953988081482671e-09;-8.876111050241791e-07;-6.807527334692788e-05
5.95398808697287e-09;-8.876111049921211e-07;-6.807527334692233e-05
5.9539880310921205e-09;-8.876111051215885e-07;-6.807527334699075e-05
5.953988025977757e-09;-8.876111051458164e-07;-6.807527334711626e-05
5.953988035423178e-09;-8.876111051039097e-07;-6.807527334708039e-05
5.953988082825795e-09;-8.876111050008348e-07;-6.807527334692981e-05
5.953988099320118e-09;-8.87611105000733e-07;-6.80752733469698e-05
5.953988138192453e-09;-8.876111049704773e-07;-6.807527334689272e-05
5.953988120355197e-09;-8.876111049536451e-07;-6.807527334692054e-05
5.953988116688763e-09;-8.876111049565489e-07;-6.807527334691169e-05
5.953988091970835e-09;-8.876111050059311e-07;-6.807527334696846e-05
-0.0007950090177982377;-0.0004431894555560285;-0.0009460129880396485
0.0012279357107463642;4.300213448853901e-06;-0.0007182288097688324
5.953988096106135e-09;-8.876111050182353e-07;-6.807527334680708e-05
5.9539881293334e-09;-8.876111049756249e-07;-6.80752733468484e-05
5.953988099931577e-09;-8.876111049966766e-07;-6.807527334694733e-05
5.953988036008193e-09;-8.876111051043325e-07;-6.807527334697052e-05
0.00048156829963956927;0.0011716151130600908;0.002960189722903261
5.953988063522111e-09;-8.876111050316738e-07;-6.80752733469668e-05
5.953988058337314e-09;-8.876111050561527e-07;-6.807527334696498e-05
5.953988083890143e-09;-8.876111050280745e-07;-6.807527334696536e-05
5.953988069603628e-09;-8.876111050514917e-07;-6.807527334697455e-05
5.953988063188537e-09;-8.876111050471524e-07;-6.807527334697311e-05
5.953988064161805e-09;-8.876111050378761e-07;-6.807527334697697e-05
5.9539880614502355e-09;-8.876111050487794e-07;-6.807527334697227e-05
5.953988065899273e-09;-8.876111050491657e-07;-6.807527334697045e-05
5.953988012646576e-09;-8.876111051164519e-07;-6.807527334704236e-05
5.953988029854751e-09;-8.876111051000064e-07;-6.807527334702332e-05
5.953988011429192e-09;-8.876111052060617e-07;-6.807527334718052e-05
5.953988033412696e-09;-8.87611105105307e-07;-6.807527334703407e-05
5.953988049166449e-09;-8.876111050791169e-07;-6.807527334697642e-05
5.953988035574462e-09;-8.876111051028258e-07;-6.80752733470625e-05
5.953988078461401e-09;-8.876111050242977e-07;-6.807527334694046e-05
5.95398808218533e-09;-8.8761110502058e-07;-6.807527334696395e-05
5.9539881083959314e-09;-8.876111050046853e-07;-6.807527334693646e-05
-0.0007950090177979339;-0.0004431894555552468;-0.0009460129880393843
0.001227935710746379;4.300213448744943e-06;-0.0007182288097693711
5.953988108523123e-09;-8.876111049822356e-07;-6.807527334698024e-05
5.953988072022175e-09;-8.876111050402939e-07;-6.807527334701141e-05
5.95398811747521e-09;-8.876111049977999e-07;-6.807527334695781e-05
5.953988084206061e-09;-8.876111049978384e-07;-6.807527334692333e-05
5.953988050105836e-09;-8.876111050818842e-07;-6.807527334698161e-05
5.9539880571389254e-09;-8.876111050661928e-07;-6.807527334697976e-05
5.953988043600018e-09;-8.876111050699427e-07;-6.807527334700906e-05
5.953988042432528e-09;-8.876111050942036e-07;-6.807527334702068e-05
5.95398806242484e-09;-8.8761110504794e-07;-6.807527334698246e-05
5.953988086682395e-09;-8.876111050247961e-07;-6.807527334696198e-05
5.953988087308162e-09;-8.876111050337012e-07;-6.807527334697556e-05
5.953988061735801e-09;-8.876111050578566e-07;-6.80752733469766e-05
5.953988057960501e-09;-8.876111050585568e-07;-6.807527334696585e-05
