x;y
0.635126;0.460467
0.557653;0.516819
0.553712;0.469833
0.626943;0.444919
0.587899;0.491947
0.471174;0.469459
0.390082;0.466508
0.408533;0.511201
0.419145;0.475371
0.265535;0.622361
0.344912;0.879499
0.336793;0.54366
0.331742;0.443392
0.467042;0.438229
0.561368;0.446993
0.537162;0.48977
0.518122;0.50947
0.389638;0.461165
0.406148;0.401039
0.542609;0.479289
0.642075;0.396478
0.600575;0.484361
0.503089;0.325308
0.631086;0.430552
0.75942;0.357133
0.854319;0.364512
0.827085;0.37516
0.677095;0.479331
0.475722;0.401884
0.354344;0.479442
0.368888;0.427734
0.465613;0.470217
0.39167;0.459804
0.204924;0.602411
0.426126;0.918371
0.28477;0.464024
0.370378;0.545639
0.447493;0.493134
0.702135;0.395523
0.770855;0.909061
0.634778;0.435952
0.600044;0.435469
0.580179;0.488657
0.57365;0.464213
0.611509;0.456582
0.649659;0.468611
0.626142;0.427969
0.624877;0.439978
0.719691;0.454702
0.700854;0.449402
0.903186;0.354483
0.790716;0.385842
0.706852;0.391924
0.772505;0.384487
0.619985;0.44077
0.535368;0.431879
0.513958;0.48321
0.293372;0.661143
0.675725;0.805851
0.399282;0.479727
0.366128;0.478209
0.438737;0.473638
0.60467;0.478001
0.720675;0.410527
0.70194;0.408856
0.723414;0.384335
0.672399;0.406911
0.607109;0.490309
0.560898;0.462854
0.543195;0.482108
0.569367;0.4409
0.578016;0.462095
0.700908;0.437262
0.748362;0.39598
0.794533;0.412415
0.785901;0.402618
0.697521;0.420311
0.662857;0.399557
0.659727;0.427376
0.648603;0.423667
0.632547;0.436091
0.462918;0.706758
0.726367;0.781268
0.459068;0.471087
0.452573;0.538871
0.433047;0.496683
0.464431;0.491936
0.566956;0.439492
0.602258;0.451911
0.629217;0.427427
0.636237;0.438729
0.543365;0.46579
0.529495;0.466077
0.569525;0.462326
0.661819;0.46963
0.646062;0.430284
0.651157;0.459254
0.810781;0.346279
0.817354;0.301582
0.707518;0.443131
0.650118;0.416675
0.621113;0.357636
0.592341;0.483165
0.55901;0.436572
0.580495;0.517801
0.375356;0.665583
0.560333;0.825291
0.494446;0.484716
0.548682;0.487197
0.651705;0.46056
0.824491;0.365615
0.973429;0.307617
0.823984;0.346531
0.75874;0.394398
0.707344;0.482547
0.670737;0.443367
0.687251;0.43522
0.649742;0.4396
0.621661;0.454631
0.693603;0.454187
0.858869;0.318662
0.97702;0.304013
0.885234;0.288805
0.769157;0.377537
0.684331;0.410002
0.558739;0.480832
0.631261;0.446952
0.539701;0.458854
0.450483;0.475613
0.362438;0.633567
0.744608;0.848024
0.45074;0.527123
0.4437;0.46748
0.450292;0.495189
0.725413;0.443461
0.753163;0.458634
0.875169;0.361401
0.768766;0.394082
0.716589;0.381546
0.791723;0.385309
0.727961;0.369981
0.648475;0.453942
0.681677;0.435744
0.671646;0.453456
0.677796;0.3661
0.728375;0.389915
0.736922;0.440941
0.855773;0.381006
0.700275;0.385998
0.604294;0.450251
0.58528;0.443792
0.486741;0.415557
0.476515;0.472729
0.338545;0.653493
0.589031;0.869825
0.394857;0.515325
0.367497;0.49006
0.558558;0.452848
0.736242;0.389861
0.904379;0.384421
0.767075;0.398852
0.712045;0.377709
0.665872;0.410837
0.657683;0.42097
0.65733;0.408294
0.575024;0.46792
0.666947;0.42715
0.625011;0.44039
0.807725;0.436083
0.944149;0.279225
0.938074;0.281202
0.862157;0.357958
0.669457;0.412031
0.701368;0.38842
0.663965;0.456579
0.592867;0.448976
0.517486;0.496769
0.307532;0.626937
0.696552;0.805442
0.439818;0.520341
0.422195;0.492624
0.5558;0.500188
0.763928;0.404427
0.904039;0.303588
0.744126;0.313492
0.634813;0.357729
0.601404;0.371128
0.597494;0.430224
0.590479;0.409901
0.579414;0.416903
0.629943;0.36634
0.613304;0.409654
0.678125;0.363273
0.721193;0.347189
0.71743;0.347026
0.627476;0.408494
0.582614;0.433015
0.537632;0.454921
0.532683;0.445795
0.455656;0.438101
0.439842;0.50346
0.27743;0.60352
0.48428;0.91225
0.317085;0.499347
