x;y;z
-4.7809267;21.05147;-3.3422232
-4.164835;21.217337;-3.379873
-4.2975454;21.406033;-3.4071193
-4.397731;21.426931;-3.3713365
-4.1689396;21.535933;-3.376745
-3.1833732;21.927402;-3.325776
-2.636858;22.146431;-3.295702
-2.6130676;22.168999;-3.29436
-2.1431868;22.122713;-3.2306247
3.4863234;-0.041107625;13.369078
-3.0108175;-2.858702;-4.754677
-1.4879293;21.961294;-3.1657186
-1.6653316;22.028091;-3.1989286
-2.6655009;22.110218;-3.3076265
-4.2341895;21.515867;-3.3581333
-4.214685;21.460232;-3.3943546
-3.2589982;21.845945;-3.3507993
-2.7851167;22.012808;-3.358087
-2.7696877;21.979591;-3.3517926
-3.9275787;21.587523;-3.32729
-4.6851506;21.331003;-3.123277
-4.144364;21.538496;-3.332352
-4.1582174;21.50669;-3.331893
-4.676015;21.309483;-3.2273276
-5.914099;20.708754;-2.9818563
-6.3789716;20.48905;-2.7564647
-6.1945977;20.578606;-2.83706
-4.812755;21.153984;-3.1673825
-2.7409785;22.056808;-3.315833
-1.8685281;22.047575;-3.224012
-2.971558;21.857185;-3.3448393
-3.018834;21.817772;-3.3296406
-2.617486;22.061365;-3.3160667
3.4972973;-0.053086616;13.38105
-2.9905589;-2.8631916;-4.7319517
-1.4484606;21.96872;-3.1441257
-1.704069;22.009197;-3.205966
-2.7360125;22.048449;-3.3353164
-5.648936;20.80329;-3.134679
2.2973146;-5.125405;3.5168645
-4.8758516;20.950756;-3.2485664
-4.655126;20.890398;-3.3486369
-4.1954346;20.90219;-3.3403735
-4.348069;20.884735;-3.3174348
-4.551688;20.864437;-3.3643456
-4.8189006;20.905188;-3.337371
-4.657512;20.893106;-3.345911
-4.4555993;20.874937;-3.354099
-5.6159015;20.78123;-3.1681826
-5.629569;20.783602;-3.1953468
-6.448505;20.468765;-2.7500355
-5.9993753;20.673405;-2.9667125
-5.497573;20.87606;-3.2492142
-6.0917163;20.624277;-2.8881161
-4.469374;21.405027;-3.331452
-4.0943646;21.606901;-3.3643112
-3.38899;21.8483;-3.3182359
3.6232219;-0.3084685;13.558866
-3.340618;-2.8886092;-4.9957776
-2.6050122;22.190752;-3.2521844
-2.711515;22.134304;-3.30022
-3.2400687;21.894798;-3.3179092
-4.6360235;21.342653;-3.1921954
-5.472746;20.898823;-3.1686728
-5.3732386;20.913284;-3.3135676
-5.810785;20.72841;-3.0956502
-5.414643;20.822777;-3.3032367
-4.6026096;20.879879;-3.3746927
-4.0173373;20.915361;-3.337689
-4.1808004;20.908268;-3.3653305
-4.4582896;20.907385;-3.3580582
-4.5258427;20.903976;-3.373609
-5.4879313;20.818102;-3.2823834
-5.9266124;20.68924;-3.0260808
-5.980442;20.674124;-2.9985824
-5.9923263;20.666971;-2.9825342
-5.481783;20.874653;-3.2668319
-5.277749;20.963156;-3.3322587
-5.306778;20.962164;-3.327511
-5.3322387;20.941183;-3.315285
-4.5177116;21.387413;-3.349171
3.5868163;-0.27769;13.531946
-3.3491166;-2.8882315;-5.001361
-2.9733639;22.051289;-3.2992868
-2.6889844;22.161335;-3.275665
-2.6935666;22.172419;-3.277508
-3.2368338;21.91291;-3.3197474
-4.1084857;21.616322;-3.370928
-4.4665055;21.380335;-3.32346
-4.9776964;20.990112;-3.3624995
-4.8747644;20.944723;-3.3606617
-4.17596;20.916918;-3.3483777
-3.9987187;20.908775;-3.325196
-4.102691;20.923794;-3.3728158
-4.756059;20.897888;-3.36274
-4.881888;20.90505;-3.370363
-4.9439173;20.935709;-3.335704
-6.037254;20.656738;-2.987464
-6.2635536;20.562967;-2.86466
-5.59583;20.833132;-3.211471
-4.6424255;21.300913;-3.3439176
-4.5725503;21.353483;-3.3296409
-4.3412285;21.4806;-3.3518775
-4.1933393;21.554714;-3.3683178
-4.1448245;21.577463;-3.3573432
3.6286187;-0.31628883;13.565709
-3.3421705;-2.890335;-4.9964023
-3.297602;21.889189;-3.3150172
-4.002945;21.633867;-3.3271408
-4.558893;21.397413;-3.2077627
-6.1982226;20.592377;-2.875233
-6.5351906;20.416842;-2.692994
-6.3821583;20.504786;-2.7928305
-6.0431156;20.639248;-2.9348617
-5.4381866;20.838333;-3.2732294
-5.3344755;20.839151;-3.2714937
-5.1259193;20.85541;-3.3012695
-4.661386;20.87989;-3.3265822
-4.537761;20.871616;-3.3319442
-5.1661854;20.840864;-3.250843
-6.4561768;20.468496;-2.7558007
-6.546863;20.386272;-2.6219695
-6.4784846;20.472746;-2.76893
-6.066501;20.639753;-2.9243872
-5.481271;20.903635;-3.1272368
-4.0992775;21.580635;-3.3527865
-4.7012134;21.26738;-3.1565123
-3.4598029;21.78056;-3.3123262
-2.7005186;22.151455;-3.257974
3.605856;-0.26449636;13.527237
-3.3422742;-2.904183;-4.9813194
-2.4952426;22.211834;-3.2239263
-2.8569698;22.086752;-3.2771578
-3.293097;21.880424;-3.3161857
-5.552531;20.86116;-3.1024973
-5.770259;20.731453;-2.8385983
-6.343196;20.521564;-2.8056073
-6.002124;20.653997;-2.9630127
-5.7743034;20.721725;-3.0763254
-6.0155277;20.636618;-2.9434738
-5.850459;20.6885;-3.0174644
-5.0336804;20.841873;-3.2529352
-5.168107;20.837679;-3.3248188
-5.17456;20.845081;-3.3233325
-5.281906;20.825558;-3.2945774
-5.6178317;20.764927;-3.1810806
-5.482084;20.816027;-3.2648544
-6.272878;20.56129;-2.8617344
-5.4515104;20.87703;-3.2893023
-4.4564595;21.400534;-3.3183217
-4.419121;21.417467;-3.322679
-3.5691166;21.694715;-3.3218217
-3.181753;21.928324;-3.2947304
3.626011;-0.3010783;13.554921
-3.3407075;-2.906145;-4.972265
-2.0855231;22.130138;-3.2217658
-2.2624807;22.16869;-3.2217996
-4.0202365;21.62721;-3.3359494
-5.9280176;20.70875;-2.9342089
-6.4777164;20.44656;-2.7134867
-6.024627;20.630287;-2.8847306
-5.511553;20.824278;-3.2540739
-5.3333554;20.846125;-3.332255
-5.4407797;20.82569;-3.2741444
-5.0910115;20.863096;-3.3340325
-4.231983;20.87651;-3.3105628
-5.0732427;20.843199;-3.3452287
-4.345962;20.865223;-3.3040352
-5.9675856;20.636147;-2.9087484
-6.509456;20.430426;-2.6982074
-6.4813876;20.448414;-2.7236185
-6.4208684;20.482634;-2.7851126
-5.557716;20.85705;-3.227091
-5.530624;20.859066;-3.2181938
-5.381435;20.925545;-3.2694416
-4.302407;21.471117;-3.3534667
-3.5009234;21.704369;-3.3309298
3.6314192;-0.3139141;13.564724
-3.347772;-2.903452;-4.986938
-2.6118224;22.16712;-3.2443063
-2.758664;22.134193;-3.2461982
-3.989362;21.613455;-3.3180013
-6.073981;20.640543;-2.8974624
-6.477752;20.4632;-2.7602649
0.27592805;9.397044;-0.07907068
0.94302636;9.670383;0.39141515
1.3521584;10.343541;0.6992916
1.4403924;10.399991;0.77312076
1.5375143;10.488919;0.82768977
1.8432904;10.944792;0.93941647
1.044171;10.084365;0.25398242
1.395887;10.407099;0.7144111
0.71878046;9.805806;-0.06881703
0.44972727;9.392021;-0.008853149
0.51222456;9.446116;0.026554687
1.3515072;9.694279;0.7734784
1.8549843;10.137771;1.3591295
2.3443844;10.563699;2.0320024
