x;y;z
1.440056263482478e-07;2.7893589265705813e-07;7.887085114636243e-06
1.4400562634769632e-07;2.7893589265214343e-07;7.887085114641319e-06
1.440056263462373e-07;2.7893589263515137e-07;7.887085114571149e-06
1.4400562635259138e-07;2.7893589269303903e-07;7.887085114636841e-06
1.440056263696694e-07;2.7893589299199e-07;7.887085114296688e-06
1.4400562634882073e-07;2.7893589266625336e-07;7.887085114634871e-06
1.440056263452434e-07;2.7893589265562093e-07;7.887085114668122e-06
1.4400562634479487e-07;2.789358926660442e-07;7.887085114534023e-06
1.4400562634450296e-07;2.789358926444658e-07;7.887085114505072e-06
1.440056263373565e-07;2.7893589261552466e-07;7.8870851145148e-06
1.4400562635626668e-07;2.789358926662646e-07;7.887085114606031e-06
1.4400562634108963e-07;2.78935892641042e-07;7.887085114611676e-06
1.4400562634075396e-07;2.789358926210285e-07;7.887085114463445e-06
1.4400562633261112e-07;2.789358928048209e-07;7.887085114265082e-06
1.4400562635217358e-07;2.7893589270053183e-07;7.887085114394663e-06
1.4400562633919897e-07;2.7893589264856175e-07;7.887085114479803e-06
1.440056263612523e-07;2.7893589269131495e-07;7.887085114639448e-06
1.4400562635625752e-07;2.7893589275088985e-07;7.887085114659557e-06
1.4400562631785416e-07;2.789358924214543e-07;7.887085114095858e-06
1.4400562634598712e-07;2.7893589279401097e-07;7.887085114589055e-06
1.440056263611708e-07;2.789358927271685e-07;7.887085114665674e-06
1.4400562637592433e-07;2.789358927784109e-07;7.887085114669576e-06
0.0018277314349239102;0.011785438494734847;0.008650507895502096
1.440056263656364e-07;2.78935892649882e-07;7.887085114667317e-06
1.4400562635407933e-07;2.789358927361278e-07;7.887085114534049e-06
1.4400562633790928e-07;2.789358925087754e-07;7.887085114620827e-06
1.440056263288661e-07;2.789358924146099e-07;7.887085114722954e-06
1.4400562632398747e-07;2.7893589256796646e-07;7.88708511474973e-06
1.44005626354973e-07;2.7893589254298354e-07;7.887085114709367e-06
1.4400562635474893e-07;2.7893589261468663e-07;7.887085114684805e-06
1.4400562634661434e-07;2.7893589270754955e-07;7.887085114608621e-06
1.4400562634615912e-07;2.789358926195613e-07;7.88708511470412e-06
