x;y;z
0.000437591;-0.00230625;-0.0140859
0.000745206;-0.00189515;-0.0142179
0.000402471;-0.00217811;-0.0136618
0.00134069;-0.00161836;-0.0137675
0.00166115;-0.000995078;-0.0124944
0.00170698;-0.00121424;-0.0126964
0.00152712;-0.000710336;-0.0122721
7.29678e-05;0.000643915;-0.00946424
-0.00118398;0.00105898;-0.00940016
-0.000686618;0.00147887;-0.0104286
-0.00219755;0.000672885;-0.01294
-0.0025493;0.00114834;-0.0116303
-0.00248561;0.00120467;-0.0109786
-0.0025295;0.00124387;-0.00938938
-0.00284037;0.000792631;-0.0103764
-0.00301434;0.000682371;-0.0105488
-0.00311573;0.000428088;-0.0117382
-0.00253567;0.00034027;-0.0118244
-0.00136009;0.0017801;-0.00820616
-0.00185642;0.00161914;-0.0108846
-0.00108742;0.00200647;-0.0123819
-0.000914516;0.00317557;-0.0106931
-0.00145526;0.00227464;-0.0144257
-0.000551954;0.00320887;-0.0107917
0.000561745;0.00359326;-0.0106184
5.52759e-05;0.00280862;-0.0134427
0.000240539;0.00208722;-0.0104688
0.00056217;0.00211379;-0.00860996
0.000831869;0.00290606;-0.00871614
-9.5425e-05;0.00279134;-0.00793053
-0.00186837;0.00254437;-0.00762442
-0.00169708;0.00232662;-0.00884266
-0.00200156;0.00218025;-0.00824889
-0.00171397;0.00183794;-0.00794419
-0.00236916;0.000451825;-0.00930006
-0.00285934;0.000229773;-0.00818783
-0.00196623;0.000238388;-0.00664522
-0.00221282;-0.000324703;-0.00737143
-0.0017076;-0.000301037;-0.00665428
-0.00142545;-0.000144056;-0.00623263
-0.000795817;-0.000612094;-0.00674398
-0.000958975;-0.000707619;-0.00624958
0.000346867;-0.000200183;-0.00477365
0.000730949;-0.000784828;-0.00561686
0.00121994;-0.000785254;-0.00323295
0.0014946;-0.00155267;-0.00500117
0.00290417;-0.00191579;-0.00444025
0.00257935;-0.00305721;-0.0047851
0.00255446;-0.00382044;-0.00459927
0.00293378;-0.00447462;-0.00602423
0.00361789;-0.00459352;-0.00531432
0.00333603;-0.00497027;-0.00641998
0.00242694;-0.00404429;-0.00478062
0.0011972;-0.00329571;-0.00284936
-0.000744755;-0.00285413;-0.00174622
-0.00152914;-0.00224723;0.00168578
-0.00277977;-0.00223877;0.00185326
-0.00471117;-0.00315019;0.00213976
-0.00447925;-0.00237465;0.00623927
-0.0046281;-0.00306216;0.00325549
-0.00582456;-0.00468311;-0.00350274
-0.00576959;-0.00522715;-0.00555039
-0.00461209;-0.00487599;-0.00493224
-0.00409702;-0.00456695;-0.00541242
-0.00241199;-0.00432113;-0.00534852
-0.00180632;-0.00397358;-0.00431197
-0.00134049;-0.00380372;-0.00469556
-0.00149719;-0.0030919;-0.0014403
-0.001485;-0.00216439;-0.00453545
-0.00182834;-0.00148585;-0.00394462
-0.000846512;-0.0014103;-0.00610567
-0.0008052;-0.00196108;-0.00717091
-0.000339657;-0.00182382;-0.005215
0.000744638;-0.00165079;-0.00718234
0.000794091;0.000164059;-0.000385555
0.000556962;-0.000155322;-0.00273777
-0.00171783;-0.000350694;-0.00562175
-0.00292732;0.000357142;-0.00517398
-0.00260287;0.00105026;-0.00409979
-0.00298369;0.000846484;-0.00423136
-0.00368496;0.000515875;-0.00418811
-0.00472661;-2.67887e-05;-0.00482574
-0.00502578;-0.000828903;-0.00474016
-0.00603601;-0.00181262;-0.00468202
-0.00630026;-0.00245442;-0.00583467
-0.00431843;-0.00179786;-0.00402971
-0.00373034;-0.00204438;-0.00486934
-0.00368153;-0.00243714;-0.00590261
-0.0027272;-0.00207054;-0.00455232
-0.00170869;-0.00184168;-0.00196875
-0.00135208;-0.00219159;-0.00243201
-0.0006116;-0.00274304;-0.00562408
0.000274355;-0.00307775;-0.00778214
0.00108831;-0.00364587;-0.00876227
0.00158556;-0.00361997;-0.00630417
0.00224328;-0.00392091;-0.00752418
0.00266297;-0.00449278;-0.00907103
0.00282008;-0.00411623;-0.00520092
0.00285642;-0.00425637;-0.00791814
0.00392561;-0.00417527;-0.0072453
0.0020923;-0.00422972;-0.00643659
-0.000278244;-0.00361047;-0.0050418
-0.000999646;-0.00322096;-0.00266405
-0.00118749;-0.0026299;-0.000353016
-0.00170301;-0.00288952;-0.000887259
-0.00308659;-0.00407467;-0.00145887
-0.00244765;-0.00422023;-0.00195832
-0.00263096;-0.00438087;-0.000471443
