x;y
-0.000666745;-0.000608668
-0.000644344;-0.000616421
-0.000673145;-0.000635803
-0.000647544;-0.000659062
-0.000657144;-0.000655185
-0.000660344;-0.00069395
-0.000660344;-0.00069395
-0.000676345;-0.000600915
-0.000692345;-0.000527262
-0.000689145;-0.000496251
-0.000717946;-0.000441981
-0.000698745;-0.000379957
-0.000666745;-0.00033344
-0.000695545;-0.000294675
-0.000692345;-0.000290799
-0.000689145;-0.000286922
-0.000676345;-0.000310181
-0.000701945;-0.000383834
-0.000676345;-0.000414845
-0.000653944;-0.000441981
-0.000621944;-0.000476869
-0.000593143;-0.000457486
-0.000593143;-0.000504004
-0.000567542;-0.00050788
-0.000561142;-0.000538892
-0.000570742;-0.000589286
-0.000573943;-0.000655185
-0.000541942;-0.000655185
-0.000497141;-0.000647432
-0.000519541;-0.000597039
-0.000567542;-0.000527262
-0.000586743;-0.000496251
-0.000583543;-0.000469116
-0.000583543;-0.000445857
-0.000589943;-0.000430351
-0.000589943;-0.000403216
-0.000573943;-0.000407092
-0.000583543;-0.000422598
-0.000561142;-0.000438104
-0.000548342;-0.000461363
-0.000525941;-0.00050788
-0.000522741;-0.00051951
-0.00047474;-0.000566027
-0.00046194;-0.000600915
-0.00046514;-0.000604791
-0.00045234;-0.000612544
-0.000426739;-0.000666815
-0.00044274;-0.000666815
-0.00046514;-0.000674568
-0.00045874;-0.000705579
-0.00045234;-0.000736591
-0.00045554;-0.000740467
-0.00044594;-0.000647432
-0.000401139;-0.000531139
-0.000439539;-0.00038771
-0.000426739;-0.00026754
-0.000407539;-0.000170629
-0.00047474;-4.65824e-05
-0.00047794;8.52169e-05
-0.000487541;0.000123981
-0.000513141;0.000139487
-0.000497141;0.000104599
-0.000487541;1.93173e-05
-0.000497141;-3.88295e-05
-0.00046834;-0.000174505
-0.000426739;-0.000221023
-0.000429939;-0.000252034
-0.000417139;-0.000255911
-0.000401139;-0.000186135
-0.000439539;-0.000162876
-0.000436339;-0.000236529
-0.00046834;-0.000283046
-0.000509941;-0.000263664
-0.000426739;-0.00033344
-0.000423539;-0.000310181
-0.000429939;-0.000356699
-0.000429939;-0.000275293
-0.00044914;-0.000174505
-0.00047794;-0.000124111
-0.000497141;-7.7594e-05
-0.000519541;-2.72002e-05
-0.000503541;4.64524e-05
-0.000522741;6.58347e-05
-0.000577143;0.000104599
-0.000577143;0.000104599
-0.000497141;5.42053e-05
-0.000484341;-1.94473e-05
-0.00047474;-8.14705e-05
-0.000436339;-0.000182258
-0.000410739;-0.000290799
-0.000410739;-0.000329563
-0.000407539;-0.000364451
-0.000404339;-0.000356699
-0.000394738;-0.000410969
-0.000388338;-0.000449733
-0.000378738;-0.000488498
-0.000369138;-0.000511757
-0.000359538;-0.000523386
-0.000343537;-0.000535015
-0.000337137;-0.000558274
-0.000337137;-0.000472992
-0.000378738;-0.000286922
-0.000375538;-0.000217146
-0.000333937;-0.000159
-0.000337137;-9.30998e-05
-0.000324337;-5.04589e-05
-0.000295536;-7.8179e-06
-0.000311537;2.70702e-05
-0.000305136;3.81146e-06
-0.000292336;-3.94144e-06
-0.000298736;-3.88295e-05
-0.000285936;-0.000174505
-0.000279536;-0.000221023
-0.000269936;-0.000275293
-0.000269936;-0.000302428
-0.000260335;-0.000329563
-0.000257135;-0.000376081
-0.000250735;-0.000368328
-0.000241135;-0.000368328
-0.000221935;-0.000438104
-0.000215534;-0.00039934
-0.000193134;-0.000337316
-0.000167533;-0.000306305
-0.000212334;-0.000240405
-0.000212334;-0.000178382
-0.000196334;-0.000108606
-0.000186734;-3.88295e-05
-0.000173933;-6.49918e-08
-0.000167533;7.68791e-06
-0.000154733;7.68791e-06
-0.000161133;-3.94144e-06
-0.000157933;-5.43353e-05
-0.000161133;-0.000108606
-0.000148333;-0.000244281
-0.000148333;-0.00027917
-0.000151533;-0.000306305
-0.000151533;-0.000337316
-0.000141933;-0.000345069
-0.000141933;-0.000314058
-0.000138733;-0.00027917
-0.000157933;-0.000403216
-0.000173933;-0.000465239
-0.000196334;-0.000469116
-0.000205934;-0.000480745
-0.000209134;-0.000511757
-0.000177134;-0.000329563
-0.000151533;-0.000248158
-0.000154733;-0.000174505
-0.000212334;-3.49531e-05
-0.000193134;6.19582e-05
-0.000173933;0.000112352
-0.000167533;0.000151117
-0.000148333;0.000123981
-0.000145133;0.000131734
-0.000148333;0.000123981
-0.000141933;4.2576e-05
-0.000145133;-3.49531e-05
-0.000138733;-6.20882e-05
-0.000125932;-0.000139617
-0.000132333;-0.00021327
-0.000145133;-0.000205517
-0.000138733;-0.000255911
-0.000132333;-0.000290799
-0.000138733;-0.000348946
-0.000148333;-0.000364451
-0.000135533;-0.000345069
-0.000221935;0.000127858
-0.000234735;7.7464e-05
-0.000209134;-2.72002e-05
-0.000212334;5.80818e-05
-0.000167533;-8.53469e-05
-0.000129132;4.2576e-05
-0.000151533;0.000228646
-0.000161133;0.00027904
-0.000173933;0.000329433
1.16707e-05;0.000162746
-2.99302e-05;5.42053e-05
-4.27305e-05;-1.16943e-05
-5.23307e-05;-6.59647e-05
-6.83311e-05;-0.000116359
-6.1931e-05;-0.000155123
-8.43315e-05;-0.000186135
-0.000113132;-0.000224899
-0.000138733;-0.000255911
-0.000132333;-0.000302428
-0.000132333;-0.000352822
-0.000116332;-0.000368328
-0.000122732;-0.000403216
-0.000129132;-0.000426475
-0.000132333;-0.000445857
-0.000141933;-0.000441981
