x;y;z
-0.000666745;-0.000608668;0.000577517
-0.000644344;-0.000616421;0.000600066
-0.000673145;-0.000635803;0.000600066
-0.000647544;-0.000659062;0.000622615
-0.000657144;-0.000655185;0.000645163
-0.000660344;-0.00069395;0.000658693
-0.000660344;-0.00069395;0.000694771
-0.000676345;-0.000600915;0.000748887
-0.000692345;-0.000527262;0.000775946
-0.000689145;-0.000496251;0.000780456
-0.000717946;-0.000441981;0.000771436
-0.000698745;-0.000379957;0.000757907
-0.000666745;-0.00033344;0.000712809
-0.000695545;-0.000294675;0.000667712
-0.000692345;-0.000290799;0.000658693
-0.000689145;-0.000286922;0.000658693
-0.000676345;-0.000310181;0.000667712
-0.000701945;-0.000383834;0.000694771
-0.000676345;-0.000414845;0.000730848
-0.000653944;-0.000441981;0.000771436
-0.000621944;-0.000476869;0.000807514
-0.000593143;-0.000457486;0.000843592
-0.000593143;-0.000504004;0.000866141
-0.000567542;-0.00050788;0.000857121
-0.000561142;-0.000538892;0.00087516
-0.000570742;-0.000589286;0.000897709
-0.000573943;-0.000655185;0.000852612
-0.000541942;-0.000655185;0.000816534
-0.000497141;-0.000647432;0.000843592
-0.000519541;-0.000597039;0.000830063
-0.000567542;-0.000527262;0.000825553
-0.000586743;-0.000496251;0.000803004
-0.000583543;-0.000469116;0.000784965
-0.000583543;-0.000445857;0.000730848
-0.000589943;-0.000430351;0.000658693
-0.000589943;-0.000403216;0.000627124
-0.000573943;-0.000407092;0.000582027
-0.000583543;-0.000422598;0.000568498
-0.000561142;-0.000438104;0.000550459
-0.000548342;-0.000461363;0.000559478
-0.000525941;-0.00050788;0.000541439
-0.000522741;-0.00051951;0.00053693
-0.00047474;-0.000566027;0.00052791
-0.00046194;-0.000600915;0.000500852
-0.00046514;-0.000604791;0.000460264
-0.00045234;-0.000612544;0.000424186
-0.000426739;-0.000666815;0.000383598
-0.00044274;-0.000666815;0.000320462
-0.00046514;-0.000674568;0.000275364
-0.00045874;-0.000705579;0.000252816
-0.00045234;-0.000736591;0.000234777
-0.00045554;-0.000740467;0.000234777
-0.00044594;-0.000647432;0.000248306
-0.000401139;-0.000531139;0.000216738
-0.000439539;-0.00038771;0.000203209
-0.000426739;-0.00026754;0.000153601
-0.000407539;-0.000170629;0.000108504
-0.00047474;-4.65824e-05;4.98774e-05
-0.00047794;8.52169e-05;-2.22785e-05
-0.000487541;0.000123981;-4.9337e-05
-0.000513141;0.000139487;-5.38467e-05
-0.000497141;0.000104599;-4.9337e-05
-0.000487541;1.93173e-05;-1.77688e-05
-0.000497141;-3.88295e-05;4.53676e-05
-0.00046834;-0.000174505;9.0465e-05
-0.000426739;-0.000221023;9.49748e-05
-0.000429939;-0.000252034;0.000117523
-0.000417139;-0.000255911;0.000144582
-0.000401139;-0.000186135;0.00018517
-0.000439539;-0.000162876;0.000234777
-0.000436339;-0.000236529;0.000279874
-0.00046834;-0.000283046;0.000288894
-0.000509941;-0.000263664;0.000279874
-0.000426739;-0.00033344;0.000297913
-0.000423539;-0.000310181;0.000333991
-0.000429939;-0.000356699;0.000365559
-0.000429939;-0.000275293;0.000397128
-0.00044914;-0.000174505;0.000424186
-0.00047794;-0.000124111;0.000433205
-0.000497141;-7.7594e-05;0.000410657
-0.000519541;-2.72002e-05;0.000388108
-0.000503541;4.64524e-05;0.000333991
-0.000522741;6.58347e-05;0.000279874
-0.000577143;0.000104599;0.000230267
-0.000577143;0.000104599;0.000203209
-0.000497141;5.42053e-05;0.00018066
-0.000484341;-1.94473e-05;0.000198699
-0.00047474;-8.14705e-05;0.000212228
-0.000436339;-0.000182258;0.000234777
-0.000410739;-0.000290799;0.000243796
-0.000410739;-0.000329563;0.000243796
-0.000407539;-0.000364451;0.000234777
-0.000404339;-0.000356699;0.000207718
-0.000394738;-0.000410969;0.00018517
-0.000388338;-0.000449733;0.000167131
-0.000378738;-0.000488498;0.000153601
-0.000369138;-0.000511757;0.000135562
-0.000359538;-0.000523386;0.000122033
-0.000343537;-0.000535015;0.000131053
-0.000337137;-0.000558274;0.000117523
-0.000337137;-0.000472992;0.000108504
-0.000378738;-0.000286922;9.49748e-05
-0.000375538;-0.000217146;6.79163e-05
-0.000333937;-0.000159;3.18384e-05
-0.000337137;-9.30998e-05;-8.7493e-06
-0.000324337;-5.04589e-05;-6.73759e-05
-0.000295536;-7.8179e-06;-0.000130512
-0.000311537;2.70702e-05;-0.00016659
-0.000305136;3.81146e-06;-0.00017561
-0.000292336;-3.94144e-06;-0.000184629
-0.000298736;-3.88295e-05;-0.000157571
-0.000285936;-0.000174505;-0.000135022
-0.000279536;-0.000221023;-0.000116983
-0.000269936;-0.000275293;-9.44344e-05
-0.000269936;-0.000302428;-8.99247e-05
-0.000260335;-0.000329563;-9.89441e-05
-0.000257135;-0.000376081;-0.000103454
-0.000250735;-0.000368328;-0.000116983
-0.000241135;-0.000368328;-0.000121493
-0.000221935;-0.000438104;-0.000139532
