x;y;z
7.57992158107755e-05;-2.6214003260515074e-05;2.659640623901471e-06
7.579919918732634e-05;-2.6214111993249408e-05;2.6597540378101455e-06
7.579921271700437e-05;-2.6213916498971538e-05;2.659561536212116e-06
7.579920324551724e-05;-2.6214211204969072e-05;2.6599143639000757e-06
7.579895887068227e-05;-2.6214597467561607e-05;2.6606910816111075e-06
7.579873051008781e-05;-2.621429802664113e-05;2.6597867577260335e-06
7.579868131471567e-05;-2.6214226424549185e-05;2.6597981252860212e-06
7.579867870546197e-05;-2.621423926820826e-05;2.6601070511881824e-06
7.579851351825108e-05;-2.6214472414272032e-05;2.659972909785484e-06
7.579874319878005e-05;-2.6214135842218757e-05;2.6597414025397867e-06
7.579951468448894e-05;-2.6216461311070867e-05;2.6626003074074323e-06
7.579901618276495e-05;-2.621455605964209e-05;2.660618281156758e-06
7.57982767013329e-05;-2.6212299080176145e-05;2.658520858300135e-06
7.579751590058833e-05;-2.6208199979134815e-05;2.654430668011523e-06
7.579694742605947e-05;-2.6207923094379155e-05;2.6543233475081374e-06
7.579838760484809e-05;-2.6212445428831703e-05;2.658666692516231e-06
7.580195237950637e-05;-2.622362330046407e-05;2.6694110577339994e-06
7.580283791945607e-05;-2.6226969436106585e-05;2.672919918156054e-06
-0.007532980581915853;0.023509827538960453;0.0049165736845739865
7.580694783009224e-05;-2.6238527493171923e-05;2.6846877349397463e-06
7.579466887197772e-05;-2.6200794835876926e-05;2.647273200860449e-06
7.579566690753981e-05;-2.6203533332291826e-05;2.6504493927376595e-06
-0.0032384480619715925;0.006439602660058007;0.023408714470863796
7.579926101846027e-05;-2.6211054443634666e-05;2.6574255688576443e-06
7.576398644444987e-05;-2.6107025751459453e-05;2.553846948233834e-06
7.580025979701092e-05;-2.6215361944841275e-05;2.6610504289790964e-06
7.579663423227609e-05;-2.621373573956301e-05;2.6574168269480116e-06
7.579729562220394e-05;-2.621354558818728e-05;2.657821476554477e-06
7.579744237690699e-05;-2.6213675460238765e-05;2.6581401082660067e-06
7.579770581987028e-05;-2.6213638291537082e-05;2.658311828642421e-06
7.579731159335598e-05;-2.6214695465393777e-05;2.6599655614892783e-06
7.579865363925064e-05;-2.6213995307073116e-05;2.6593812632999062e-06
7.57987101857005e-05;-2.6213442607330796e-05;2.6588962585793598e-06
7.57987166203579e-05;-2.6213765325122755e-05;2.6591265039308877e-06
7.57983294496491e-05;-2.621441085460474e-05;2.6592976718451786e-06
7.579836413801422e-05;-2.621463171002542e-05;2.659442539779367e-06
7.579862132485003e-05;-2.6214035615845502e-05;2.6593352967257605e-06
7.57984971675912e-05;-2.621423800483142e-05;2.6593472712356714e-06
7.579851089402361e-05;-2.6214238640227103e-05;2.6594250519132165e-06
7.579849308606323e-05;-2.621423332152199e-05;2.659470265557011e-06
7.579858482910978e-05;-2.621427708173899e-05;2.659806226698296e-06
7.579872820954416e-05;-2.621425317702588e-05;2.660085981643569e-06
7.579869624153295e-05;-2.6214080003037672e-05;2.65955903341779e-06
7.579870744774165e-05;-2.621416042626318e-05;2.6598257853263052e-06
7.57790609279464e-05;-2.620517143403738e-05;2.6435676682969596e-06
7.579870212635902e-05;-2.6214002489367118e-05;2.6594597370747965e-06
7.57979328468739e-05;-2.6214969498442054e-05;2.6578051856194583e-06
7.579875565736285e-05;-2.621399811274402e-05;2.6595741823657468e-06
7.579875042425015e-05;-2.621399391186307e-05;2.659569914263689e-06
7.579879805430577e-05;-2.6213973312538467e-05;2.659648123882113e-06
7.579877438147414e-05;-2.6213979605637976e-05;2.659617344986389e-06
7.57988074246066e-05;-2.621395825028672e-05;2.659654537521401e-06
7.579886827983887e-05;-2.6214063400282217e-05;2.6597942014305307e-06
7.579829851609004e-05;-2.6213726408803065e-05;2.6591217567080795e-06
7.579897653223608e-05;-2.6213894990147248e-05;2.660505362299872e-06
7.578849833030245e-05;-2.6207530396822482e-05;2.6487987498486097e-06
7.579822105234128e-05;-2.6213506923815988e-05;2.65967770004164e-06
7.579882716585576e-05;-2.6213140081611846e-05;2.661700496908393e-06
7.574350622789898e-05;-2.630875267764041e-05;2.2286657010612675e-06
7.581156579678571e-05;-2.6298107081732012e-05;2.5530168065592494e-06
7.580371238493504e-05;-2.6208410803520165e-05;2.6509996083842014e-06
7.579158538025918e-05;-2.6211302664329777e-05;2.6589607135006e-06
7.579992050084823e-05;-2.6214943833035534e-05;2.660348157410232e-06
7.579916134123864e-05;-2.621423016787922e-05;2.659912392178058e-06
7.579866696661732e-05;-2.6214057199319483e-05;2.6598304228255763e-06
7.579865443768815e-05;-2.621395798761172e-05;2.659671314692309e-06
7.579867567822936e-05;-2.6213942711649636e-05;2.6596229527609784e-06
7.579875590632162e-05;-2.6214542388708396e-05;2.659748201136573e-06
7.579838149209031e-05;-2.6214215296081375e-05;2.6600181066402703e-06
7.579832237392036e-05;-2.62139829606538e-05;2.6593840451709714e-06
7.579763154840219e-05;-2.6215017745597237e-05;2.662807104288823e-06
7.579725532907686e-05;-2.6214444825052206e-05;2.661795658792309e-06
7.57981455641281e-05;-2.6214021274045442e-05;2.6603327283179756e-06
7.579870686087251e-05;-2.6213836068407717e-05;2.6593486220814135e-06
-0.008996131451550472;0.010018555027487086;-0.0037413116480895783
7.579856230706949e-05;-2.6213898520571827e-05;2.658989083719176e-06
7.57984930693778e-05;-2.62137939620284e-05;2.6588324135672093e-06
7.579889611310212e-05;-2.6214049162704815e-05;2.6599863999029632e-06
7.579858931480316e-05;-2.621329671724244e-05;2.658581023773394e-06
7.579878551395325e-05;-2.6214051564227338e-05;2.6599490496488557e-06
7.57990653445979e-05;-2.621421353062282e-05;2.6599830627521116e-06
7.579884593255478e-05;-2.621433994458727e-05;2.6600894047758443e-06
7.579883554919611e-05;-2.621430211755726e-05;2.6599372443987426e-06
7.579874507185626e-05;-2.6213932446093663e-05;2.6594478524702734e-06
7.579910121529055e-05;-2.6212920616655645e-05;2.6569903769906063e-06
7.579873799899519e-05;-2.6214076706753427e-05;2.659643322929948e-06
7.579864474786527e-05;-2.6213967716300578e-05;2.659568439932762e-06
7.579760266447253e-05;-2.6215037139428037e-05;2.663083303577593e-06
-0.01450525786502153;0.03199540479144665;-0.012239640015469377
0.02830123191932292;-0.03306809436691205;0.008861787046002077
7.579895341917252e-05;-2.6213844815302263e-05;2.659450186715667e-06
7.57309540582943e-05;-2.621081723195834e-05;2.5591719662131924e-06
7.579928852678936e-05;-2.6215960201201037e-05;2.6600272167370538e-06
7.579939958718e-05;-2.6216320998690568e-05;2.6602081629362557e-06
7.579883263982334e-05;-2.621599023245969e-05;2.659361310839542e-06
7.579926002961734e-05;-2.6216577192966194e-05;2.6599964083974393e-06
7.579932379364019e-05;-2.6216763728064756e-05;2.6601084269991173e-06
7.579862259706572e-05;-2.621573042034216e-05;2.659028371278424e-06
