x;y
11.5531435;1.7714709
11.518147;1.7919279
11.504535;1.7832348
11.598807;1.7044561
11.511234;1.429307
11.666722;1.604963
11.625087;1.6694918
11.45563;1.5644782
11.30504;1.3312674
10.933927;0.13174962
11.191776;1.2184396
11.023845;0.9774719
10.285809;0.9690739
9.84267;0.18569246
9.966755;0.5138135
10.000209;0.8809947
10.581255;1.2720999
11.030497;1.3554826
10.7112255;0.6873798
11.475625;1.6652716
11.434589;1.447931
11.383618;1.4362769
11.92851;1.8101754
11.697401;1.7302287
11.278137;0.79951125
12.010057;1.7643294
11.868107;3.9261463
11.927464;4.081079
11.76563;4.1163774
11.788596;4.2510343
11.852191;4.7196565
11.575245;3.8501
11.529824;3.8779693
11.334537;3.5999572
11.287182;3.7544975
11.257785;3.957004
11.173933;3.8705106
11.215347;4.023056
11.139381;4.0398426
11.191141;4.329558
11.175158;4.6101646
11.256146;5.2741055
11.186227;5.600123
11.182243;5.499956
11.112849;5.9830275
10.846378;5.626469
10.8424015;5.3791428
10.626011;5.4668407
10.564571;5.5290127
10.611731;5.426219
10.559535;5.5354075
10.635512;5.4170027
10.488654;5.5053825
9.992659;5.723056
9.675402;5.9314575
9.593802;6.377695
9.269208;6.8873067
9.221761;6.774999
6.28718;0.91987675
6.3548794;0.8457526
6.5205784;1.7843406
6.822602;2.1870375
7.362734;2.3122702
7.841034;2.2630124
8.222315;3.028261
8.607437;3.6804717
8.591817;3.578793
9.118458;4.7786136
7.769628;2.6784432
8.479977;1.9672484
8.859892;2.079114
9.150563;2.2067342
8.701595;0.6957193
8.70705;1.555535
8.9173765;0.28104186
9.637428;2.3488743
9.6435;3.1067352
9.3473215;2.8362432
8.381967;0.82603854
8.296873;0.67519134
8.241214;0.7584467
8.008971;1.1358923
7.8003044;1.1566328
7.7144966;1.2615324
7.848787;1.5702604
7.473658;1.1523281
7.899081;1.5730671
8.27339;2.6727345
8.7775;4.015069
9.830544;5.892152
9.9197035;5.6957173
9.122636;4.142548
9.349256;4.250209
9.329105;4.2663827
9.395204;4.5237026
9.399855;4.490777
9.324638;4.243352
9.432508;4.631855
9.393752;4.52632
9.404083;4.47463
9.38759;4.543483
9.356206;4.548334
8.836038;6.4810615
8.668134;6.8922276
8.6362505;6.885153
8.576577;6.733321
8.460545;6.8577795
8.421206;6.8212233
8.510109;6.959519
8.471905;7.0674114
8.520791;7.399653
8.450895;7.517298
8.481314;7.6425405
8.538769;7.6946344
8.434394;7.7445
8.471329;7.4991746
8.420564;7.3355074
8.555799;7.558843
8.386851;7.5957355
8.541479;7.7130313
8.39;7.7410264
8.412749;7.6968937
8.39738;7.6887293
8.362901;7.722667
9.1839075;8.641621
9.044702;8.8844595
8.994638;8.989062
8.910486;8.952557
8.864737;8.9824
8.760908;8.96052
8.695324;8.991851
8.820402;8.969854
8.977292;8.940688
9.085742;8.92939
9.28139;8.988949
9.578285;9.1687155
9.831171;9.252926
9.631511;9.141965
9.476096;9.077379
9.395469;8.573649
9.369518;8.424383
9.386581;8.2833185
9.680459;8.52832
10.084078;8.579196
10.037089;8.600849
10.086531;8.531099
9.927096;8.966669
9.734242;8.865187
9.402819;9.09923
7.0251846;8.012485
5.4166565;7.188735
4.0206976;3.8930914
4.2772965;4.321415
8.492729;8.910907
8.470445;8.980491
8.445444;8.981983
8.388133;8.949022
8.500776;8.981421
8.482489;8.979333
8.493172;8.993318
8.568705;8.9901705
8.57465;8.93783
8.541573;8.9159
9.24358;9.050856
9.364201;9.129855
9.026967;9.051112
6.5625463;8.101586
6.632021;8.066117
5.2392426;6.959209
4.375298;4.270882
4.4207487;4.33572
5.1911435;6.7257714
6.306323;7.934105
5.2812266;7.0235243
3.824671;4.227305
3.3270297;4.321811
8.300369;8.965975
6.3030567;8.035936
3.862109;4.0645323
3.9382596;4.0805664
3.9764652;4.0176773
3.9412372;4.010487
4.010932;3.996384
3.9991229;3.9048784
3.996798;3.9602103
3.979791;3.9119847
4.0025406;3.9213626
3.9888988;3.9090927
3.9085548;3.8101428
3.9347744;3.8238294
4.0016108;3.9161758
4.014868;3.9485033
4.014898;4.013033
4.035645;4.1353292
4.235887;2.4079187
4.8088727;1.0453146
5.136489;0.9087385
5.06322;1.0742129
5.482789;0.76680374
7.109511;0.14805074
7.014167;0.13593456
7.505709;-0.26187593
7.2715116;0.062321983
8.631556;-0.24208972
9.562764;0.7550625
9.827794;1.1694458
9.781725;0.81615424
9.787322;1.9065429
9.790476;1.9162265
9.798818;1.6180948
9.832703;0.834456
9.822646;0.77659655
9.916345;0.81984663
9.908257;0.8024073
9.964406;1.8748394
9.921561;0.76634765
10.565622;3.2002065
9.045113;0.9092988
8.653086;1.553534
