x;y;z
1.9338526;-2.1595545;0.2490739
2.0458927;-2.198111;0.28114638
-0.3542187;-0.7534285;-3.8193462
-0.90853024;-0.94389397;-4.669351
-2.5631683;-2.025308;-3.8464463
-0.27750537;-0.57346046;-2.045118
-0.94736105;-0.6214702;-4.2674375
1.0042202;-1.5075498;-2.617298
0.40034115;-1.9208057;-2.1824014
2.8535252;-3.7086737;-1.5365158
-1.1582103;-1.6505575;-2.076369
-0.80275214;-2.422795;-1.8811182
-0.33383635;-0.0024509216;-2.909683
-0.4463949;-1.1415129;-2.780453
0.6627681;-2.3460374;-2.1159012
1.8912559;-3.877871;-1.1603814
-1.2483308;-2.4591336;-3.1695802
-1.7904732;-0.4397627;-3.2474895
0.8849806;-0.80586404;-2.3963308
1.8078573;-1.6219862;-1.6730747
0.14122267;0.13861744;-2.3790839
-0.91406196;-3.1204975;-3.055897
-0.84314966;-3.374417;-3.0584934
-1.5198212;-2.3704574;-3.536811
-1.9663455;0.044290714;-2.5841482
-1.1229146;0.11724561;-1.8507749
-0.31915227;-0.40487713;-3.3821785
-0.65380013;-0.12430105;-1.7609614
1.3554051;-1.9412344;-2.4578083
2.9537127;-3.9779775;-1.5562538
-1.6949273;-0.8205199;-3.7645013
-1.6633773;-1.1578337;-4.2043295
-1.4837275;-1.6729708;-2.556907
-0.34065893;0.57898897;-2.2519755
-1.7608318;-1.8881799;-5.0659013
-0.47812018;-1.4706485;-4.7308164
0.20059964;-1.2387656;-3.461818
0.34961024;-0.4218281;-2.666148
2.5035763;-2.9450662;-1.579553
-0.15667662;-1.2078314;-3.9239175
0.8851701;-2.2545779;-1.6593
-1.0549216;-0.22723551;-3.767288
-1.0024099;-1.6929986;-5.586132
0.85960746;-2.151776;-1.0882164
1.2532003;-1.2874105;-2.264381
1.4175029;-2.1859157;-2.4950366
2.0102177;-5.821802;0.20910844
0.090310454;-0.1756642;-2.6525671
0.22567411;-1.3763723;-3.4882927
1.0057342;-1.7439606;-2.7403293
0.041340027;-0.5129341;-3.0246255
-0.7260096;-1.3363712;-3.3317008
0.07416746;-1.1076584;-3.5057762
0.37792444;-1.3678828;-1.7897724
-0.8480142;-3.3377187;-3.0518913
-0.7620506;-2.6981976;-1.9205599
-1.1622695;0.42053127;-3.0331151
-0.7544465;-2.7500548;-1.9265766
-0.63782215;-0.36525202;-2.0879445
0.7135629;-1.2347401;-2.7554724
-1.0227004;-0.601041;-2.896858
-1.02018;-0.900544;-3.2864935
1.3128887;-6.266806;0.32430717
-1.1303909;-1.622576;-4.18853
-0.6110258;-0.6485067;-2.4576404
-1.0400305;-0.2764739;-2.453843
-2.44333;-2.7990122;-4.799593
0.7329179;-1.4505043;-2.8407848
-0.3410512;-1.3478336;-2.7919834
2.3604221;-3.5869756;0.5850158
-0.7160516;-1.033649;-0.56143904
0.52661234;-0.13441388;-1.3779211
-2.2057674;-2.831897;-0.6435545
-1.2372577;-1.2004375;-0.25871357
-3.8155298;-3.994148;-0.898266
-1.1489466;-2.2719042;-0.33964023
-3.066133;-2.1273034;0.24046174
-2.2057674;-2.831897;-0.6435545
-2.3292196;-3.3013318;-0.7616921
-2.4843678;-4.0385528;0.8684475
-2.2057674;-2.831897;-0.6435545
-2.082489;-2.5028474;-1.0752786
-1.3290999;-1.4817832;-0.43458182
-0.6137887;-0.7741765;-0.54964286
0.1253553;-0.4136152;-1.2482365
0.9506129;0.2481098;-0.9560212
-0.6137887;-0.7741765;-0.54964286
-0.32350892;-0.54721856;-0.8528036
-0.6137887;-0.7741765;-0.54964286
-0.7172459;-1.3628306;-0.39316347
-1.1701074;-0.75866956;-0.13701159
-0.6137887;-0.7741765;-0.54964286
-0.48678026;-0.8997168;-0.6829826
-0.72351784;-1.0126759;-0.56237465
0.52820766;-0.1233998;-1.3772293
-2.201893;-2.801432;-0.65232396
-1.2396089;-1.1820655;-0.2662529
-3.8234475;-3.9721363;-0.9030759
-1.1477282;-2.2466023;-0.34432214
-3.0651531;-2.1093426;0.23560277
-2.201893;-2.801432;-0.65232396
-2.3303027;-3.273688;-0.779778
-2.4882922;-4.011412;0.865124
-2.201893;-2.801432;-0.65232396
-2.0755053;-2.4849703;-1.0786835
-1.3335443;-1.4662316;-0.4516516
-0.6212809;-0.75858915;-0.5502996
0.12781845;-0.40589234;-1.2512051
0.9553142;0.25468004;-0.9529174
-0.6212809;-0.75858915;-0.5502996
-0.32659665;-0.5367082;-0.8508635
-0.6212809;-0.75858915;-0.5502996
-0.7143636;-1.3382813;-0.38526404
-1.1752133;-0.75340843;-0.13818039
-0.6212809;-0.75858915;-0.5502996
-0.4920533;-0.88120836;-0.6803519
-0.76042485;-0.9005322;-0.58976644
0.5297135;-0.077635475;-1.3944352
-2.2129545;-2.639951;-0.70387954
-1.2594142;-1.0892711;-0.30627832
-3.9011452;-3.8204806;-0.93751043
-1.1543055;-2.122349;-0.37654307
-3.1217246;-1.9586928;0.18366653
-2.2129545;-2.639951;-0.70387954
-2.3640907;-3.1269305;-0.85568196
-2.512683;-3.86448;0.8454569
-2.2129545;-2.639951;-0.70387954
-2.059794;-2.39483;-1.094731
-1.35424;-1.3640205;-0.510627
-0.66437685;-0.6764627;-0.56806237
0.10858354;-0.33883864;-1.2636648
0.9801461;0.28524402;-0.9374261
-0.66437685;-0.6764627;-0.56806237
-0.34054026;-0.4991104;-0.873007
-0.66437685;-0.6764627;-0.56806237
-0.7040199;-1.2089357;-0.3626363
-1.2092783;-0.7219913;-0.17742535
-0.66437685;-0.6764627;-0.56806237
-0.5317793;-0.78084815;-0.70484304
