x;y;z
-0.0556533;0.0144191;-0.0751195
-0.05656;0.0168308;-0.0754873
0.0165125;0.0516912;-0.132524
0.0141288;0.0740569;-0.157537
0.0190209;0.0379483;-0.0889754
0.022117;0.0187835;-0.0809307
-0.00347111;0.0797355;-0.159815
0.00298898;0.0207291;-0.0936533
0.0229359;0.0127921;-0.0740778
-0.0310171;0.0297439;-0.0978984
0.0236173;0.00283333;-0.0485886
0.0243106;-0.00158925;-0.043639
-0.0183355;0.0622933;-0.136951
0.0500015;0.0123985;-0.0821319
0.00934348;0.0159088;-0.0742059
-0.0175415;0.0285791;-0.0836415
0.0450099;0.00577416;-0.054237
-0.00986176;0.0737827;-0.13809
0.00213146;0.027561;-0.10131
-0.0331642;0.0502305;-0.120879
-0.0165941;0.0452371;-0.117808
0.0457313;0.00160073;-0.049613
0.0459938;0.000161085;-0.0480423
0.0437585;0.0137115;-0.0632138
-0.0225283;0.0778301;-0.140443
-0.0204791;0.0562497;-0.115574
-0.00119288;0.056974;-0.134327
-0.00605006;0.0369966;-0.0956336
-0.0143386;0.0252184;-0.0953281
-0.0307802;0.0276197;-0.0955187
0.00320555;0.0697147;-0.13623
0.0166274;0.0656438;-0.134881
0.0223986;0.0112347;-0.0581378
-0.0348141;0.0676085;-0.140347
0.0442934;0.057569;-0.133761
0.053069;0.0414033;-0.131466
0.057647;0.00783618;-0.0942625
0.019966;0.0229567;-0.100335
-0.0317984;0.0369336;-0.105961
0.0550691;0.0258176;-0.114157
-0.00468884;0.0253054;-0.0821448
-0.0204926;0.0854216;-0.162838
0.050534;0.062902;-0.155327
-0.0188574;0.0404961;-0.0973894
-0.0151591;0.0322323;-0.103199
-0.0140896;0.0231486;-0.0930089
-0.0237843;0.0152227;-0.0451153
0.000632245;0.04026;-0.115568
0.0579351;0.00599697;-0.0922424
0.00324973;0.0187154;-0.0914012
0.0184103;0.0353382;-0.114202
0.0485052;0.0231524;-0.0943843
0.0567058;0.0140968;-0.101168
0.00854746;0.0220352;-0.0812366
0.0459528;0.000382929;-0.0482833
0.0245219;-0.00288028;-0.0422103
-0.0368385;0.0910733;-0.166554
0.0245609;-0.00311548;-0.041951
0.00714449;0.0334963;-0.0944441
0.0208569;0.0163119;-0.0929129
0.00541237;0.0487239;-0.112021
0.0188991;0.0449654;-0.111067
-0.0154121;0.00276867;-0.0365543
0.0466604;0.037545;-0.110845
0.020677;0.0300111;-0.0938367
-0.00772967;0.0524909;-0.11353
0.0403564;0.0390462;-0.0925012
0.0211283;0.0143556;-0.0907336
0.050857;0.00667856;-0.0756591
-0.0523609;0.015294;-0.0529681
0.00642016;-0.0364712;-0.0551153
0.0336289;-0.00878337;-0.0752345
-0.0288123;-0.079274;-0.0312962
-0.027523;-0.0597332;-0.0331864
-0.0425947;-0.116834;-0.0089011
-0.018744;-0.0439558;-0.0596886
-0.0539216;-0.13598;-0.0259797
-0.0288123;-0.079274;-0.0312962
-0.0217507;-0.066735;-0.028901
-0.0759984;-0.126794;-0.0209456
-0.0288123;-0.079274;-0.0312962
0.00833044;-0.0712763;-0.0367878
-0.0236434;-0.0452507;-0.0318753
0.00579167;-0.0372554;-0.050879
0.0398699;-0.0279646;-0.0744575
-0.0110958;-0.0028543;-0.0540524
0.00579167;-0.0372554;-0.050879
0.0123114;-0.0341775;-0.0352659
0.00579167;-0.0372554;-0.050879
-0.000710107;-0.0368317;-0.0674943
-0.00987238;-0.0674228;-0.0385724
0.00579167;-0.0372554;-0.050879
0.0125665;-0.0293637;-0.0532365
0.00638692;-0.036228;-0.0553615
0.0335831;-0.00852478;-0.0755028
-0.0288323;-0.079069;-0.0314936
-0.027547;-0.0595221;-0.0333952
-0.0426097;-0.11668;-0.00904217
-0.0187719;-0.0436825;-0.0599622
-0.0539345;-0.13581;-0.0261353
-0.0288323;-0.079069;-0.0314936
-0.0217731;-0.066528;-0.0291034
-0.0760084;-0.126611;-0.0211147
-0.0288323;-0.079069;-0.0314936
0.00830424;-0.0710797;-0.0369776
-0.0236697;-0.0450407;-0.0320854
0.00575894;-0.0370223;-0.0511149
0.0398292;-0.0277006;-0.0747258
-0.0111402;-0.00262095;-0.0542987
0.00575894;-0.0370223;-0.0511149
0.0122791;-0.0339822;-0.0354623
0.00575894;-0.0370223;-0.0511149
-0.000743302;-0.0365503;-0.0677791
-0.00989808;-0.0672224;-0.0387675
0.00575894;-0.0370223;-0.0511149
0.0125316;-0.0291218;-0.0534854
0.00620734;-0.034892;-0.0567165
0.0333359;-0.00710605;-0.076979
-0.0289403;-0.0779414;-0.0325804
-0.0276769;-0.0583623;-0.0345451
-0.0426897;-0.115832;-0.00982041
-0.0189234;-0.0421821;-0.0614656
-0.0540032;-0.134878;-0.0269915
-0.0289403;-0.0779414;-0.0325804
-0.0218938;-0.06539;-0.0302183
-0.0760615;-0.125599;-0.0220454
-0.0289403;-0.0779414;-0.0325804
0.00816347;-0.0699986;-0.0380241
-0.0238119;-0.0438864;-0.0332433
0.00558215;-0.0357423;-0.0524134
0.03961;-0.026251;-0.0762019
-0.0113806;-0.00134111;-0.0556543
0.00558215;-0.0357423;-0.0524134
0.0121051;-0.0329093;-0.0365461
0.00558215;-0.0357423;-0.0524134
-0.000922777;-0.0350059;-0.0693436
-0.0100363;-0.0661209;-0.0398422
0.00558215;-0.0357423;-0.0524134
0.0123435;-0.0277935;-0.0548559
0.00595414;-0.0329469;-0.0586967
0.0329875;-0.00504464;-0.0791356
-0.0290914;-0.0762943;-0.0341708
-0.0278597;-0.0566708;-0.0362277
-0.0427995;-0.114589;-0.0109632
-0.0191377;-0.0399985;-0.063656
-0.054096;-0.133512;-0.0282432
-0.0290914;-0.0762943;-0.0341708
-0.0220637;-0.0637286;-0.0318509
-0.0761337;-0.124117;-0.0234054
-0.0290914;-0.0762943;-0.0341708
0.00796705;-0.0684196;-0.0395582
-0.024013;-0.0422037;-0.0349396
0.0053331;-0.0338781;-0.0543127
0.0393017;-0.0241425;-0.0783571
-0.0117211;0.000517406;-0.057636
0.0053331;-0.0338781;-0.0543127
0.0118603;-0.0313455;-0.0381387
0.0053331;-0.0338781;-0.0543127
-0.00117612;-0.0327595;-0.0716226
-0.0102293;-0.0645134;-0.0414161
0.0053331;-0.0338781;-0.0543127
0.012078;-0.0258599;-0.0568596
0.00561436;-0.0302246;-0.0614789
0.0325205;-0.00216772;-0.0821638
-0.0292921;-0.0739794;-0.0364099
-0.0281042;-0.0542978;-0.0385963
-0.0429416;-0.112834;-0.0125795
-0.0194264;-0.0369447;-0.0667222
-0.0542132;-0.131584;-0.0300041
-0.0292921;-0.0739794;-0.0364099
-0.0222911;-0.0613951;-0.0341515
-0.0762255;-0.122028;-0.0253174
-0.0292921;-0.0739794;-0.0364099
0.00770684;-0.0662;-0.0417234
-0.0242838;-0.0398447;-0.0373306
0.00499921;-0.0312681;-0.0569842
-0.0121805;0.0031094;-0.0604208
0.00499921;-0.0312681;-0.0569842
0.011533;-0.0291533;-0.0403918
0.00499921;-0.0312681;-0.0569842
-0.0015165;-0.0296208;-0.0748119
-0.010485;-0.0622565;-0.043634
0.00499921;-0.0312681;-0.0569842
0.0117213;-0.0231549;-0.0596764
-0.00357801;0.0055325;0.0582415
-0.00365605;0.00601534;0.0576032
-0.00375898;0.00665734;0.0567489
-0.00397753;0.00803995;0.0548905
-0.00435777;0.0105079;0.0515219
-0.00254774;0.00486762;0.0507679
-0.00262828;0.00538281;0.0500845
-0.00273454;0.00606786;0.0491708
-0.00296027;0.00754323;0.0471858
-0.00335323;0.0101766;0.0435959
-0.00686241;0.00320645;0.079866
-0.00693182;0.00361087;0.0793421
-0.00702327;0.00414847;0.0786394
-0.0072171;0.00530589;0.0771049
-0.00755334;0.00737156;0.0743064
-0.0069943;0.0202336;0.0999766
-0.0070661;0.0206137;0.0994592
-0.00716074;0.0211185;0.0987647
-0.00736144;0.0222037;0.0972466
-0.0077098;0.0241355;0.0944736
-0.00479348;0.02075;0.0817712
-0.0048721;0.021189;0.081162
-0.00497579;0.0217722;0.0803459
-0.00519592;0.0230266;0.0785676
-0.00557865;0.0252613;0.0753358
-0.00305612;0.0208659;0.0672769
-0.00314021;0.0213591;0.0665857
-0.00325117;0.0220145;0.0656612
-0.0034869;0.0234245;0.0636513
-0.00389718;0.0259367;0.060013
-0.00730713;0.0182877;0.102691
-0.00737737;0.0186614;0.102184
-0.00746993;0.0191577;0.101504
-0.00766617;0.0202245;0.100017
-0.00800659;0.0221234;0.0972995
0.00108796;0.0263133;0.124271
0.00101631;0.0266797;0.123737
0.000921888;0.0271661;0.123021
0.000721706;0.0282107;0.121457
0.0003744;0.0300683;0.118603
-0.000627296;0.0176197;0.137891
-0.000690664;0.0179252;0.137487
-0.000773993;0.0183302;0.136943
