x;y
0.0345532;-0.0113699
0.0322341;-0.0125712
-0.00823492;0.0585381
-0.00537957;0.0542009
-0.00181619;-0.0285533
-0.0246428;0.0532861
-0.00641926;0.0536172
-0.0165483;0.0690029
-0.0265063;0.0561167
-0.0186277;0.0678355
-0.00993142;-0.0162264
-0.0117949;-0.0133958
-0.0103143;0.0573707
-0.0229793;0.05422
-0.0273381;0.0556497
-0.0271381;0.0518852
-0.0159422;-0.0169703
-0.0180408;0.039797
-0.0146848;0.0661723
-0.0140591;0.0608959
-0.0130194;0.0614796
-0.0178057;-0.0141397
-0.0185571;-0.0129983
-0.0132371;-0.0210792
-0.0188726;0.03933
-0.0217279;0.0436672
-0.00927462;0.0579544
-0.0236013;0.0482432
-0.017588;0.0684192
-0.0192588;0.0687943
-0.0172091;0.040264
-0.0163773;0.0407309
-0.00722634;-0.0203354
-0.011354;0.056787
-0.0147138;0.0416649
-0.00615553;0.0597055
-0.0134292;0.0707541
-0.0136451;0.066756
-0.0167642;0.0650049
-0.00886061;0.0638145
-0.0263063;0.0523521
-0.00745896;0.0530334
-0.00330018;0.0553683
-0.024433;0.0477762
-0.0157245;0.0655886
-0.0182191;0.069378
-0.0231405;-0.0155716
-0.0119797;0.0620634
-0.0140604;0.0717128
-0.0171794;0.0699617
-0.01094;0.0626471
-0.0202742;0.0501111
-0.0115657;0.0679235
-0.0254746;0.0528191
-0.0184369;-0.0131809
-0.0124261;-0.012437
-0.00849865;0.0524497
-0.0125463;-0.0122544
-0.0227695;0.0487101
-0.0155086;0.0695866
-0.0200644;0.0446012
-0.0192327;0.0450682
-0.0184597;-0.0187939
-0.0175692;0.0460021
-0.0219377;0.0491771
-0.0208962;0.0441342
-0.00782697;-0.0292972
-0.0161398;0.0705454
-0.0248428;0.0570506
0.0259646;-0.0648341
0.0109981;-0.00872035
0.0202197;0.0274586
0.00717075;-0.0407722
0.012493;-0.0190818
0.0155194;-0.0722755
-0.00100235;-0.00998222
0.0105738;-0.0155101
0.00717075;-0.0407722
0.00247536;-0.0525298
0.000801455;-0.0317008
0.00717075;-0.0407722
0.0114829;-0.0397051
0.0202045;-0.0460882
0.0142579;-0.00936203
0.0086843;0.0255878
0.0284233;0.0250193
0.0142579;-0.00936203
0.0294451;-0.0352169
0.0142579;-0.00936203
-0.00075009;0.015526
0.0227113;-0.00681628
0.0142579;-0.00936203
0.00483603;-0.00381257
0.0111183;-0.00890297
0.0203399;0.027276
0.00729097;-0.0409548
0.0126132;-0.0192645
0.0156396;-0.0724581
-0.000882127;-0.0101648
0.010694;-0.0156927
0.00729097;-0.0409548
0.00259559;-0.0527124
0.000921681;-0.0318834
0.00729097;-0.0409548
0.0116031;-0.0398877
0.0203248;-0.0462709
0.0143782;-0.00954465
0.00880453;0.0254052
0.0285435;0.0248367
0.0143782;-0.00954465
0.0295653;-0.0353995
0.0143782;-0.00954465
-0.000629865;0.0153434
0.0228315;-0.0069989
0.0143782;-0.00954465
0.00495625;-0.00399519
0.0117495;-0.00986173
0.0209711;0.0263172
0.00792216;-0.0419135
0.0132444;-0.0202232
0.0162708;-0.0734169
-0.000250943;-0.0111236
0.0113252;-0.0166514
0.00792216;-0.0419135
0.00322677;-0.0536711
0.00155287;-0.0328422
0.00792216;-0.0419135
0.0122343;-0.0408465
0.020956;-0.0472296
0.0150093;-0.0105034
0.00943571;0.0244465
0.0291747;0.0238779
0.0150093;-0.0105034
0.0301965;-0.0363583
0.0150093;-0.0105034
1.31937e-06;0.0143846
0.0234627;-0.00795766
0.0150093;-0.0105034
0.00558743;-0.00495394
0.0125911;-0.0111401
0.0218127;0.0250389
0.00876374;-0.0431919
0.014086;-0.0215016
0.0171124;-0.0746952
0.000590636;-0.0124019
0.0121668;-0.0179298
0.00876374;-0.0431919
0.00406835;-0.0549495
0.00239444;-0.0341205
0.00876374;-0.0431919
0.0130759;-0.0421248
0.0217975;-0.048508
0.0158509;-0.0117818
0.0102773;0.0231681
0.0300163;0.0225996
0.0158509;-0.0117818
0.0310381;-0.0376366
0.0158509;-0.0117818
0.000842898;0.0131063
0.0243043;-0.009236
0.0158509;-0.0117818
0.00642901;-0.00623228
0.0136431;-0.012738
0.0228647;0.023441
0.00981571;-0.0447898
0.015138;-0.0230995
0.0181644;-0.0762932
0.00164261;-0.0139999
0.0132187;-0.0195277
0.00981571;-0.0447898
0.00512032;-0.0565474
0.00344642;-0.0357184
0.00981571;-0.0447898
0.0141279;-0.0437228
0.0228495;-0.0501059
0.0169029;-0.0133797
0.0310683;0.0210017
0.0169029;-0.0133797
0.0320901;-0.0392346
0.0169029;-0.0133797
0.00189487;0.0115084
0.0253563;-0.0108339
0.0169029;-0.0133797
0.00748099;-0.00783021
-0.025335;-0.0142375
-0.0250044;-0.0147397
-0.0245836;-0.0153789
-0.0237421;-0.0166573
-0.0224196;-0.0186661
-0.0316679;-0.00251243
-0.0313373;-0.00301464
-0.0309165;-0.00365381
-0.0300749;-0.00493215
