x;y
0.554097;0.337242
0.557021;0.335251
-0.255327;0.63525
-0.276999;0.682311
-0.319921;0.36179
-0.243921;0.432362
-0.118016;0.679368
-0.0411359;0.512425
-0.229777;0.401649
0.276829;0.506538
-0.258325;0.228037
-0.244181;0.197324
0.0626387;0.629364
-0.498294;0.437072
-0.102591;0.399294
0.137637;0.425298
-0.480505;0.247476
-0.0522856;0.563882
-0.0552801;0.543139
0.242153;0.581836
0.0831706;0.584779
-0.466361;0.216762
-0.460658;0.204378
-0.501037;0.29206
0.0749005;0.561528
0.096573;0.514467
-0.0963439;0.632307
-0.0100812;0.472237
0.117847;0.509482
0.28162;0.496135
-0.179472;0.566237
-0.306658;0.568592
-0.278857;0.272621
0.221621;0.62642
-0.56103;0.573301
-0.573292;0.641137
-0.518084;0.521255
-0.214263;0.546082
0.262685;0.537252
-0.55276;0.596553
0.0104507;0.427653
0.0409661;0.676425
-0.594964;0.688198
0.117105;0.469882
0.103702;0.540195
0.122637;0.499079
0.240205;0.191402
-0.075812;0.587723
-0.513293;0.510852
-0.0363452;0.502022
-0.234795;0.590666
-0.518825;0.481656
-0.532228;0.551969
-0.116735;0.430008
-0.46157;0.206359
-0.23939;0.186921
0.199949;0.673481
-0.238478;0.184939
-0.137267;0.474592
-0.200119;0.515368
-0.157799;0.519176
-0.284985;0.521531
0.178595;0.14791
-0.539357;0.52624
-0.264453;0.476946
-0.0306131;0.516821
-0.542101;0.381228
-0.195328;0.504965
-0.484149;0.406358
0.541929;0.201953
-0.00841335;0.272665
-0.277878;0.38077
0.307415;0.0912235
0.306463;0.109735
0.363357;-0.125922
0.247107;0.315493
0.439298;-0.00019222
0.307415;0.0912235
0.251748;0.0800219
0.73794;-0.0374465
0.307415;0.0912235
-0.0640732;0.124088
0.283325;0.104706
-0.0076028;0.24032
-0.30612;0.390448
0.105346;0.233755
-0.0076028;0.24032
-0.0897539;0.123019
-0.0076028;0.24032
0.0693378;0.366684
0.114996;0.137355
-0.0076028;0.24032
-0.07353;0.259956
-0.00932588;0.274647
-0.27879;0.382751
0.306502;0.093205
0.30555;0.111717
0.362445;-0.12394
0.246195;0.317474
0.438385;0.0017893
0.306502;0.093205
0.250836;0.0820034
0.737027;-0.0354649
0.306502;0.093205
-0.0649857;0.126069
0.282412;0.106687
-0.00851533;0.242302
-0.307033;0.39243
0.104433;0.235737
-0.00851533;0.242302
-0.0906665;0.125
-0.00851533;0.242302
0.0684252;0.368666
0.114083;0.139337
-0.00851533;0.242302
-0.0744426;0.261937
-0.0141167;0.28505
-0.283581;0.393154
0.301711;0.103608
0.300759;0.12212
0.357654;-0.113537
0.241404;0.327877
0.433594;0.0121923
0.301711;0.103608
0.246045;0.0924064
0.732236;-0.025062
0.301711;0.103608
-0.0697765;0.136472
0.277622;0.11709
-0.0133061;0.252705
-0.311824;0.402833
0.0996425;0.24614
-0.0133061;0.252705
-0.0954572;0.135403
-0.0133061;0.252705
0.0636345;0.379069
0.109293;0.14974
-0.0133061;0.252705
-0.0792333;0.27234
-0.0205044;0.29892
-0.289969;0.407025
0.295324;0.117479
0.294372;0.13599
0.351266;-0.0996664
0.235016;0.341748
0.427207;0.0260629
0.295324;0.117479
0.239657;0.106277
0.725849;-0.0111913
0.295324;0.117479
-0.0761642;0.150343
0.271234;0.130961
-0.0196938;0.266575
-0.318211;0.416703
0.0932548;0.26001
-0.0196938;0.266575
-0.101845;0.149274
-0.0196938;0.266575
0.0572468;0.392939
0.102905;0.16361
-0.0196938;0.266575
-0.0856211;0.286211
-0.028489;0.316259
-0.297954;0.424363
0.287339;0.134817
0.286387;0.153328
