x;y;z
-0.000518627;-0.493368;0.445746
-0.0334609;-0.509406;0.444435
-0.23084;0.226563;0.584475
-0.273083;0.212936;0.609638
-0.228009;0.111531;0.339183
-0.128577;0.22166;0.429612
-0.224763;0.0641622;0.616539
-0.0749103;0.112505;0.527277
-0.101008;0.230554;0.41319
0.0217295;-0.185042;0.541079
-0.107949;0.150262;0.267667
-0.0803792;0.159156;0.251245
-0.1342;-0.0709835;0.598277
-0.205889;0.459697;0.41857
-0.0623519;0.111535;0.418711
-0.0126095;-0.135396;0.446174
-0.339806;0.309167;0.273427
-0.173549;-0.0558264;0.513494
-0.10248;0.103611;0.543699
-0.0458599;-0.206846;0.58134
-0.0941798;-0.058073;0.574438
-0.312237;0.318061;0.257005
-0.30112;0.321647;0.250383
-0.379826;0.296257;0.297265
-0.134893;-0.174845;0.519015
-0.0926495;-0.161217;0.493852
-0.18252;0.0777899;0.591376
-0.0912854;-0.0292883;0.464492
-0.0265904;-0.0362687;0.534178
0.0310675;-0.18203;0.535516
-0.212205;0.0631923;0.507973
-0.250861;0.182211;0.502452
-0.147969;0.137352;0.291506
-0.08588;-0.219757;0.605178
-0.328172;0.420248;0.49141
-0.327479;0.52411;0.570673
-0.21987;0.558825;0.506573
-0.1508;0.252384;0.536798
-0.00583989;-0.193936;0.557501
-0.287459;0.53702;0.546834
-0.0512654;-0.0163778;0.440654
-0.176443;-0.0846112;0.62344
-0.369723;0.510482;0.595836
-0.0526295;-0.148307;0.470013
-0.0541598;-0.0451626;0.5506
-0.0172524;-0.0332563;0.528615
-0.0881055;-0.334208;0.280806
-0.1425;0.0907003;0.567537
-0.210532;0.561837;0.501011
-0.0655723;0.115517;0.521714
-0.19082;0.239474;0.560636
-0.245909;0.446787;0.442409
-0.247439;0.549931;0.522996
-0.0899213;0.102641;0.435133
-0.302899;0.321074;0.251442
-0.0710412;0.162169;0.245682
-0.128123;-0.233385;0.630341
-0.0692625;0.162743;0.244623
-0.129941;0.0897304;0.458971
-0.12323;0.261278;0.520376
-0.169961;0.07682;0.48281
-0.208617;0.195839;0.477289
0.0883886;-0.235386;0.236242
-0.285929;0.433876;0.466247
