x;y;z
-0.00461848;0.00251593;0.00893169
-0.00461848;0.00307852;0.00893169
-0.00461848;-0.0015347;0.00177135
-0.00461848;-0.0015347;0.00177135
-0.00461848;0.000205572;-0.00284922
-0.00461848;-0.0015347;-0.000523408
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;-0.000523408
-0.00461848;-0.0015347;0.0066887
-0.00461848;0.000205572;-0.00284922
-0.00461848;0.000205572;-0.00284922
-0.00461848;-0.0015347;0.00504958
-0.00461848;-0.0015347;-0.00314599
-0.00461848;-0.0015347;0.000787884
-0.00461848;-0.0015347;0.00341047
-0.00461848;0.00277848;-0.00488518
-0.00461848;-0.0015347;0.00209918
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.0066887
-0.00461848;-0.0015347;0.00504958
-0.00461848;0.00277848;-0.00488518
-0.00461848;0.00277848;-0.00488518
-0.00461848;0.00277848;-0.00488518
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00209918
-0.00461848;-0.0015347;0.00504958
-0.00461848;-0.0015347;0.0066887
-0.00461848;-0.0015347;0.000787884
-0.00461848;-0.0015347;-0.000523408
-0.00461848;0.000205572;-0.00284922
-0.00461848;-0.0015347;0.0066887
-0.00461848;-0.0015347;-0.00314599
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;0.00177135
-0.00461848;-0.0015347;0.0066887
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;0.00209918
-0.00461848;-0.0015347;0.00504958
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00504958
-0.00461848;-0.0015347;0.00504958
-0.00461848;0.00277848;0.00234073
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;0.00341047
-0.00461848;-0.0015347;0.00177135
-0.00461848;-0.0015347;-0.00314599
-0.00461848;-0.0015347;-0.00150688
-0.00461848;-0.0015347;0.000787884
-0.00461848;0.00277848;-0.00488518
-0.00461848;0.000205572;-0.00284922
-0.00461848;-0.0015347;0.0066887
-0.00461848;0.000205572;-0.00284922
-0.00461848;-0.0015347;0.000787884
-0.00461848;-0.0015347;0.00177135
-0.00461848;-0.0015347;0.000787884
-0.00461848;-0.0015347;-0.000523408
-0.00461848;-7.19712e-05;0.00099493
-0.00461848;-0.0015347;-0.00314599
-0.00461848;-0.0015347;-0.000523408
-0.00461848;-0.0015347;0.00209918
-0.00461848;0.00277848;-0.00488518
-0.00461848;-0.0015347;0.00177135
-0.00461848;-0.0015347;-0.00314599
-0.00461848;0.00551641;0.00703377
-0.00461848;-0.00175599;0.00320342
-0.00461848;0.00277473;0.00110881
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00138468;0.00496331
-0.00461848;-0.00453142;0.00323793
-0.00461848;-0.00453142;0.0066887
-0.00461848;-0.00453142;0.00648165
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.00370723
-0.00461848;-0.00453142;0.00863148
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.0012986
-0.00461848;-0.000979614;0.00416273
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00113339;0.00146769
-0.00461848;0.00605274;0.00339321
-0.00461848;-0.00105838;0.00281003
-0.00461848;0.00118823;0.000177098
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00330123;0.00544642
-0.00461848;-0.00105838;0.00375209
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00105838;0.00195769
-0.00461848;-0.00175599;0.00320342
-0.00461848;0.00277473;0.00110881
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00138468;0.00496331
-0.00461848;-0.00453142;0.00323793
-0.00461848;-0.00453142;0.0066887
-0.00461848;-0.00453142;0.00648165
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.00370723
-0.00461848;-0.00453142;0.00863148
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.0012986
-0.00461848;-0.000979614;0.00416273
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00113339;0.00146769
-0.00461848;0.00605274;0.00339321
-0.00461848;-0.00105838;0.00281003
-0.00461848;0.00118823;0.000177098
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00330123;0.00544642
-0.00461848;-0.00105838;0.00375209
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00105838;0.00195769
-0.00461848;-0.00175599;0.00320342
-0.00461848;0.00277473;0.00110881
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00138468;0.00496331
-0.00461848;-0.00453142;0.00323793
-0.00461848;-0.00453142;0.0066887
-0.00461848;-0.00453142;0.00648165
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.00370723
-0.00461848;-0.00453142;0.00863148
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.0012986
-0.00461848;-0.000979614;0.00416273
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00113339;0.00146769
-0.00461848;0.00605274;0.00339321
-0.00461848;-0.00105838;0.00281003
-0.00461848;0.00118823;0.000177098
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00330123;0.00544642
-0.00461848;-0.00105838;0.00375209
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00105838;0.00195769
-0.00461848;-0.00175599;0.00320342
-0.00461848;0.00277473;0.00110881
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00138468;0.00496331
-0.00461848;-0.00453142;0.00323793
-0.00461848;-0.00453142;0.0066887
-0.00461848;-0.00453142;0.00648165
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.00370723
-0.00461848;-0.00453142;0.00863148
-0.00461848;-0.00453142;0.00496331
-0.00461848;-0.00453142;0.0012986
-0.00461848;-0.000979614;0.00416273
-0.00461848;-0.00105838;0.00281003
-0.00461848;-0.00113339;0.00146769
-0.00461848;0.00605274;0.00339321
-0.00461848;-0.00105838;0.00281003
-0.00461848;0.00118823;0.000177098
-0.00461848;-0.00105838;0.00281003
