x;y;z
2.6466142280948506e-49;4.078027044845658e-05;6.138271064884116e-47
1.241250502727372e-21;-1.872327796021049e-05;-9.691586608478671e-20
2.304685355019331e-18;-2.5153490401663703e-17;4.949259892120509e-18
-6.277246090887258e-18;-1.0408340855860843e-17;1.9851289976975852e-19
-5.833115147937437e-18;-6.938893903907228e-17;-7.416030650465079e-19
8.383942834057521e-18;0.0;1.9025866737454217e-18
-5.0974864668481926e-18;0.0;-5.4563146010646436e-18
6.605920325423742e-19;-1.1102230246251565e-16;2.0098173558048923e-18
1.0659363863785583e-17;-5.551115123125783e-17;3.1494091851532983e-18
-2.884630915983404e-18;1.897057785646361e-18;9.846814840893202e-19
-5.117422018949315e-18;-2.8760748917480264e-20;-8.299859887491112e-19
-1.5396128904081477e-18;-3.469446951953614e-18;3.7858334006429475e-18
1.9603043728961105e-18;-2.1686952515737548e-17;2.7395286159760707e-18
4.102758657782158e-18;2.908914093584575e-20;-6.438688322725039e-19
1.2324840123920718e-18;-4.398639213518544e-18;-4.658452368513863e-19
6.77061270516223e-19;-3.0242259094948863e-19;8.283255009740201e-19
6.1263819971531315e-18;-2.876420008447995e-20;4.1118553345664e-18
-6.85053822605765e-18;-1.2025475551941751e-17;-8.650583018890242e-18
5.5770461194173135e-18;-2.7694483793023953e-17;7.818960498517775e-18
-1.0074299131594636e-18;-5.270527291231092e-18;2.5337794678338853e-19
1.2642582591499459e-18;-5.38219489545829e-18;-1.2926215814322834e-18
-5.522954334473405e-18;-7.096252887784008e-22;-6.261627017269627e-19
-8.972540298700422e-18;2.6709772693904767e-22;8.026752049172105e-19
5.542620565665196e-18;-2.347415754036371e-20;-3.3087681104449146e-19
-3.9374820975076764e-18;8.84348684514715e-18;-4.842187470907467e-20
-4.076913252005658e-18;-7.33592941100784e-19;1.1443617454987326e-18
-1.1601923993577337e-19;1.547379618448783e-19;-6.690115894165248e-18
-3.7547989081113154e-18;1.4644207714345333e-18;-2.3019855222582454e-18
1.7213387249486796e-18;-3.025263978138997e-17;5.879981102273526e-19
-7.224212678789873e-18;-1.0028614705672198e-17;5.865508158150881e-18
-7.239582231556553e-18;-6.736245671610696e-19;-5.6713793441211835e-18
-5.522837840757361e-18;5.322660810755852e-18;5.280725385882232e-18
-1.5438029547697542e-17;-1.813759588044127e-18;-8.198022056542595e-18
4.629419254195422e-18;-2.483243780918146e-18;2.8297887129854587e-18
1.261252097092766e-18;-2.415211204463973e-18;-1.7029017702452872e-17
-5.7244235776835655e-18;-4.953320279827398e-19;-2.7310987021924387e-18
1.5504285190914648e-17;3.4908343960806194e-19;2.104239325245416e-18
-4.733651280983501e-18;-1.3422028292028143e-17;-8.259604921880253e-19
1.306632528966886e-18;-5.1758356288936344e-18;3.7266414015488575e-18
-5.8395167886118065e-18;-6.937425292948485e-21;3.454149214411458e-17
-1.1394313811794256e-17;1.4070144116094461e-18;3.637734105276953e-17
3.8043591888907243e-19;-2.3861715223698694e-18;9.002032296933778e-18
-1.768723090669221e-18;4.994629891593979e-19;1.56116146974193e-17
-1.454961443126473e-17;-3.1048746038825227e-19;-1.797163359660893e-17
5.926653298505105e-18;-2.45888032705917e-17;-1.0638072304500789e-18
1.6876419102645775e-19;-1.617411781360382e-17;-6.874390368628273e-18
-9.691792983709053e-18;-3.7615819226313196e-37;5.62743268996863e-18
8.533084921750336e-18;7.397504421664183e-19;6.586260927953052e-18
1.730673725010989e-17;-2.728818874103751e-19;6.460689916565323e-18
-5.110797196230785e-20;-4.6845385187651525e-17;2.1296405075857917e-18
5.152946660265518e-18;3.991152537348301e-18;4.018326147401653e-18
-4.2704561226178486e-18;2.7013632637691145e-18;1.499067670620032e-18
-1.5340253755718512e-17;-3.3494645103331825e-18;-8.102090608972608e-20
-2.4841043932681875e-18;2.4672603109430538e-18;1.4328614144553815e-18
-8.045667417703967e-18;-7.548968949623637e-22;3.572958433227433e-18
-5.309915489326325e-19;-2.881898331952916e-18;-1.7602797590659008e-18
1.953994014835643e-18;-3.321647638616257e-18;2.340796053632531e-17
-5.555767138629748e-19;-2.975482594665035e-18;-6.1001706090828184e-18
-2.8001846058705005e-18;7.25828656279155e-18;-1.869009763549431e-18
-2.3656057977850913e-18;-2.956874087213931e-17;2.003316708088184e-18
-8.290141499170534e-18;-8.924423346964975e-19;-1.3028122493544475e-17
-9.333473458699081e-18;-2.2687891997007034e-18;7.537410029889156e-18
-1.209761930445396e-17;-3.915156298241023e-23;-9.246824720089016e-18
-2.242119146827954e-18;3.174797027025102e-18;-1.4515718056755147e-17
-8.181623436088854e-18;-7.530127636722571e-19;1.5214910912114686e-17
-6.651879476184621e-18;1.04650120106238e-18;1.775723315096283e-18
4.4754785457322006e-18;8.758115402030107e-47;-7.515797262290314e-18
-3.1905623669725186e-18;-1.726524446575714e-17;-1.4702005471497177e-17
-4.21057981460437e-18;3.0553429250332875e-18;-5.8866871272158425e-18
-1.0339554335878527e-17;4.1053665947016125e-48;-2.2510092416177246e-18
-6.444517610909327e-19;-6.973675728185964e-46;1.784289486374458e-11
3.344350858090527e-18;-5.716748574950238e-42;-4.253462659879527e-13
3.8591984989639685e-18;4.121456445976746e-47;-0.0219807071319239
3.168162448708092e-18;1.2146828295555107e-45;5.431584191830744e-17
1.4685403071380908e-17;3.6189976525259705e-48;-0.00261154941632235
-1.0645421238465314e-17;-2.7249969479965406e-44;2.2859890814957012e-14
-1.4601712410115591e-18;-2.014262304643231e-48;-4.361756457216617e-18
2.1856649779449876e-19;1.0844969381815856e-46;-0.057047522032466026
