x;y
-0.00957591;-0.030711
-0.00969177;-0.0307883
-0.0556399;0.0730489
-0.0767907;0.106573
-0.0658324;0.118948
-0.0114313;0.0161874
-0.079368;0.101964
-0.00433859;-0.0169595
0.00237237;-0.00569163
-0.00949323;-0.0261788
-0.00571983;0.0236678
0.00808379;0.0017888
-0.0607946;0.0638297
-0.00730754;0.0235628
0.000310516;-0.00937933
-0.0176168;0.00512432
-0.00309907;0.0290399
-0.0767807;0.105856
-0.0181422;0.00491952
-0.0433344;0.0274602
-0.0407571;0.0320698
0.0107046;0.00716086
0.0162705;-0.00166133
-0.0231366;0.0607998
-0.0788426;0.102168
-0.0576919;0.0686441
-0.0582173;0.0684393
-0.0355925;0.0405719
-0.00691591;-0.0215691
-0.00481781;-0.0335894
-0.0747189;0.109544
-0.072657;0.113232
-0.0257574;0.0554277
-0.0633719;0.0592201
-0.0685333;0.120607
-0.0504853;0.0822682
0.00339338;-0.00313066
-0.0155649;0.00952914
-0.0232969;-0.00429973
-0.0304478;0.0505083
-0.015555;0.00881202
-0.0819453;0.097354
-0.071636;0.115793
-0.0376543;0.0368842
-0.0207195;0.000309893
-0.00224048;-0.0289798
0.00490862;-0.0219825
-0.0381797;0.0366794
0.0080688;-0.0105413
0.000336836;-0.0243702
-0.0356024;0.041289
-0.0273451;0.0553227
-0.0104103;0.0187484
-0.0134931;0.0124997
0.01538;-0.000249779
0.0127592;-0.00562184
-0.0845226;0.0927444
0.0136498;-0.00703339
-0.0335306;0.0442596
-0.00176127;-0.0123499
-0.0535682;0.0760195
-0.0515063;0.0797072
0.00768196;-0.0178376
-0.0473826;0.0870826
-0.0314688;0.0479473
-0.05563;0.0723318
-0.0632116;0.12432
0.00291416;-0.0197605
0.00649608;0.00168377
-0.00607232;-0.0252243
0.00316622;-0.0249822
0.00663281;-0.0186764
0.000998589;-0.0300446
0.00134817;-0.0297714
0.0054415;-0.0245945
-0.00345212;-0.0354717
-0.00146015;-0.0349029
0.000998589;-0.0300446
0.00314478;-0.0262948
-0.00469614;-0.0407902
0.000998589;-0.0300446
0.00681074;-0.0196071
0.00347196;-0.0267952
0.00420221;-0.0236789
0.00490423;-0.0205408
0.00459178;-0.0244363
0.00420221;-0.0236789
0.0102729;-0.0151682
0.00420221;-0.0236789
-0.00188616;-0.0321715
0.00328397;-0.0264035
0.00420221;-0.0236789
0.00511507;-0.0214513
0.00227566;-0.0235707
0.00574225;-0.0172649
0.000108033;-0.028633
0.000457611;-0.0283598
0.00455094;-0.023183
-0.00434268;-0.0340601
-0.00235071;-0.0334913
0.000108033;-0.028633
0.00225423;-0.0248833
-0.0055867;-0.0393787
0.000108033;-0.028633
0.00592018;-0.0181955
0.0025814;-0.0253837
0.00331166;-0.0222674
0.00401367;-0.0191292
0.00370123;-0.0230248
0.00331166;-0.0222674
0.0093823;-0.0137567
0.00331166;-0.0222674
-0.00277671;-0.0307599
0.00239342;-0.0249919
0.00331166;-0.0222674
0.00422451;-0.0200397
-0.00239976;-0.01616
0.00106683;-0.00985424
-0.00456739;-0.0212224
-0.00421781;-0.0209492
-0.000124481;-0.0157723
-0.0090181;-0.0266495
-0.00702613;-0.0260807
-0.00456739;-0.0212224
-0.00242119;-0.0174726
-0.0102621;-0.031968
-0.00456739;-0.0212224
0.00124476;-0.0107849
-0.00209402;-0.017973
-0.00136376;-0.0148567
-0.000661749;-0.0117186
-0.000974194;-0.0156141
-0.00136376;-0.0148567
0.00470688;-0.00634602
-0.00136376;-0.0148567
-0.00745213;-0.0233493
-0.00228201;-0.0175813
-0.00136376;-0.0148567
-0.000450909;-0.0126291
-0.00863366;-0.00627916
-0.00516706;2.66138e-05
-0.0108013;-0.0113415
-0.0104517;-0.0110683
-0.00635838;-0.00589147
-0.015252;-0.0167686
-0.01326;-0.0161998
-0.0108013;-0.0113415
-0.00865509;-0.00759175
-0.016496;-0.0220872
-0.0108013;-0.0113415
-0.00498913;-0.000904041
-0.00832792;-0.00809218
-0.00759766;-0.00497585
