x;y
0.556262;-0.0900598
0.322263;-0.131172
1.07411;0.113132
1.18286;0.0839083
1.18399;0.291536
0.915749;0.365638
1.15884;-0.299553
0.907079;0.318776
0.97098;0.306921
0.948252;0.0697171
0.705153;0.505043
0.710308;0.627647
0.900519;-0.0909698
1.09292;0.356256
0.846615;0.27877
0.80096;0.129361
0.983661;0.420123
0.981456;-0.155659
0.765924;0.144025
0.892483;-0.0776019
1.0343;0.0957523
1.08819;0.403856
0.979323;0.375394
0.985771;0.426443
1.20003;-0.0316313
0.990241;-0.00374572
1.09094;0.304552
1.01183;0.162497
0.932194;0.148625
0.547254;-0.141695
0.98262;-0.00757257
1.19472;0.0942836
0.864298;0.475396
0.927539;-0.316859
1.18389;0.16756
1.19684;0.382614
1.1459;0.557496
0.861132;0.152094
0.924655;0.000545172
1.1698;0.58392
0.785535;0.152248
1.04251;-0.0558893
1.3489;0.253864
0.783731;0.117373
1.01098;0.247337
0.897341;0.064516
0.565862;0.225425
1.02379;0.151829
1.09914;0.593848
0.977777;0.212762
1.01422;0.210815
1.15078;0.440326
1.07036;0.51892
0.865229;0.229853
0.936429;0.608621
0.664995;0.480989
1.10201;-0.215816
0.708074;0.361647
0.905147;0.115001
1.01018;0.449846
0.947395;0.18312
1.07686;0.285854
0.587794;0.474266
1.20699;0.22948
0.947481;0.257635
0.98699;-0.0723917
1.27624;0.424232
1.05554;0.84827
1.06739;0.377546
0.487876;-0.153851
0.873384;0.627281
1.07098;0.458882
0.837324;0.995943
0.608352;0.817571
0.649519;1.17202
0.853353;0.74727
0.741999;1.22274
0.652914;1.1237
0.683262;0.919845
0.803468;1.09888
0.638032;0.97152
0.74835;0.981195
0.665674;0.712355
0.744135;0.678517
0.953651;0.812299
0.722421;0.0274645
0.766807;0.630502
0.812878;0.778286
0.765641;0.696759
0.844385;0.588871
0.781511;0.932488
0.731143;0.785089
0.766361;0.641451
0.765625;0.766302
1.10596;0.590352
0.681895;1.04508
0.718161;0.813962
0.822311;1.21556
0.777681;0.947733
0.805253;1.2461
0.664615;1.03853
0.763522;0.86401
0.669979;1.32592
0.798567;1.03012
0.682547;1.03068
0.45096;0.590525
0.761543;0.639316
0.9514;0.78432
1.13261;0.360652
0.879955;0.659591
0.708995;0.854704
0.835047;0.650271
1.025;0.683357
0.848166;0.977031
0.772236;0.61522
0.784464;0.62234
0.805363;0.775421
1.01671;0.474183
0.617791;0.948015
0.561548;1.02774
0.622564;1.27709
0.833735;0.835793
0.682341;1.24939
0.744639;1.01842
0.804929;0.928313
0.424138;1.46058
0.632329;1.03129
0.721727;0.987573
0.702372;0.807867
0.732163;0.777143
0.909061;0.786842
1.09637;-0.00163707
0.708272;0.903069
0.710995;0.760023
0.756292;0.609321
0.677144;0.759454
0.744228;1.01052
0.684144;0.653461
0.796478;0.599209
0.773977;0.634044
0.972823;0.459183
0.590598;0.843486
0.782703;0.768603
0.786121;1.44985
0.784217;0.745164
0.494181;1.3792
0.775031;0.957118
0.600368;1.0396
0.658696;1.27998
0.686153;0.871475
0.707899;1.01951
0.750934;0.46028
0.768399;0.578912
1.06441;0.796151
0.625649;-0.195999
0.754131;0.713339
0.736049;0.679574
0.716862;0.620426
0.812078;0.701908
0.893963;0.96358
0.653128;0.723724
0.779027;0.642828
0.841777;0.765331
1.08096;0.595425
0.674876;0.961455
0.640972;0.915652
0.594812;1.18039
0.712111;0.84426
0.787621;1.38051
0.715803;0.913558
0.747254;0.918074
0.720628;1.22144
0.684364;1.03471
0.80997;0.973788
0.75954;0.75623
0.753796;0.630617
0.71399;0.0276334
0.772267;0.714213
0.773842;0.883896
0.769492;0.719042
0.98365;0.612636
0.662802;0.962178
0.714081;0.736408
0.76453;0.635386
0.273362;0.600354
0.238941;0.542427
0.213767;0.358638
0.27609;0.428093
0.169732;0.645154
0.357789;0.486103
