x;y;z
0.353106;0.831218;0.0606952
0.392054;0.866872;0.0921037
1.01282;0.286945;-0.0201189
1.26102;0.450895;0.24289
1.25518;0.470243;0.612907
0.804146;0.377836;0.256493
1.10662;0.716247;-0.0400072
0.716357;0.45444;0.0753837
0.794715;0.328031;0.247664
0.526027;0.729144;-0.0449472
0.818817;0.449622;0.513455
0.76178;0.378833;0.468733
1.02367;0.636086;0.0648028
0.894363;0.268822;0.356018
0.822781;0.449211;0.203672
0.641409;0.567562;0.0963558
0.973104;0.388624;0.612871
1.27122;0.641197;0.186243
0.839211;0.546971;0.0752298
0.781871;0.715547;-0.0426793
0.919082;0.654281;-0.0393991
0.953365;0.323115;0.561556
0.915195;0.318364;0.595622
1.05398;0.381916;0.613677
1.19708;0.830426;0.214242
0.935973;0.631642;0.158092
1.0083;0.503997;0.103011
0.902678;0.547428;0.150425
0.766412;0.566174;0.0256034
0.768172;0.629128;-0.0112354
1.20435;0.611649;0.281228
1.23403;0.568005;0.20592
0.930639;0.48369;0.501385
0.953175;0.73853;-0.0752556
1.35326;0.370076;0.532488
1.15111;0.213406;0.257235
0.777131;0.126177;0.283784
0.915644;0.33442;0.185761
0.671102;0.691618;-0.0650191
1.07553;0.224708;0.221796
0.694078;0.54806;0.207253
1.02952;0.726557;0.000869864
1.27311;0.279402;0.286748
0.744776;0.735825;0.0510462
0.646096;0.613392;-0.0650378
0.594525;0.465635;-0.0126176
0.632168;0.72084;0.356832
0.848689;0.587044;0.0849822
0.961066;0.23534;0.358789
0.789271;0.524454;0.0504136
0.89911;0.385392;0.0681742
0.959637;0.185407;0.298309
0.954722;0.130045;0.244228
0.740629;0.503928;0.236832
0.948073;0.349906;0.533678
0.776644;0.401774;0.501337
1.1311;0.877072;-0.0370844
0.770057;0.389397;0.446958
0.905927;0.617428;0.288688
0.874234;0.371838;0.0888919
1.01471;0.602232;0.271546
1.1203;0.475077;0.281595
0.680938;0.684657;0.452667
1.12587;0.234336;0.396949
0.945823;0.517891;0.294687
0.987083;0.66098;0.191055
1.30527;0.492664;0.603512
0.791675;0.339959;0.0428147
0.936322;0.225074;0.506169
0.47653;1.03206;0.265704
0.40463;0.293472;0.2196
0.790624;0.137416;0.187512
0.100165;0.329699;0.219145
0.277108;0.326331;0.166608
-0.140062;0.105193;0.19261
0.341046;0.346737;0.0632457
-0.119611;0.21387;0.0817143
0.207262;0.299129;0.101682
0.155433;0.33943;0.227519
-0.0917011;0.47164;-0.00847789
0.108583;0.284337;0.149967
0.321352;0.0737697;0.238887
0.253849;0.401466;0.199071
0.47498;0.272601;0.187447
0.586619;0.0537248;0.25069
0.249858;0.602494;0.0650455
0.42129;0.276023;0.249171
0.420367;0.141575;0.378148
0.520264;0.284749;0.196162
0.363036;0.229689;0.122782
0.22618;0.11423;0.153116
0.4577;0.272922;0.201743
0.521089;0.289767;0.271843
0.470577;0.223516;0.198471
0.709018;0.165726;0.0294377
0.23104;0.225684;0.107724
0.236695;0.300474;0.172365
-0.196368;0.216617;0.296133
0.365075;0.327866;0.0563434
-0.0702242;0.185717;0.081899
0.178473;0.299771;0.116786
0.176843;0.343861;0.184544
-0.148233;0.468179;0.0163392
0.196592;0.228196;0.130626
0.403209;0.000825948;0.136605
0.354245;0.479844;0.144056
0.428103;0.253542;0.259566
0.630753;0.075359;0.200071
0.357873;0.564817;-0.0579923
0.427773;0.27578;0.251992
0.475984;0.123374;0.351009
0.438176;0.240424;0.264916
0.360983;0.203576;0.159253
0.215901;0.101358;0.00791237
0.415194;0.240986;0.272103
0.490122;0.27703;0.258378
0.466567;0.272267;0.212112
