x;y;z
9.723059;2.04866;1.9416466
9.736429;2.0335114;1.9346164
12.493415;6.774406;2.553923
12.553815;6.597835;2.548394
12.441102;5.431569;2.103944
12.537432;7.694135;2.5482223
12.645297;6.520099;2.421443
12.713558;7.488781;2.3886204
12.584921;7.805388;2.4963932
12.86532;7.391188;2.242901
12.979382;9.4341545;3.400651
13.076549;9.639023;3.2155483
12.784374;6.6445465;2.2808003
12.492618;8.051044;2.7235441
12.632921;7.628352;2.4483917
12.731113;7.234302;2.3286262
12.31326;9.735375;3.2517626
12.636601;6.4907975;2.4157228
12.7178955;7.3441644;2.3855495
12.775859;6.922231;2.3061814
12.759214;6.919543;2.3224857
12.227732;9.758321;3.269289
12.158541;9.768316;3.2128785
12.522946;9.578103;3.4045806
12.658716;6.4281154;2.3711512
12.722767;6.594339;2.3245292
12.735972;6.6717844;2.3363547
12.662855;6.911567;2.4001625
12.81393;7.317618;2.2989233
12.861704;7.3657875;2.234703
12.596627;6.5261846;2.4607327
12.515657;6.504785;2.5326402
12.979369;9.404296;3.3894286
12.757574;6.7116423;2.3075457
12.448995;6.587378;2.6185327
12.431323;6.828379;2.659778
12.385401;8.271863;2.6365714
12.620557;7.4123163;2.4750843
12.8866205;7.2960706;2.2258775
12.409395;7.2060184;2.7005658
12.660682;7.3116293;2.4236648
12.746294;6.5648212;2.3161325
12.468818;6.6590247;2.6118507
12.702967;6.941626;2.3542943
12.832513;7.2937007;2.306104
12.804662;7.3903856;2.30584
11.364388;1.8461154;0.65797406
12.657198;7.007189;2.4247622
12.392223;8.351814;2.6139946
12.717103;7.5629945;2.3799024
12.554871;6.9792747;2.5277615
12.470632;7.105754;2.6317763
12.416417;8.132814;2.6517289
12.624115;7.4313664;2.4567902
12.179714;9.761966;3.2337427
13.118232;9.716202;3.3650877
12.755537;6.5807977;2.3314323
13.030796;9.612364;3.2184958
12.577783;6.940445;2.4941957
12.648396;7.661296;2.4393113
12.541769;6.7022448;2.5234106
12.531332;6.688787;2.5375729
12.135704;2.4562027;0.033697926
12.439885;6.8035703;2.6387568
12.533089;6.9869623;2.5504434
12.607569;6.667215;2.449279
12.439208;5.6535115;2.181803
12.64074;7.728459;2.4396057
12.468127;8.253118;2.6931372
10.602753;1.5703019;1.1579367
10.926539;10.071556;-0.47768155
11.257403;9.951589;1.1491915
13.091719;10.445972;-1.2425493
12.387211;10.460154;-1.3816445
13.206784;10.272674;-1.4625273
11.520552;9.808631;-0.61885285
13.399907;10.443629;-1.6974487
13.141057;10.424137;-1.2792379
12.954381;10.187479;-1.2802573
13.4064665;10.419072;-1.6881505
13.0891905;10.391036;-1.2574141
12.774973;10.303073;-0.820875
12.493476;10.331115;-1.3549279
10.593498;10.05975;-0.6132614
10.907529;10.010149;0.34268466
11.26855;10.241067;1.2527381
10.585627;10.058125;-0.5934273
10.621709;10.431553;-0.3716276
10.611213;10.068971;-0.6031582
11.106738;9.85489;-0.6008159
11.469359;10.469554;-1.1074513
10.599459;10.050108;-0.5798976
11.010121;10.118636;-0.2461161
10.90673;10.011933;-0.4567979
11.242443;9.91092;1.1553512
13.120034;10.446445;-1.3380052
12.485964;10.462332;-1.3501554
13.262371;10.242532;-1.4565555
11.519363;9.8160925;-0.6515054
13.391869;10.46423;-1.7377698
13.067994;10.481483;-1.373015
12.900237;10.203647;-1.2967535
13.435675;10.387617;-1.6684738
13.145577;10.443303;-1.3322315
12.783359;10.298778;-0.83131254
12.581544;10.300806;-1.279298
10.641606;10.115755;-0.6007498
10.926473;10.021239;0.38853082
11.276641;10.248765;1.2698145
10.656095;10.095358;-0.57317823
10.6631775;10.504901;-0.32660988
10.692786;10.153678;-0.669628
11.284865;9.810578;-0.6856196
11.51758;10.485557;-1.1386585
10.706714;10.172605;-0.6314461
11.011604;10.131938;-0.20283973
10.982935;10.120551;-0.39957938
11.23239;9.923906;1.1293207
12.970644;10.352805;-1.4679508
12.359781;10.457792;-1.3694777
13.268183;10.237176;-1.4469594
11.521754;9.810031;-0.6571943
13.411606;10.465608;-1.7575862
13.03699;10.450559;-1.4856737
12.898688;10.136717;-1.3406163
13.420038;10.425671;-1.7347026
12.982052;10.438097;-1.5137808
12.819343;10.340241;-0.78300846
12.46608;10.341229;-1.3250476
10.7247095;10.234221;-0.68550897
10.948419;10.024133;0.38957262
11.244775;10.272355;1.2247972
10.78279;10.283736;-0.7263246
10.651452;10.505492;-0.30911258
10.674654;10.286708;-0.62617654
11.284871;9.881563;-0.6505691
