x;y;z
11.560323;-4.9322834;3.0623705
8.727449;-3.6672232;3.3833911
5.331368;1.4380062;4.1354713
8.572476;-2.2619388;3.175755
9.174492;-7.502184;0.24738507
7.089608;-7.0813303;1.9440324
5.5341783;-14.55684;-1.6437252
6.212627;-4.06976;1.594378
11.21304;-8.590124;1.9603679
6.1822305;-1.7526884;4.825496
2.6891906;-9.187087;-2.0257776
5.4368386;-7.1027613;-2.4215453
7.0988836;-0.637039;-3.511253
9.752001;-12.480836;3.5078406
9.061805;0.19986703;4.6302137
5.6727448;1.8672993;2.5230067
4.162936;-2.1449003;5.4337616
18.484318;4.693389;-11.437021
6.138487;-3.7134535;3.2095711
7.1724515;-2.7716799;3.8193026
6.798429;5.2955966;-5.4483037
8.273;-14.71871;-0.68401855
4.89988;0.7637046;-3.5843132
4.5993195;-1.7054495;4.347349
4.5155735;1.5968779;-2.6354427
5.753835;-7.8117733;3.5938563
2.5260293;-12.997894;-3.3260682
4.785945;-0.5130357;4.411148
5.2243447;2.1857932;-6.9704194
3.6576824;-1.9559046;2.26299
16.399282;-8.225907;6.216473
14.903804;-8.433379;5.636084
12.9897;-1.1744528;2.362397
12.381947;-2.4786713;0.083556935
2.8437626;-9.368765;-1.9864154
4.4718685;-4.2266874;1.3620961
-0.5631032;-3.3922396;-3.7685645
11.057786;-9.733659;2.4963286
10.049571;-9.45623;3.30581
7.672146;1.335638;4.769464
5.8474803;1.9129238;-7.1312165
10.486461;1.7631032;-4.770534
3.2153542;-0.20689046;-4.554033
8.86617;-0.52722204;2.0793347
6.8129663;-3.4958303;5.3429546
0.87955946;-4.8650103;3.0754209
9.242627;0.12203409;3.194027
3.8889408;-2.0044553;1.6847352
7.2366867;3.2880473;-7.3560886
4.416797;-3.9483697;1.4216266
6.636484;-13.255665;-4.6978445
7.4523187;1.7620074;-6.5530863
6.7521486;-0.25458908;-3.3740761
6.671827;-7.9464016;-3.2216585
8.316161;2.097297;-8.6013
8.310204;-1.5615036;5.52435
5.247559;-0.6875286;4.280715
10.844295;-1.2267506;2.1571572
5.6681194;-2.2477322;3.7411077
11.489684;-6.10236;-0.39554566
9.960613;-2.6316755;3.9778173
7.453798;0.7035053;-2.64796
4.2556815;1.0780108;-3.015332
6.205082;-9.644105;-3.3322814
10.615781;-1.9405177;-0.19299693
8.213831;-16.715302;-2.9616373
7.667789;-15.79258;-5.9893966
8.747736;-5.9019628;4.296671
6.199945;-13.908945;-2.499646
4.103026;-1.2791882;2.7065504
16.039818;-8.791312;2.9931657
4.5870414;0.8751208;4.049164
2.282909;-18.083555;0.24334125
9.222281;-9.926165;4.4712505
3.746258;-0.20219582;2.278573
3.615726;-10.278694;1.3404996
9.308994;-3.3850482;3.2616627
11.367242;-6.360194;6.8234806
9.407384;-5.6422043;3.9565394
5.787652;2.2955947;-1.9994124
9.988782;-0.35122037;-9.097192
-0.072740175;-1.7698977;5.0878277
7.4002967;2.8981383;-8.431437
7.2543015;-11.209577;-2.3935997
5.690951;1.1583928;4.1623487
3.4376817;-2.2814643;1.8767874
7.7207775;-16.564959;-2.8981855
3.1251056;-2.2521102;3.2425199
5.0805054;-0.264642;-7.17308
7.944392;-0.8367871;-5.2404804
1.153132;0.36620784;-5.71284
13.761795;-9.821055;3.8704805
6.757662;-4.653388;4.281262
3.4069848;-17.411879;-15.44771
12.726748;-1.859094;0.01667194
-7.20684;-4.2936726;-9.249295
4.0646987;-8.984661;-1.4682034
10.401619;-3.0763063;3.457324
12.088623;-2.0044491;-2.0574307
8.479567;-6.206999;-2.4492748
3.9977489;-1.0944738;3.638017
8.647809;-1.3361132;4.049182
9.394495;-4.544067;-1.916981
12.481309;-1.9310238;0.23603229
8.71692;-18.491827;-3.8970191
10.022134;9.144413;-7.8493967
13.863737;-12.56645;4.2294693
4.0555816;-0.3997919;-3.8560655
12.81255;-0.5466004;1.5497785
13.247845;-4.555478;4.337164
9.872916;-15.245514;-3.1992614
4.724687;-9.896874;-2.451832
4.475199;-3.7783544;1.2568789
11.009478;-8.40833;3.7286532
4.0270963;-2.178588;3.5772183
5.383605;-2.313542;2.748542
4.1709332;-9.500323;-0.53642577
2.6390798;-7.121118;0.46440035
6.903401;-7.146875;2.1351745
9.139523;-16.72446;-7.114624
5.849694;-1.6175117;-3.12199
12.39897;-9.533409;4.2868524
8.866939;1.8891714;5.2979813
7.829267;-9.893744;1.9469368
17.726162;0.7008667;-0.839513
6.2236056;-6.2179174;2.6923158
6.048755;-2.6954386;7.912902
3.2161126;-4.375359;1.8652723
12.048823;-10.45106;3.7210846
3.6736891;-1.6884505;1.5020169
14.235568;-8.453648;1.0636399
13.162048;-16.448904;-5.564116
9.531221;-1.057028;4.4519596
