x;y
-0.0710457;-0.540079
-0.140947;-0.555104
-0.123509;-0.447286
-0.118606;-0.463541
-0.0323544;-0.403002
-0.128716;-0.614212
0.56681;-0.201417
-0.0470196;-0.490039
-0.118584;-0.534175
-0.107169;-0.553667
0.0193085;0.266504
0.162208;0.1107
-0.184072;0.144231
-0.0691179;-0.60723
-0.151493;-0.447185
-0.104923;-0.333064
-0.157585;-0.544917
-0.0536345;0.104679
-0.142302;-0.612238
-0.199315;-0.597967
-0.0293881;0.16023
0.695407;-0.221971
-0.115443;0.224233
-0.226148;-0.570726
-0.0977597;0.316306
0.0659715;-0.474674
0.0155367;0.152631
-0.112915;-0.493408
-0.0679031;0.19875
-0.0134083;-0.260947
-0.0663482;-0.51807
-0.0878506;-0.515071
-0.135743;-0.404357
-0.0828578;-0.352781
0.0544532;0.231781
-0.0615534;-0.550774
-0.0774868;0.329363
-0.0791873;-0.633978
0.0246828;-0.563314
-0.156462;-0.511174
-0.124239;0.156527
0.0202232;0.133455
-0.119588;0.321455
-0.159285;-0.349205
-0.237178;-0.590818
0.0926745;-0.39166
-0.100547;-0.410245
-0.203479;-0.512883
-0.0726219;0.248574
-0.0670441;-0.458888
0.243847;0.0862898
-0.182;0.0635855
-0.170908;0.20631
0.198476;0.118768
-0.12972;0.222603
-0.175979;-0.538269
-0.192921;-0.40417
-0.203644;-0.357951
-0.0449218;-0.46849
0.0758974;-0.289208
-0.255625;-0.574842
-0.111915;0.0389689
-0.144408;0.237199
0.295361;0.100388
-0.0876727;-0.222783
0.722582;-0.238277
0.321794;0.0761086
-0.16434;-0.599004
0.585418;-0.194678
-0.0962052;-0.476247
-0.0102409;-0.518863
-0.190223;-0.478253
0.46008;-0.177613
-0.0448852;-0.559221
-0.19846;-0.374519
-0.0289064;-0.519534
-0.0998615;-0.489114
-0.107145;-0.54031
-0.116311;-0.589914
-0.1041;0.0689719
-0.00270006;0.0858688
-0.21452;-0.448428
-0.0725466;0.175652
0.600894;-0.188549
-0.109981;-0.440092
-0.0895163;-0.52832
0.506809;-0.252327
-0.0705468;-0.546397
-0.12145;0.159712
-0.134755;0.139591
-0.0852752;0.242089
-0.0939781;-0.459479
-0.0731157;-0.526074
-0.0131407;0.284121
-0.131077;-0.435066
-0.0134478;0.245855
0.453735;-0.101365
-0.240651;-0.569009
0.00516864;-0.171812
0.379978;-0.128057
-0.157333;-0.544188
-0.220535;-0.481604
0.0838514;-0.2779
-0.153145;-0.464118
0.747655;-0.229809
-0.0701473;0.116602
0.0328759;-0.533081
-0.0916067;0.394485
-0.121652;-0.337456
-0.164457;-0.558768
0.762441;-0.233574
0.310947;0.0285361
-0.119014;-0.458703
0.0565921;-0.587784
-0.152709;-0.546035
-0.1608;-0.439595
0.303401;-0.483123
-0.09945;-0.382477
-0.176221;-0.60817
0.367386;0.0741708
-0.058011;0.244437
0.0428892;-0.603222
-0.12523;-0.457475
-0.121503;-0.623806
-0.0207963;-0.212808
-0.0738822;-0.56476
0.0498088;-0.421367
-0.00693192;-0.348866
-0.0524105;-0.64194
-0.126514;-0.204551
-0.0639583;-0.460741
0.616931;-0.211308
-0.0980637;-0.507604
-0.165844;-0.461768
-0.069134;0.276673
-0.0717755;-0.602914
-0.115238;0.37191
0.177517;-0.526241
-0.128382;-0.335484
0.0883075;-0.437181
-0.124268;-0.497652
