x;y;z
-0.225034;-0.0423607;-0.538221
-0.286817;-0.123491;-0.559669
-0.175179;-0.110958;-0.449895
-0.123064;-0.0925904;-0.455634
0.346352;0.00236032;-0.411126
0.0255471;-0.11615;-0.626114
-0.0290282;0.581807;-0.190096
0.027061;-0.0160672;-0.490195
0.325317;-0.0916331;-0.539049
-0.0459444;-0.0852651;-0.548381
-0.0303647;0.0420587;0.267044
-0.0251767;0.181809;0.11342
-0.0662324;-0.191528;0.135417
-0.110865;-0.0528567;-0.615719
-0.367827;-0.141858;-0.44103
-0.139948;-0.0920852;-0.332404
-0.190843;-0.153725;-0.564041
0.0831787;-0.045983;0.0957792
-0.340068;-0.122037;-0.610453
-0.100973;-0.189587;-0.607767
0.0465822;-0.0299891;0.158378
-0.053758;0.708942;-0.205442
0.0653714;-0.110313;0.218424
-0.189671;-0.220642;-0.586379
0.015642;-0.0990896;0.312547
0.0875844;0.0858245;-0.477725
0.144023;0.0326673;0.152976
-0.0462946;-0.10127;-0.505859
-0.0569035;-0.0688921;0.196169
-0.0717708;0.00942075;-0.263019
-0.303438;-0.0243698;-0.495995
-0.146411;-0.052897;-0.49271
-0.167484;-0.137516;-0.421936
0.41018;-0.0547978;-0.356637
-0.0112866;0.0772911;0.231362
0.14432;-0.0415773;-0.556038
-0.0343405;-0.0794902;0.324988
0.0604849;-0.058615;-0.638228
-0.192803;0.0441854;-0.570974
-0.362753;-0.148395;-0.515404
0.031697;-0.120694;0.158858
-0.00523866;0.0396353;0.132149
0.0746692;-0.122657;0.319418
0.0915317;-0.145423;-0.363657
-0.158879;-0.213743;-0.593222
0.0502603;0.133802;-0.386877
0.108132;-0.0691468;-0.406815
-0.0330902;-0.188424;-0.51212
0.0670531;-0.0716787;0.245536
0.0850174;-0.0517903;-0.472273
-0.0039881;0.263875;0.0876565
0.080953;-0.177945;0.0629168
-0.0696052;-0.174357;0.203839
-0.0516841;0.207974;0.119934
0.0801592;-0.130714;0.214032
-0.484566;-0.160612;-0.534605
0.0332897;-0.165002;-0.396604
-0.242062;-0.203909;-0.379165
-0.0168157;-0.0338434;-0.474699
0.292058;0.091015;-0.29834
-0.25489;-0.235483;-0.570474
0.228324;-0.101269;0.0263274
0.0684269;-0.145301;0.235102
-0.0403161;0.308005;0.0995639
0.39287;-0.0710661;-0.22561
-0.063215;0.707513;-0.219259
-0.018914;0.334233;0.0801764
-0.407277;-0.141965;-0.594886
-0.0425498;0.595474;-0.177907
0.244004;-0.0634401;-0.483054
0.334799;0.0279025;-0.51604
-0.0463027;-0.18343;-0.493837
-0.0378541;0.491773;-0.169034
0.0248293;-0.0249737;-0.561252
-0.140318;-0.183437;-0.372991
0.215044;-0.00745881;-0.526732
-0.238813;-0.0742044;-0.479213
-0.238826;-0.0739506;-0.531147
-0.108948;-0.0769126;-0.574994
0.00331594;-0.0924979;0.0734518
0.0503747;0.0161632;0.0828718
-0.137532;-0.204263;-0.466195
-0.0300009;-0.0679321;0.170328
-0.0494235;0.595771;-0.17526
-0.118113;-0.0987759;-0.447413
0.279195;-0.0596642;-0.535322
-0.023992;0.537252;-0.237825
0.00115348;-0.0551755;-0.55353
0.209374;-0.117744;0.160743
-0.109897;-0.13887;0.143333
0.0342505;-0.0837784;0.24361
0.309071;-0.0814665;-0.464884
-0.0532383;-0.0471747;-0.520177
-0.0302508;-0.00453632;0.28269
0.510893;-0.0986519;-0.440286
-0.0428501;-0.00770041;0.246891
-0.0389828;0.487637;-0.0913792
-0.190564;-0.212516;-0.560681
0.12172;0.0401835;-0.175534
-0.0167937;0.400483;-0.121302
-0.0560799;-0.143103;-0.563662
-0.0352553;-0.198517;-0.478666
0.215677;0.0979244;-0.281841
0.433167;-0.123547;-0.465351
-0.0640616;0.755786;-0.211534
0.222758;-0.0669422;0.108859
0.218112;0.0653103;-0.529981
-0.0567134;-0.101333;0.397373
0.131774;-0.107063;-0.345403
0.0270813;-0.120519;-0.540096
-0.0439894;0.753302;-0.219251
-0.0435932;0.340217;0.0354597
0.0783706;-0.0840319;-0.466788
0.21395;0.0788949;-0.589163
-0.0239175;-0.136669;-0.555998
