x;y;z
-0.0138052;0.0172494;-0.000790051
-0.0139899;0.0175194;-0.000804791
-0.0144512;0.0156369;-0.00100522
-0.0141982;0.0144625;-0.00052814
-0.00935538;0.0150834;-0.000553957
-0.0135203;0.0190139;-0.000454324
-0.000644228;0.00952762;0.00119132
-0.0117623;0.0160918;-0.000374967
-0.0118792;0.017139;-0.000481817
-0.0207951;0.0209746;-0.00153904
0.00431972;-0.00790952;0.00107283
0.00378109;-0.00281912;0.00105314
0.00171028;-0.00680457;0.000445626
-0.012797;0.0183839;-0.000398699
-0.0124064;0.0168928;-0.00130641
-0.0141878;0.0153015;-0.00160265
-0.0155845;0.0188936;-0.0011857
0.00635417;-0.000395558;0.0002544
-0.0159401;0.0186376;-0.000812152
-0.0160979;0.0180346;-0.000857329
0.00475246;-0.00493544;0.00103986
-0.00217407;0.00983034;0.00152292
0.00281522;-0.00809192;0.000835975
-0.0171248;0.0192951;-0.00127882
0.00380092;-0.0131175;0.00113411
-0.0127459;0.0186886;-0.000331588
0.00516838;-0.00384365;0.00074876
-0.0164862;0.0188573;-0.00115544
0.00163655;-0.00808392;0.000988275
-0.00394415;0.00944723;-0.000215051
-0.0137122;0.0194147;-0.000882188
-0.0127737;0.0183069;-0.000825194
-0.00890539;0.013004;-0.000340577
-0.00609796;0.0101725;0.000101754
0.00422968;-0.00702892;0.00114968
-0.0118573;0.0156097;-0.000246399
0.00608805;-0.0111701;0.000786017
-0.0144752;0.0193001;-0.000512264
-0.0132552;0.0177848;-0.000228653
-0.0172867;0.0187038;-0.00154409
0.00192149;-0.00577198;0.000791486
0.00387157;-0.0028017;0.000691407
0.00339226;-0.0142962;0.0011759
-0.00784689;0.0119985;-0.000389834
-0.0160961;0.0180821;-0.000913489
-0.01009;0.0146906;-0.000139372
-0.0118915;0.0133187;-0.000428576
-0.016031;0.0145183;-0.000477941
0.00401208;-0.00934372;0.0011806
-0.0112626;0.0137158;-7.04704e-05
0.00601909;0.000990348;0.00093654
-0.000955497;-0.00483622;4.36924e-05
0.00156055;-0.00668918;0.000567492
0.00397505;-0.00098457;0.000934338
0.00326106;-0.00520547;0.000461418
-0.0162131;0.0201418;-0.00161938
-0.0136738;0.0160497;-0.00141883
-0.00714245;0.0120372;-0.000458566
-0.0100231;0.0142809;-0.000216327
-0.00554912;0.0110159;-2.25025e-05
-0.0158991;0.0172031;-0.000957658
0.00124245;-0.00336587;0.000666902
0.00331205;-0.0101332;0.000774826
0.00474865;-0.000270762;0.00111092
-0.00517594;0.00358465;0.00114609
-0.00226264;0.0100823;0.00153223
0.00579498;0.000894975;0.00105386
-0.0149939;0.0201757;-0.000844328
-0.0010136;0.0089706;0.00129648
-0.0109128;0.0141467;-0.000251472
-0.0112575;0.0167804;-0.000303483
-0.0162619;0.0175769;-0.00142533
0.00193366;0.0106457;0.000685664
-0.0118454;0.0172069;-0.000309062
-0.0132729;0.0105933;-0.000851455
-0.0119581;0.0183728;-0.00045944
-0.0145631;0.0165198;-0.000790353
-0.0161739;0.0205155;-0.00110088
-0.016516;0.0210262;-0.00090568
0.000801245;-0.00467944;0.000408918
0.00491813;-0.000338772;0.000126536
-0.0145139;0.0156328;-0.00101143
0.00345021;-0.0073888;0.000820533
-0.000669153;0.00910198;0.00125865
-0.0133257;0.0158196;-0.00112896
-0.0125334;0.0156643;-0.000277835
-0.00350742;0.0110677;0.000829422
-0.0124644;0.0162579;-0.000322671
0.00225645;-0.00918184;0.00147871
0.002109;-0.00328103;0.000409826
0.00335273;-0.0126698;0.00141557
-0.0112448;0.0164743;-0.000491107
-0.013915;0.0183;-0.000885388
0.00657059;-0.00389594;0.00059004
-0.0080069;0.0124761;-0.000251675
0.00746717;-0.00656528;0.000793891
-0.000159594;0.00482558;0.00127285
-0.0145772;0.0175122;-0.000852409
-0.000837153;0.00720692;3.12222e-05
0.000811193;0.00686797;0.000798042
-0.0127192;0.0160306;-0.000378583
-0.0136457;0.0148602;-0.000822452
-0.00391455;0.0115899;-8.61586e-05
-0.0103264;0.0133319;-0.000389343
-0.00234343;0.00957237;0.00164532
0.0052185;-0.00229621;0.000394864
-0.0129008;0.0179894;-0.000345874
0.00590877;-0.0112065;0.00108303
-0.00490111;0.00972981;-0.000228431
-0.0134458;0.0184528;-0.00088329
-0.00256993;0.00965635;0.00164966
0.00347396;0.000658392;0.00106154
-0.011228;0.013635;-0.000226251
-0.0149096;0.0192254;-0.00030244
-0.0133692;0.0157123;-0.000601066
-0.010294;0.0142977;-0.000621956
-0.0113244;0.0152352;0.000689968
-0.0112681;0.014011;-0.000409086
-0.0143237;0.0194276;-0.000566449
0.0056391;0.000828337;0.00109426
0.00281045;-0.00934169;0.000699828
-0.015155;0.0194587;-0.000376169
-0.0146706;0.0175964;-0.00154931
-0.0148271;0.0191644;-0.000481909
-0.00185928;0.00838045;-0.000215783
-0.0131913;0.0185365;-0.000414136
-0.0147785;0.0186058;-0.00130385
-0.0073047;0.0115537;-5.32677e-05
-0.0145345;0.0188579;-0.000379963
-0.0102204;0.00882356;-0.000289008
-0.0078572;0.0150885;-0.000345114
-0.00146631;0.00942369;0.00146786
-0.0145595;0.0177562;-0.000808333
-0.0161058;0.0168032;-0.00149539
0.00468724;-0.0104009;0.00128542
-0.0144006;0.0195243;-0.000420329
0.00275633;-0.0173249;0.00151931
-0.0142241;0.0153071;0.000493998
-0.00788742;0.0110498;-0.000514854
-0.0106204;0.0164248;-0.000237453
-0.0121665;0.0154822;-0.00042288
-0.0124493;0.0180065;-0.000391063
0.00732502;-0.00111614;0.000685212
-0.0148449;0.0201478;-0.000562585
-0.00778005;0.00960689;-0.000167314
-0.00760112;0.0119748;-5.41027e-06
0.00355592;-0.00211364;0.00116424
0.00280757;-0.0108194;0.00100432
-0.0153607;0.019486;-0.000529227
-0.0111196;0.0152778;-0.00032113
0.00516838;-0.00384365;0.00074876
-0.0148354;0.0173071;-0.000930106
0.00233629;-0.00635119;0.000738133
-0.0110503;0.0147124;-0.000372633
-0.0125913;0.0189586;-0.000383897
-0.0105871;0.0110877;-0.000872328
-0.0170219;0.0209618;-0.000434275
-0.0182318;0.0221898;-0.000941474
-0.0099053;0.0184163;-0.00067451
-0.00351513;0.00399562;0.00120308
-0.00767577;0.0109513;0.000313206
-0.0181379;0.0207875;-0.00101147
-0.0101491;0.0137389;-0.000872618
-0.0111931;0.0181007;-0.000427159
-0.0114267;0.0152658;-0.000289012
-0.00929395;0.0153975;-0.000492643
-0.000834402;0.00962042;0.00134217
-0.0124765;0.0177948;-0.000408347
-0.000835167;0.00930753;0.00117663
-0.00765945;0.010251;-0.000272753
-0.00240642;0.00964847;0.00163693
-0.00677307;0.0097209;-0.000327581
0.0047501;-0.0083035;0.00128206
-0.0154384;0.0165744;-0.000870397
0.00339084;-0.00894735;0.000939612
-0.016727;0.0193893;-0.00101815
0.000674095;0.00501213;0.000182763
-0.0139485;0.0139351;-0.000141228
-0.0143874;0.0195246;-0.000490624
0.00442793;-0.00307468;0.000708778
-0.0181512;0.0182512;-0.000993904
0.00260575;-0.00642677;0.000685288
-0.0138578;0.0163537;-0.000718328
-0.013676;0.019711;-0.000549436
-0.0148789;0.0201314;-0.000378465
0.00460168;-0.00396069;0.00116803
-0.018308;0.0208917;-0.000960682
0.00328214;-0.015588;0.00109845
0.00436443;-0.00691098;0.000444394
-0.0131827;0.0196638;-0.00053291
-0.01288;0.0144112;-0.000717781
0.00465137;-0.00289628;0.00122722
0.00110424;0.0081067;-0.000189375
0.00599;-0.0042554;0.000627367
-0.0135717;0.017258;-0.000896793
0.00467232;-0.00937361;0.000923378
-0.0114242;0.0169901;-0.000843385
0.00390933;-0.00752184;0.000831542
-0.0158872;0.0191742;-0.000485664
-0.0155107;0.0175252;-0.00119009
-0.0107365;0.0139678;-0.00105332
-0.00964439;0.0120711;-0.000518589
-0.0127002;0.0162722;-0.000351344
-0.00848728;0.0138899;-0.000265724
-0.0125302;0.0174721;-0.000528329
-0.0104621;0.0136341;-0.000383458
-0.0137875;0.0168235;-0.000203047
0.00656862;-0.00728777;0.000800581
-0.0114027;0.0157677;-0.000444183
-0.0126645;0.0186267;-0.000318544
0.00186411;-0.00985688;0.00100737
0.00518554;-0.011414;0.00152051
0.00111666;-0.0102488;0.00080171
-0.00197348;0.00949138;0.00145887
-0.0138902;0.0162925;-0.000807153
-0.0121795;0.00912324;-0.0689917
-0.000885475;0.00962673;0.00124954
-0.0107227;0.0142216;-0.000214494
-0.00921477;0.013363;4.134e-05
0.00156852;-0.0107295;0.00111034
-0.0107378;0.0175319;-0.000831565
-0.0158837;0.0194736;-0.000935544
-0.0107846;0.0148468;-0.000807072
-0.00835675;0.0141557;-0.000355581
0.00643085;-0.00314101;0.000624549
-0.0141586;0.019087;-0.000889494
-0.00955311;0.0153428;-0.0002278
0.00660376;-0.0077748;0.000885449
0.00555374;-0.00606923;0.000820483
-0.0139746;0.00632837;-0.0869144
-0.00956598;0.0172371;-0.000925372
-0.0012725;0.00973341;0.00123761
-0.0146468;0.0194942;-0.000467086
-0.0144451;0.0185969;-0.000468436
0.00427186;-0.00805615;0.000934286
0.00174351;-0.000795426;0.000552476
-0.0153445;0.0196986;-0.000449542
-0.0139263;0.018693;-0.000807356
0.00476772;-0.00422018;0.00112506
-0.00553825;0.0106324;-0.000125786
0.0055118;-0.00708571;0.000995129
0.0026049;-0.0160935;0.00152974
0.00391751;-0.0116419;0.00108523
0.00109127;-0.0061343;0.000457004
-0.000741996;0.00939745;0.000836476
-0.0112197;0.0163021;-0.000532123
-0.00978253;0.0126758;-0.00073163
-0.00996923;0.0168112;-0.000412334
-0.0128933;0.0176516;-0.000311726
-0.0145973;0.0192496;-0.000441492
0.00573819;-0.0032241;0.000814264
-0.013396;0.0168499;-0.000336007
0.00238934;-0.0116491;0.00132123
-0.0163183;0.0171289;-0.00145583
-0.00987645;0.015149;-0.000484865
-0.01599;0.0198357;-0.000991948
0.00147667;-0.0111316;0.000827844
-0.0169239;0.0188119;-0.00165514
0.00370932;-0.00983624;0.000539553
-0.00190889;0.00969449;0.00151853
0.00522515;-0.000447962;0.000978618
-0.0142745;0.0188188;-0.000392585
-0.00290945;0.00488349;0.000151027
-0.000787637;0.00969014;0.00138743
0.00670535;-0.00927323;0.000996531
-0.00581498;0.00855201;-0.000116354
0.00491544;-0.00746585;0.000746017
-0.00787581;0.0128639;0.000611352
-0.00612341;0.010591;-0.000339884
-0.00943266;0.0097881;6.62476e-05
-0.0147238;0.019198;-0.00088036
-0.0149581;0.0178765;-0.00140216
-0.0159193;0.0200057;-0.00095563
-0.0118049;0.0118493;-0.000426022
0.00644379;-0.0098119;0.00120986
-0.0131422;0.0185834;-0.000434821
-0.000121854;-0.00277175;-0.000106264
-0.00721275;0.00889674;-0.000157711
-0.0134305;0.0177449;-0.000672758
0.00226286;-0.00973969;0.000997139
-0.00452814;0.00978928;-0.000487505
0.00358135;-0.00193928;0.00044373
0.00466519;-0.00603281;0.000704139
-0.0183078;0.0199462;-0.00124142
-0.00653302;0.0134425;-0.000471912
-0.0166198;0.0202763;-0.000841635
0.00328824;-0.00548654;0.00110423
-0.0121981;0.0174102;-0.000301974
0.00458802;-0.0145756;0.00140641
-0.00870118;0.0139621;-0.000340262
-0.0121552;0.0148708;-0.00123173
-0.0171916;0.0186778;-0.000788044
0.00294829;-0.00952259;0.00110222
0.00470151;-0.00771528;0.000561263
0.0039257;-0.00547888;0.000329446
-0.00056874;0.00851286;0.00114067
0.00515867;-0.00152752;0.000869961
-0.000794959;0.00948195;0.00134231
-0.015145;0.0192218;-0.000366999
-0.000558577;0.0096104;0.0013429
-0.0108237;0.0174036;-0.00081901
0.00406199;-0.00788606;0.000865183
-0.0148333;0.0170957;-0.00165728
0.00377712;-0.00627195;0.000733186
-0.0117383;0.0149421;-0.000192165
0.00219221;-0.0168042;0.00152225
-0.0155885;0.017403;-0.00153093
-0.00143937;0.00916013;-0.000214772
0.00165774;0.00690307;0.00130756
-0.0134264;0.0144755;-0.0013799
0.00677004;-0.00432354;0.000536646
-0.0120586;0.0158496;-0.000212024
-0.0112619;0.0149867;0.000841957
0.00502786;-0.00692454;0.000827534
0.00566221;0.000240558;0.0010882
-0.0166236;0.0180403;-0.00120763
-0.0107854;0.0149367;-0.000388906
-0.0155181;0.0178026;-0.000424524
0.00140026;0.00106506;0.00152134
-0.0132932;0.0181085;-0.000484592
-0.0138941;0.0181492;-0.000324262
-0.015227;0.0198998;-0.000543328
-0.0116868;0.0167696;-0.000431223
-0.0168884;0.0188174;-0.000823482
-0.0034953;0.010981;0.000832103
-0.0118623;0.0180591;-0.000293934
-0.0046527;0.00901813;-0.000119873
-0.000514712;0.00960815;0.00131725
-0.00814237;0.00661923;0.000895928
-0.0144929;0.0200983;-0.000532309
-0.00121837;0.0096588;0.00142513
-0.0106906;0.0153183;-0.000354713
-0.0159458;0.0185395;-0.000866655
-0.0162723;0.0203908;-0.0010273
-0.00845519;0.00942846;-0.000116397
0.00389013;-0.000811878;0.000936446
-0.0138843;0.0181587;-0.000296748
-0.0118633;0.0174658;-0.000419518
-0.003196;0.00726307;0.000498633
0.000109749;0.0095337;0.00111492
0.00362479;-0.00439889;0.00112654
0.00434602;-0.00814207;0.000494569
-0.00165534;0.00970267;0.00151709
0.00460261;-0.0040751;0.00062475
0.00104052;-0.00445978;0.000690666
-0.00124006;0.00957762;0.00138295
-0.0104897;0.0165856;-0.000263782
0.00633271;-0.0107192;0.000964525
0.0060248;-0.000849208;0.000860193
0.00721231;-0.00330947;-0.000178929
-0.0153209;0.0155055;-0.00122396
-0.00393335;0.00995939;-1.48564e-05
0.00403297;-0.0104052;0.000649655
-0.00997727;0.0165737;-0.00105726
0.0048564;-0.00669251;0.000905399
-0.00315704;0.00930677;-0.000306759
