x;y
0.641559;-0.0744757
-0.361966;-0.096191
0.878869;0.264198
-0.318828;0.515831
0.0424969;-0.476142
0.178107;0.661407
0.0683061;0.102163
-0.0892211;-0.290527
-0.00160286;-0.637313
0.101478;-0.0329827
0.570932;0.874684
0.123886;-0.0582077
0.669391;0.290156
-0.180012;0.54415
0.415542;-0.304605
-0.695005;0.2512
-0.00485029;0.156987
0.0667806;1.30528
0.203576;-0.770303
-0.598221;0.013264
-0.272955;1.07761
-0.369028;1.07835
1.22684;0.813454
0.11262;0.548263
0.340898;0.852419
0.0576986;0.521642
0.846065;-0.174627
0.0812167;-0.0419171
1.10613;0.903224
0.64765;0.271969
0.638073;-0.556341
0.16475;-0.248899
-0.379555;0.478512
-0.249787;0.429854
1.42186;0.592271
0.0216217;-0.440688
0.0277395;1.52573
-0.516408;0.612892
-0.0342342;-0.610134
0.0104574;-0.0440222
0.291383;0.440317
0.621655;-0.311854
0.429994;1.48837
-0.413512;0.302193
-0.0656615;0.475794
-0.185961;-0.0595059
-0.0566124;0.0170775
0.113358;0.341984
0.0430161;0.211011
-0.434119;0.217525
1.45099;0.703623
1.07021;1.28743
0.467181;0.978245
-0.157253;-0.0135889
0.192456;0.997775
-0.181172;0.581402
-0.154856;-0.395063
0.582087;-0.111835
0.0260157;-0.0863047
-0.414312;0.584881
0.319825;-0.395637
0.482073;1.1743
1.37513;0.93333
0.548281;-0.0664051
-0.42681;0.904639
-0.768864;0.4486
0.720203;-0.43319
-0.50275;-0.0872372
-0.2018;0.83879
-0.482278;0.0520769
-0.207695;0.301745
-0.537628;0.0916205
0.0579829;1.46374
-0.112977;0.07301
1.02045;0.666682
-0.388592;-0.0208453
-0.246888;0.262901
-0.323727;-0.0294685
0.285986;0.238668
0.081514;0.670962
1.05963;0.506246
-0.276234;0.029802
-0.059241;0.234639
-0.0346537;0.826195
0.47304;-0.0182342
0.0217187;0.594893
0.949481;-0.497897
-0.108141;0.767325
0.278525;0.737148
0.784532;0.720563
0.795066;-0.148328
-0.213344;-0.272832
-0.292956;0.361568
1.0438;-0.0414649
-0.364139;0.149202
1.37491;-0.370594
0.315549;0.334581
0.463781;0.0921784
0.197994;0.747843
-0.0293869;1.02142
-0.231901;0.572163
-0.228053;0.542987
-0.569119;0.234363
-0.0961808;0.23275
0.981091;-0.0913822
0.84506;0.34071
-0.216239;0.474961
0.537088;0.210911
-0.285523;0.00576641
0.0541044;0.339921
0.0597633;0.0936329
0.613653;-0.34242
-0.243599;0.271179
-0.333339;0.749686
-0.406081;0.194902
0.390238;0.376524
0.045125;0.330023
0.928329;-0.135247
-0.222425;0.278119
1.13609;-0.282493
-0.0139742;1.87522
0.192122;-0.188303
-0.0536929;-0.377978
-0.328276;0.551535
0.860006;-0.44962
-0.170018;-0.397624
-0.92518;0.347005
0.516505;-0.257929
0.0296377;-0.366091
0.575228;-0.435148
0.209367;-0.0976352
0.248274;-0.1676
0.0165013;-0.125637
-0.348422;0.899358
0.311682;0.623389
-0.299024;0.102631
0.0441579;1.14028
-0.424076;0.601589
-0.0695735;0.320804
-0.5922;0.590221
-0.408585;0.791651
-0.125239;-0.120247
0.755156;1.48998
0.425154;-0.0706408
0.218271;-0.198889
0.357251;0.945345
1.38373;-0.0548702
0.921351;1.0164
0.733986;-0.441614
-0.0233936;-0.193549
0.622474;-0.304373
-0.835672;0.565492
0.380928;0.818897
0.0681275;0.135381
-0.463673;0.525454
0.308621;-0.0910903
-0.10232;0.116157
-0.68605;0.250697
-0.385641;0.213645
0.162724;-0.43586
0.926929;0.251335
-0.0325473;0.266813
-0.239336;0.892487
-0.493333;-0.060373
-0.338136;-0.371002
0.688739;-0.143337
0.70758;-0.431627
-0.455511;0.567024
-0.381174;1.02881
-0.440144;0.0886698
1.16887;-0.0104656
0.0150582;-0.723208
1.24087;0.709305
-0.231993;-0.371137
-0.000835878;1.28282
-0.331502;0.405704
0.516193;0.41129
0.151456;-0.206504
-0.276204;0.46768
0.198213;1.40109
-0.627173;0.215671
-0.142678;0.569665
-0.389663;0.394678
0.237991;-0.251169
0.0231733;-0.0184988
0.180697;0.766236
0.0825993;0.29023
0.337594;0.335518
1.30654;0.503913
0.0848859;0.218448
-0.501073;0.271838
0.798643;0.692008
0.80328;-0.411039
0.690297;1.29472
0.381622;-0.496107
1.50376;0.498981
0.0611619;-0.228505
1.52331;0.454958
-0.0400473;0.19965
-0.43887;-0.137079
-0.163598;0.745825
0.10728;0.463468
0.0357335;-0.349107
-0.15037;-0.12833
0.110208;0.195652
0.761986;-0.097082
-0.543185;-0.0852256
0.0586743;0.747541
-0.150448;0.692804
-0.262778;-0.365187
0.553372;0.18372
0.791956;1.30825
1.25014;0.317316
-0.401282;0.816334
-0.622861;0.647728
0.0179269;0.487688
0.183555;-0.104358
0.60372;-0.323571
0.290707;-0.273881
1.01687;0.509613
-0.492191;0.644098
0.194305;0.249737
0.199821;0.0356959
-0.229322;0.21796
1.53141;1.19543
-0.125293;-0.341922
-0.848019;0.282334
1.21665;0.200733
1.38501;0.40869
-0.0220441;0.943225
-0.545973;0.340477
-0.306324;-0.268943
0.263712;0.0841381
0.231518;0.150816
0.679305;0.0342008
0.600062;0.266673
-0.229475;0.0317344
-0.676031;0.468292
0.763893;1.06153
-0.606411;0.275968
0.709469;0.373533
1.21895;0.744166
0.919037;1.34242
1.36549;-0.358383
1.01306;-0.442208
0.335452;-0.149781
-0.143185;0.570807
0.806015;-0.370646
-0.576154;0.481846
-0.148128;0.0392838
1.29218;0.486428
-0.0529676;0.0221451
0.28193;1.0614
0.483173;0.361577
-0.787016;0.11943
-0.305854;-0.309809
0.630793;0.393572
0.53561;-0.336976
0.89224;0.284696
0.606452;-0.49907
0.250305;0.857582
-0.186052;0.151498
-0.00915151;0.918872
0.408604;-0.29082
0.281016;1.01369
-0.190383;1.0644
-0.0345832;0.777453
0.0141604;0.164974
1.78352;0.104615
0.0742262;0.720974
-0.537678;0.196629
-0.125083;0.0833301
0.232417;-0.136173
0.598242;-0.493246
1.31957;1.35711
0.466961;-0.388265
0.102722;0.761243
0.0829926;0.613976
-0.240402;0.130696
1.1592;0.868714
0.324094;-0.536384
0.618384;1.02857
0.773795;-0.168639
-0.448256;-0.0182202
0.255909;0.508959
-0.428267;-0.266056
0.488457;1.57914
0.0204071;-0.153599
0.732596;1.0002
0.290875;-0.153906
-0.0553067;-0.566612
0.0473221;0.282565
0.0807928;1.21424
0.38763;1.51592
1.03167;-0.0559758
-0.527791;0.45966
1.15287;1.10496
0.215905;-0.470664
-0.73981;0.250546
-0.0131551;-0.529237
-0.598606;0.0123614
0.272946;0.588346
-0.158196;0.682996
1.06294;-0.0816615
0.460894;-0.402245
0.913968;1.12325
-0.0765795;0.516212
-0.42924;0.402791
0.430768;-0.523257
-0.345344;0.799694
0.403714;0.571562
0.0545354;-0.234678
-0.0704724;-0.311044
1.01005;0.0936049
0.823667;-0.135404
0.0491701;0.619078
0.411112;-0.323633
-0.289508;0.0839686
0.882682;0.901287
0.0591469;0.559245
-0.0943726;-0.177194
0.225593;-0.278826
-0.509171;0.216259
-0.460104;-0.115424
-0.506661;0.44539
-0.301738;0.3128
0.583693;0.0120131
-0.162488;0.640148
0.944229;0.360162
0.469782;-0.0980363
0.0159291;0.953725
-0.401108;0.334371
-0.163868;0.0859598
-0.0969039;0.318238
1.25245;0.249601
1.43277;-0.162852
0.146823;-0.338498
-0.396336;-0.112804
-0.639427;0.538317
-0.388853;0.991037
0.841704;0.956401
1.17401;1.20879
-0.242936;0.754681
0.346001;1.36167
0.730805;0.00567476
-0.5388;0.212585
0.236198;-0.580617
1.45249;0.373675
-0.24059;0.40517
-0.315386;0.595569
-0.166533;-0.156527
1.0158;0.428027
0.72371;1.01346
-0.239575;0.921586
0.0204013;0.948159
-0.458527;1.01667
0.211702;-0.148432
0.0167627;-0.539982
1.17225;0.819422
0.89714;1.70612
0.706089;-0.7825
-0.100546;0.833509
0.970202;-0.109093
-0.25021;0.389606
-0.215198;1.15589
0.573178;0.836148
-0.288108;0.992104
0.428101;1.46635
-0.441891;0.323999
0.173647;1.0409
1.32917;0.655909
-0.281511;0.0483394
0.0319353;1.09179
0.135971;-0.408032
-0.168294;-0.270198
0.318059;-0.431695
0.0586673;1.07209
0.4685;0.0181633
0.0679883;0.866533
0.373045;-0.211917
-0.560693;0.384864
0.00658266;0.72246
-0.778584;0.276805
-0.102275;0.68399
-0.889297;1.07191
-0.119514;0.494207
0.61651;-0.0144646
-0.520405;0.62655
-0.379183;0.0998024
0.64801;-0.569395
-0.348795;-0.11067
0.138261;0.620938
-0.144041;0.572491
0.650853;-0.457679
0.382702;-0.403446
0.582858;-0.574246
0.00747712;0.17967
0.590577;1.67943
0.0438386;-0.0800315
-0.294271;-0.147434
0.855733;-0.427623
-0.173908;0.795172
-0.293286;-0.0033953
-0.0963762;0.336683
-0.39048;1.05983
-0.200175;0.056949
-0.200928;0.122334
0.556091;0.721657
-0.116797;-0.511243
0.49306;0.0273436
-0.402902;0.20249
0.554137;1.61004
0.100004;-0.0418176
-0.00579352;0.539656
0.115758;-0.367757
0.969116;-0.0882814
0.203546;0.35761
-0.106239;-0.00842594
-0.482815;0.901271
0.136522;-0.262368
-0.0596295;0.277338
-0.131395;1.67531
-0.361334;0.0714242
-0.183729;0.02262
0.196311;-0.404615
1.13308;0.284797
0.0784254;-0.0189041
-0.438916;1.16682
-0.221619;0.51314
1.11261;-0.551016
0.0568572;-0.222172
1.29482;0.79034
0.426037;-0.223209
-0.0572147;0.657634
-0.389273;0.274002
-0.0651152;-0.175869
-0.0256757;-0.481642
0.473586;-0.279794
-0.51706;0.716956
-0.24644;1.24758
0.461035;1.22319
0.71665;-0.142394
-0.205788;0.422833
-0.142695;0.622696
-0.089896;0.215749
-0.38937;-0.120531
-0.310365;0.19749
1.40595;0.613764
0.0301074;1.42471
0.165912;-0.0363725
0.304062;-0.469323
1.3949;0.800212
0.0779284;-0.374533
0.266733;1.07213
-0.32944;0.0519027
-0.463026;1.10706
-0.0356506;0.637339
0.20412;-0.313449
0.869368;-0.315201
0.777029;-0.131204
0.287536;-0.697925
1.0507;-0.231262
-0.431067;0.301551
0.322306;-0.340595
0.810497;1.45203
0.568794;0.492132
0.846397;-0.280197
-0.13009;0.852668
-0.284977;-0.524573
0.409273;-0.294154
-0.0167784;0.59751
0.0960711;0.116542
-0.175102;-0.592273
1.1688;-0.155509
0.443042;1.15521
-0.360457;-0.0986045
0.000988867;-0.425728
0.111608;0.19926
0.550021;-0.786638
-0.386388;0.739157
-0.437318;0.305479
0.325276;-0.545603
1.10398;0.266131
0.129588;-0.232657
-0.263216;-0.0912243
-0.232465;0.38595
-0.181587;0.143019
1.49667;0.775079
-0.208947;0.0194514
0.0285313;1.46628
0.0213662;-0.516616
-0.266212;-0.0693034
0.34892;-0.303445
-0.394192;0.0415345
0.101826;1.40946
-0.283748;0.344442
0.281148;0.660719
-0.139192;0.365676
0.105155;0.370754
0.820325;-0.42133
-0.202609;-0.595625
0.217025;0.441119
-0.133125;-0.35055
0.652218;0.861715
-0.278397;-0.266516
0.983537;-0.236382
0.54396;-0.0231196
-0.384221;1.09504
0.176361;0.0565446
0.12594;1.0146
0.384146;0.0138193
0.541741;-0.0440668
0.689948;1.16508
0.116363;0.0161914
-0.467088;1.06464
0.750701;1.49284
0.286476;-0.302054
0.864919;0.479971
-0.0372461;0.613528
0.648203;0.139914
-0.519089;0.604259
-0.335656;0.298968
0.0587967;0.700702
0.985049;0.484602
0.210642;0.504821
0.388105;1.49592
0.372336;-0.536262
-0.177044;-0.0624047
-0.245867;0.355196
0.497507;0.689331
0.553265;-0.084144
-0.226518;0.176721
0.09266;0.854447
-0.374061;0.50525
0.977577;-0.131617
-0.157814;0.851146
-0.182145;0.530221
-0.00108394;-0.235382
1.03355;-0.04797
0.146066;0.30367
1.35255;-0.175667
-0.348806;0.150895
-0.0910074;0.743127
0.708433;0.202705
-0.00904226;-0.218724
0.364611;0.596543
-0.705267;0.259556
-0.268114;0.319179
-0.465672;0.549759
0.403381;0.574568
0.528438;-0.489443
1.05788;1.22096
0.0549647;0.20307
0.799232;0.230747
0.869638;-0.423458
-0.195333;0.594061
-0.262967;1.58151
0.253376;-0.394062
0.709977;0.811107
-0.0712395;0.712228
-0.459476;0.521488
0.027701;0.0748774
-0.308489;-0.364238
-0.0211299;0.616615
-0.100755;-0.442845
-0.591646;-0.0135953
1.44909;0.836355
0.579158;-0.384323
0.667244;-0.421753
0.676935;-0.0964315
0.927852;0.228874
-0.635919;0.473332
1.19318;1.3394
-0.494798;0.289126
0.0709624;-0.341155
0.115142;0.308546
-0.335973;0.5769
1.61508;-0.388041
-0.257482;0.631809
0.0445202;-0.243711
0.435251;-0.182443
0.26143;-0.0323944
0.214265;-0.396399
-0.242753;0.977479
0.856761;0.384874
0.968803;0.148141
1.27453;1.24459
-0.194754;-0.122564
