x;y;z
1.39215;0.604788;0.222095
1.18122;0.63261;0.914317
1.18636;1.10571;0.321352
1.34824;0.634761;0.82118
1.52022;0.611215;0.885249
1.00567;1.14405;0.660854
0.354492;1.76297;0.507764
0.893005;1.1681;0.786105
1.07211;0.779551;0.032098
0.763687;0.581682;1.47093
0.757745;0.0451091;0.660984
0.0620756;1.36348;0.451449
0.438275;0.377315;1.03125
0.957855;1.20666;0.571218
0.850444;1.23171;0.24492
0.909272;0.686694;1.09578
1.18152;0.578585;0.504005
1.20901;-0.328064;0.818743
1.28999;0.832645;0.540584
0.978206;1.01189;0.851386
0.950901;-0.141971;0.403215
0.311775;1.58626;0.812351
0.101319;0.0993031;1.26893
1.16246;0.829876;0.969935
0.283293;-0.107784;-0.0684108
1.19049;1.00993;0.111896
1.18643;0.0122697;0.0572409
1.27775;0.796019;0.362533
0.187592;0.0337323;0.0922421
1.0168;1.0417;0.334577
1.39803;0.613097;0.318865
1.41774;0.407691;0.682631
1.00522;0.825027;1.06197
1.30104;-0.123499;0.335168
0.221409;0.396345;1.25322
1.45503;0.327817;0.445781
0.304674;-0.567229;0.849436
1.37223;1.02341;0.882685
0.943817;1.21609;0.64473
1.26247;0.550591;0.795419
-0.00129816;0.431413;0.975621
0.832895;0.109279;0.0739771
0.87286;-0.170128;0.77809
1.34806;0.350966;0.965938
1.36033;0.821876;0.793557
1.11605;0.290621;0.147641
1.13447;0.930365;0.28888
0.765249;1.03816;0.0855034
-0.102756;1.13745;0.706504
1.20545;0.966935;0.114018
0.253395;0.961042;-0.305381
0.642782;0.451306;-0.348338
0.764204;0.307859;0.0525204
0.193419;0.60226;1.28015
-0.122419;0.651354;-0.00707783
0.534942;1.25239;0.696676
1.17516;0.512293;0.365681
1.02696;0.841053;0.0848623
1.13951;0.555452;0.053472
0.583743;1.67089;0.769983
1.25329;0.695265;1.31105
0.7541;-0.397684;1.20234
0.0373181;0.170792;-0.0789607
0.0996712;1.14076;0.84714
1.38536;0.158135;0.329285
0.421097;1.7801;0.978454
-0.167492;0.561306;0.892126
1.1454;0.881654;0.791793
0.499759;1.37555;0.192014
1.32774;0.330114;0.789133
0.813322;0.457366;1.13804
1.45881;0.815618;0.581711
0.873314;1.67205;0.156889
0.998297;1.09987;0.169019
0.80715;0.238894;1.06465
0.945078;1.36404;0.671067
0.900064;1.24883;0.513096
1.11248;0.868094;1.09782
1.33009;0.529864;0.515814
0.244524;1.20068;0.680975
-0.219893;0.690606;0.28308
1.12764;0.964358;0.0750989
0.0513372;1.01011;0.471416
0.253496;1.19162;0.612439
1.6097;0.508632;0.426009
1.0401;0.844637;0.121049
0.56406;1.71653;0.430287
1.22797;0.323154;0.660509
-0.139609;0.612992;-0.202127
0.962248;-0.417339;0.154541
-0.00889881;0.0707202;0.808044
1.29964;0.589838;0.576518
1.24925;0.738092;0.335264
0.965476;0.716283;-0.572058
1.21335;0.279718;0.726275
0.212687;-0.550051;0.609969
-0.00609785;1.01981;1.02902
1.37822;0.627134;1.2089
1.18177;0.386937;1.15943
0.821905;1.13607;1.13199
1.26275;0.898777;0.0616696
0.588883;0.47104;1.1102
1.56133;0.420191;-0.0493764
1.00087;0.639074;0.299653
0.302777;1.37079;1.20069
-0.263315;0.426256;-0.0802333
0.672398;1.42884;0.692131
0.305776;0.0590714;0.219763
1.06051;1.34195;0.0620371
1.10417;0.489968;1.04651
0.574255;1.32055;0.752644
0.256662;1.04196;0.207856
0.966764;0.560413;0.942937
1.03991;0.885127;0.749022
1.39954;0.60245;0.543574
1.26358;0.569286;-0.131648
0.901496;1.18853;0.850462
0.980708;0.964496;0.816209
0.980819;0.530814;0.413701
0.772028;1.37521;-0.0534446
0.404777;-0.00893239;1.31794
1.35046;0.889659;0.811163
