x;y;z
20.069128;9.774929;7.8285575
20.14482;9.685572;7.964196
19.300623;8.134629;5.9343987
19.767302;9.819676;7.932288
17.787767;6.3170376;7.7304
19.369183;5.949321;5.8938255
11.532915;-3.915403;11.950877
19.892254;5.5544696;6.570291
18.680946;5.692187;7.099417
19.407637;8.564297;6.1358895
8.649713;6.2668896;7.6007957
8.945404;6.949342;7.6364884
6.370967;8.11258;8.199319
19.84245;6.0159636;6.401778
19.254318;8.642171;6.196144
19.305626;8.504933;6.1012907
19.495222;7.7830567;5.785804
6.8175874;8.243692;8.449813
20.114288;9.777357;7.728152
20.026783;9.50886;7.9783525
4.4988384;9.000816;7.1384077
11.205567;-3.6090355;12.124203
6.258158;7.230786;8.542317
19.490097;7.87902;5.845664
6.380532;7.8198442;7.807166
18.857595;5.210759;6.369097
8.602675;6.1822577;7.637143
19.328337;7.9289265;5.7954607
5.341958;8.615208;7.680553
19.635914;9.303402;7.286498
18.68099;10.103592;7.776011
18.708529;9.991238;7.648978
19.800007;6.667917;6.615405
16.41717;6.7301164;8.815634
8.521398;6.33183;7.5722246
19.518503;5.9303484;6.508721
4.6653714;6.9999094;7.313453
19.690872;5.4811864;6.6817713
19.933594;5.618059;6.3282437
19.322403;8.445851;5.973677
5.524021;8.439637;7.771675
6.857093;8.135434;8.110369
6.060558;7.383285;7.1371503
19.232336;6.478618;6.6664453
19.983564;9.565803;7.6384015
19.090555;5.116706;6.6670303
19.173534;9.028473;7.263702
19.324776;9.811727;7.440822
5.283082;8.723544;7.6626177
19.569862;5.978335;6.62282
9.126611;6.832965;7.599087
6.202749;8.290818;8.092615
5.985309;7.7432246;8.329124
8.892319;7.0019064;7.643906
5.9596305;8.328617;8.049835
19.328417;8.718481;6.2324758
19.163897;8.862928;6.4731154
19.771162;6.705909;6.5710487
19.678476;6.2082353;6.440621
17.372826;6.5029497;8.065359
19.675;9.614971;7.558417
5.8186374;8.252393;8.331637
6.3016243;7.7101097;7.9849663
9.078107;6.9080057;7.620085
16.29195;6.837624;8.778064
11.473611;-3.6021638;12.227968
9.135761;6.493711;7.5889373
19.38287;10.059735;7.011239
11.210927;-3.730439;11.991454
18.906023;5.534896;7.0656013
18.64383;5.649613;7.115108
19.383038;7.9423947;5.840199
11.584872;-3.7407901;11.9782
19.391434;5.5582457;5.941895
19.118174;8.30676;6.2922864
18.660267;5.819961;6.197681
19.52244;10.087137;8.540759
19.505356;10.059078;8.52078
18.700676;9.978701;7.800693
6.726696;8.492338;8.243862
6.3189044;6.8504333;9.124974
19.492235;7.7911787;5.8219404
5.304408;8.59956;7.7316804
11.261608;-3.454685;11.962109
19.276457;8.007341;5.934484
18.794613;5.835758;6.411376
11.441965;-3.1677198;11.756661
19.667894;6.1851897;6.443944
6.325347;7.3602085;6.9627233
6.2352495;8.181821;8.206942
4.2744923;8.015832;7.554902
18.91844;5.747946;7.0994234
19.823908;9.854084;8.458081
6.450897;6.0812836;8.562577
16.41934;6.6996217;8.84212
3.0514193;6.9671454;6.2237535
11.3271265;-3.450943;11.768943
18.92601;9.751631;7.2831173
3.4324226;9.745622;8.327003
11.678703;-2.7864356;11.6857815
19.48154;6.322894;5.9328737
19.333893;9.356696;7.459809
16.170147;6.5523953;9.171718
16.431084;6.6868224;8.838172
11.264951;-3.5604706;11.934624
4.60135;9.282773;7.0561666
19.617117;5.2297144;6.9225616
5.696332;7.3025327;8.238963
19.096022;6.2010136;6.5133357
18.777456;9.685351;7.471537
11.083822;-3.3191948;12.042172
9.019555;6.5745554;7.544332
19.531786;5.4153914;6.503009
18.995642;5.1257105;6.8467655
19.602325;6.359517;6.4212346
20.095282;9.665678;7.486062
11.494155;-3.8270223;11.65685
18.563528;5.967302;6.3633122
19.322855;5.8415146;5.888556
9.111659;6.8042717;7.604376
6.228843;7.7309422;7.7894545
18.864542;5.250639;7.0884104
19.331114;8.360285;5.9460754
19.300844;5.911224;6.5242405
17.389235;6.43515;7.9999585
19.301815;5.8371434;5.906026
19.36469;7.7658534;5.8126326
19.43364;5.5124288;6.486866
19.69963;5.6244555;6.7123137
19.88848;9.817427;8.278185
19.045378;6.0316496;7.3290763
11.705426;-3.2823575;12.175211
18.705994;9.839454;7.5920124
19.213198;8.506761;6.179631
4.3829923;7.8250117;7.8856373
19.638252;5.9492917;5.802306
6.2941375;7.748251;7.6904483
19.300827;5.5002174;6.2890296
19.09217;9.540608;7.6328707
18.99647;4.876171;6.920898
18.69221;5.878065;7.0074096
18.670288;5.5068884;7.130435
4.620528;7.749885;6.8095307
19.406782;5.8113194;5.8035345
19.054953;9.874919;7.2277875
18.939793;5.4554343;6.6395674
8.908766;6.909142;7.596677
6.6598983;8.077616;7.9141207
18.761765;5.691193;6.4190836
16.442766;6.675696;8.870201
8.563188;6.146834;7.6583343
20.10383;9.630565;7.9468317
6.2201996;8.037286;8.2230835
19.104229;6.333825;6.8169637
19.024242;5.081331;6.7771587
19.982758;9.705789;8.328667
18.784153;5.2943788;6.4437737
19.44316;9.657484;8.3490095
19.187862;9.315399;8.354302
16.315199;6.824653;8.774609
19.207338;5.384622;6.3937836
19.26949;7.5067587;5.8605223
17.910088;6.7305365;7.7791185
19.674356;6.0169177;5.7337766
19.958996;5.6725545;6.2021346
20.040531;5.79587;6.3143063
11.600154;-3.2175188;12.083635
18.683846;5.529569;7.034403
11.229691;-3.3770266;11.328044
17.854294;6.2914686;7.665182
11.304456;-3.5035536;12.21005
18.480547;5.6824455;7.088658
8.444932;6.4237084;7.6080837
20.03751;9.597618;7.4845834
6.4255943;7.9459715;8.23541
18.896873;9.609733;7.576646
3.419683;9.72739;8.338582
19.578613;6.168602;5.804559
19.666344;5.4849157;6.5608873
3.4441257;9.722006;8.343183
19.36491;7.823921;5.882437
6.363186;7.6217527;8.194087
19.556002;9.840122;7.562369
19.60931;5.956305;5.833189
18.918943;4.952828;6.7540145
8.767699;6.294355;7.604103
19.904247;9.777743;7.776212
5.9029336;7.07045;7.409011
6.0556293;7.6266937;8.0549555
19.005424;5.8474965;5.9403577
20.137327;9.578458;8.006698
8.884523;6.444168;7.545395
5.101771;9.878415;8.022411
6.6383734;7.9060616;8.322654
20.036863;9.804032;7.4515805
5.8967366;7.813579;7.8496366
18.774887;9.723006;7.4424605
5.5336137;8.460831;7.7042494
19.107336;5.714953;6.066409
19.468664;7.7927885;5.9128766
19.094685;7.82313;6.11102
18.653444;6.475412;7.040807
19.43772;5.476576;6.564347
19.977179;6.0549903;6.1294
18.57392;5.7001133;7.1822577
19.170294;6.4129205;6.789025
18.84813;5.3206606;6.469217
4.631454;7.297808;7.086391
18.713352;5.862134;6.1063423
18.944616;4.930743;7.040082
6.1211166;8.288011;8.118957
4.36711;8.311204;7.529506
5.912507;8.005961;7.7818727
11.025787;-3.4147336;11.992501
19.806068;9.737279;8.351779
18.910238;6.3388314;6.987832
11.532931;-3.1561763;11.801463
19.259853;6.0552435;6.9907427
16.45536;6.593574;8.90757
6.439548;7.388164;8.229931
19.147207;10.0535;7.1452317
19.795843;9.842862;8.090983
18.809046;9.514503;7.3136964
19.734636;6.338262;6.1393304
4.288036;7.714265;7.5512505
18.771717;9.761759;7.552413
16.476475;6.616337;8.89358
4.706639;7.1315207;7.0688806
5.104154;9.604698;8.058412
19.398956;9.226221;7.562677
19.213398;9.54889;8.398245
11.4266615;-3.7727132;11.789462
19.855793;5.6249733;6.262255
19.783163;5.468327;6.5495453
6.1756516;8.026662;7.8493457
6.793776;8.548562;8.182205
19.330656;5.451764;6.400913
18.953516;10.000725;7.3222857
8.724376;6.430009;7.6308002
19.489756;5.9037104;6.3255677
7.2219906;6.8077235;7.8447075
5.16113;8.571143;7.664725
6.375049;7.509381;8.160059
5.1565504;9.488671;7.991948
11.681828;-3.497179;11.768149
17.865679;6.2493005;7.643868
18.817865;9.48022;7.369664
19.931843;5.684875;6.593473
19.657242;6.011928;6.6217384
19.236359;5.89121;6.06464
8.60444;6.8570275;7.5595584
18.50141;5.7638364;6.82949
5.345028;8.646124;7.667379
19.56093;8.345115;6.184797
19.921455;6.4808807;6.9427576
19.304073;9.99905;7.2642803
5.8443427;7.977245;7.656236
19.515562;8.456271;6.167056
6.0258713;8.107901;7.872176
11.403429;-3.14281;12.376939
8.223411;7.051191;7.766945
19.087406;5.3052306;6.943101
19.292103;6.31571;7.164295
11.180502;-3.4168723;12.137654
4.013111;8.1618395;6.9343863
18.667212;5.723522;7.0511513
6.6613865;8.3122835;8.120846
10.924692;-3.6145205;11.743308
5.1466885;9.910086;8.075007
19.565006;6.172599;6.3633847
20.163311;9.745378;7.5833173
19.51141;7.917928;5.861602
19.571909;10.007545;8.474573
20.06581;9.545701;7.7653375
4.2736506;6.714722;5.3768544
19.400623;5.7834177;5.798081
6.315022;8.346423;8.055424
19.370434;6.657993;6.5326858
18.162615;6.0218143;7.2328987
6.443491;7.85815;8.005149
19.310019;9.833053;7.169014
6.63141;8.488495;8.014526
6.7569003;8.211656;8.203632
19.323637;7.7433305;5.8373966
17.737429;6.3080482;7.769115
19.654768;10.005022;8.419619
6.2477345;7.4100637;6.976158
19.671467;5.4030504;6.6293197
4.392796;7.9157763;7.824219
19.819906;5.9081316;6.8262343
19.374397;8.020016;5.9034
20.05637;9.864106;7.758486
5.789428;7.4985156;8.408566
7.0907836;6.87529;9.564764
7.3395557;6.228901;8.450999
9.137169;-2.197093;11.170529
8.861313;6.422567;7.5671144
11.699237;-3.9604409;12.00173
19.721054;5.775543;6.6181736
11.740161;-3.600809;12.006925
18.93108;10.134841;8.060171
6.396971;8.019338;8.026498
19.273218;8.792032;6.3518934
4.730713;8.576487;7.6872535
18.982712;5.9195757;6.6940527
5.2145143;7.729199;7.638952
19.065193;7.750523;6.0132523
17.367886;6.4628572;8.011378
11.347647;-3.1481984;11.624698
19.13339;8.51683;6.256723
7.3149076;6.369656;7.8140626
18.577244;5.6975427;6.8868966
11.089783;-3.2172098;12.167867
4.2310634;8.015206;7.8258634
9.142026;6.4980645;7.5864944
19.272835;8.237827;5.82204
19.26189;5.765584;5.9015856
19.200167;5.773458;6.019641
11.113202;-3.2142398;11.779024
19.485695;6.067984;6.683506
19.613684;5.7100377;6.622327
19.58298;5.8920717;6.2588687
18.382174;5.790287;6.7697544
19.884792;9.599193;7.722106
11.304757;-3.640361;12.093894
18.924416;5.2141814;6.8974757
19.675451;6.0098815;6.4584503
