x;y;z
1.8349309;3.4069068;0.66043216
-0.37859404;1.9925859;-0.057554364
0.5932718;-0.601551;0.95842427
1.5827872;2.6482685;0.5972856
0.9686468;0.85860115;0.2122029
1.6654494;1.4287674;0.6713828
1.787704;1.4227848;0.4271146
2.3272781;0.88722664;-0.5934398
2.226672;3.5294855;0.19937459
-0.15384305;0.24356389;-0.6800514
1.7149376;1.0237781;-1.2767333
-0.2321441;0.953285;-0.753733
-0.34313917;0.4196416;-0.9707325
-0.010391193;1.9538234;-0.083587945
1.4595599;1.3285153;0.06873122
-0.30955264;1.1743491;-1.0046458
1.5328807;1.1312821;0.23751381
0.26553503;0.04452341;-0.72279304
0.19010656;0.26883668;-1.5076034
-0.27077892;1.2791096;-0.5416749
1.7106472;3.1917737;0.39225915
0.104046844;0.24413644;-0.60522354
2.52428;1.4204122;-1.2354786
-0.78696775;1.2473114;1.3942455
0.36304235;-0.5058029;0.19528624
-1.5602107;0.37159762;-0.009962814
1.7966304;0.51943463;-0.20613162
-0.10116805;0.34637597;-0.98317164
-0.24025413;2.2200468;-0.3280171
1.4837688;1.1921911;0.032321334
0.8434151;-1.7843819;1.3224291
1.4694712;2.446676;-0.053775787
2.1857488;1.0622368;-1.0152217
2.3743696;-0.5120112;-0.08483787
2.252007;1.6562825;0.610415
0.047611486;-0.2103818;2.787906
1.8063666;3.3702204;0.44405147
-0.37083346;0.6346319;-0.41875476
0.12665524;0.20229208;-0.5658799
0.2552617;0.31248665;1.8841574
0.015668303;0.2747373;-1.0282212
0.01164223;1.9095273;-0.09790206
1.359603;2.6839974;0.3407193
1.5814651;1.8276004;-0.030307027
3.0347605;1.0388589;-0.7221659
-0.116415605;-0.66291696;-1.0494837
-1.03958;0.17227143;0.8662468
-1.5772158;0.5251556;1.2535793
1.6641358;1.4957464;-0.18854973
-0.061009515;0.25856012;-0.6805329
-0.13155429;1.881322;-0.47602072
0.38340124;0.55209136;-1.1787175
1.9543189;0.5760204;-0.43178397
-0.11317213;1.0011426;-0.59016126
-0.49803117;0.24542469;-0.97017884
-0.27002975;0.8808647;-0.34614477
1.0923091;0.39441496;-0.43949965
1.6328691;1.7304637;0.2148686
1.5730792;1.3712964;0.17909339
1.51674;1.8098627;-0.034233242
1.216095;1.2063062;0.014837472
0.06766567;0.37740445;-0.9377956
2.0963693;3.674805;0.71997404
1.8229789;3.4609587;0.6994875
0.13702293;0.19032463;2.0300355
1.0563568;0.30055478;-0.22651996
-0.73244333;2.4860039;-0.420285
-0.984204;1.4436111;1.1841995
0.24975733;0.05575276;-0.70716804
-2.1137612;0.41625905;1.5392753
0.3402109;0.079194374;-0.29250666
1.1879742;2.5876405;0.98481923
-1.1936909;0.3556028;0.7749656
1.8565215;3.5199273;0.12168488
1.4374775;0.83268446;-1.0081359
0.103217974;0.38798305;-0.906991
0.41185924;0.19039251;-0.74519265
1.0629033;2.343231;0.7744502
1.279159;2.9086256;0.83544326
2.1959574;0.5500912;-0.37165418
1.7374417;0.009396456;-0.188673
2.0700417;1.1720304;-1.0050012
-0.23729347;0.086670645;-0.7122252
1.1993715;2.8026855;0.03071758
1.6648613;0.88501126;0.32958654
0.0545037;0.71454555;-0.21202289
1.5598253;0.66553926;-0.8825265
-0.26150188;-0.03960166;-0.6825005
0.3035423;0.5539931;-1.7064754
1.518783;2.862809;-0.4461148
0.09873528;0.4731211;-0.8642233
-0.08664195;3.5251172;-0.2883133
-0.18110524;-0.3511557;2.3194287
-1.409137;0.17773181;0.75346774
1.7545793;0.70624274;-0.6341087
-0.09833192;0.4436949;-1.2557347
0.14158873;0.5105121;-1.1314694
-0.32586214;2.6644406;-0.42178592
1.510245;1.6502204;-0.014011176
0.021633912;0.53126687;-1.716169
1.4472045;0.7434059;0.19254652
2.0145288;1.6742024;0.6512654
0.28171012;0.6658826;-1.530671
-0.9028623;2.9309986;2.427365
0.20920868;2.2755024;-0.2858676
1.9732131;0.63539976;-0.51451576
1.1266085;2.4070523;0.9154714
0.08356038;0.28945762;-0.84114116
0.29434076;2.4487927;-0.19705519
1.1454334;0.4260869;-0.3532038
0.7136553;2.0587323;0.39269057
-0.005567926;1.1821799;-0.5347592
0.41737708;0.16130903;-1.127997
0.038183007;0.32374766;-0.76159966
-0.16826613;1.7116399;-0.28215945
2.2006178;1.1487185;-1.2298002
-0.057663817;0.20986868;-0.791261
-0.47790918;2.2000046;-0.3616773
1.20534;2.1987045;0.26975122
-0.8592825;0.33747596;0.98906493
1.1016032;0.81356376;-1.0233299
1.6132474;2.6990504;0.36734644
-0.12721983;0.095662825;-0.8027853
-0.9331069;-0.45913586;1.7571429
-0.19377051;0.8425824;-0.39670718
-0.24955012;0.9927632;-0.39980876
1.3514534;0.5356514;-0.41135302
-0.3740846;0.55988115;-0.13140008
-0.5761012;1.6841445;-0.53585523
1.3904867;0.68648094;-0.7632048
0.3487654;0.6745927;-0.92512333
0.3573247;0.08997459;-0.7064114
2.7383282;1.2267537;-1.0046747
0.15567707;0.16729337;-0.6840833
0.2889007;0.99235266;-0.54343194
-1.2979659;0.1967493;0.8174158
-0.32702944;1.3005234;-0.492218
-0.111997366;0.26077145;-0.84596205
1.7141769;0.7630157;-0.8905695
-0.016221505;0.21621057;-0.6391974
-1.1001827;0.396957;0.8868905
2.6115007;1.0316353;-1.0297755
-0.019035209;0.18847536;-0.6684428
1.798732;0.71706337;-1.3473424
1.7988884;0.42811865;0.019599391
0.058875572;1.9043958;0.37196693
1.5574707;1.6442355;0.19516736
1.3740886;2.7058475;0.5257181
-0.21890427;1.0131752;-0.29946983
-0.54608124;0.31091225;-1.6845448
1.6079277;1.5992956;0.34431654
-0.22110914;0.2202928;-1.1581987
2.3005044;0.8548102;-0.4118265
0.008661774;0.4209024;-0.8650978
1.8745466;0.13590826;-0.8140103
0.79034114;2.6586993;0.3350981
0.12730463;0.701569;-0.014001759
-0.12849864;1.8677375;-0.30519944
0.066172406;0.22172022;-1.3122281
1.7032045;1.5114166;0.4734469
-0.025946938;0.16789494;-1.2370774
1.9572037;0.78683245;-0.7878514
1.6238455;2.8260722;-0.23763248
-0.15944375;1.8087876;-0.22933382
-0.37854162;0.2881141;-1.6930768
-0.24215104;0.37338588;-1.451677
-1.4543257;0.25915578;0.30898622
1.7783326;0.7082417;-0.5901972
-0.37040856;2.1819215;-0.4363904
1.5518728;0.9080638;-0.94339377
-0.26097587;0.2751145;-1.1252081
0.1628267;0.7030346;-1.5581783
1.5816079;-0.1314337;0.2439373
2.3059142;0.83802485;-0.5054397
1.4789491;0.4733864;-0.5868862
1.1197354;1.193833;-0.103610605
1.4028877;3.0635233;0.17914206
-0.16967168;1.235766;-0.3751416
-0.31056133;0.52414626;-1.6582276
0.87399906;2.2995384;0.19041178
0.10056284;0.12772201;-0.9041258
2.1346383;1.1341856;-0.77217394
-0.1466261;2.6205196;-0.26442918
0.0014126124;1.4188812;-0.9719427
0.869291;2.72063;0.6831707
0.23865794;0.2842558;-0.9532365
1.0156947;2.1972806;0.44844505
-0.3013526;0.7502461;-0.17582057
1.629357;0.71176475;-0.6758682
2.2219133;1.8552537;0.040048987
-0.1340386;0.7880966;-1.7591498
-0.63802767;1.7044485;0.18633586
-0.07332443;0.051437728;1.6636815
-0.29273787;0.28151795;-1.3783413
1.5945596;0.08530571;-0.14582823
1.5504192;2.7707443;0.7622194
2.0269487;0.7735476;-1.1065667
1.7204181;1.7779286;0.22316769
1.5661373;1.0052032;-0.8847489
1.8644739;0.57213753;-0.19424877
3.3033242;0.23570368;0.00288531
-0.017030511;1.9236935;0.25461996
-0.4579571;0.19354057;-1.6302396
-0.07708982;-0.028565772;-0.97629195
1.9461733;3.8160255;0.5466823
1.6217815;-0.004687525;0.10190098
-0.011999964;-1.5451959;1.007694
3.2373617;1.400047;-1.9083956
-0.15567945;0.63601345;-0.1717644
-0.9015318;0.27777112;0.5386192
-0.13259815;0.6295902;-1.8444456
1.6672333;3.1466296;0.18341938
1.4658426;1.2375782;0.38856626
0.05241142;0.46755087;-1.3647254
0.13322665;0.23768988;-0.72545403
-0.27908382;0.82923645;0.04224798
2.1588929;1.3384757;-1.8067588
-0.002544391;1.1329811;-0.38852736
-0.49515083;2.6993642;-0.07576269
1.2206227;2.7338178;0.41988832
-0.1056727;0.27002063;1.7548527
-0.35317376;-0.20544454;1.5070239
0.44727162;0.1075825;1.990453
2.3159432;0.40081018;-0.21403864
1.8288407;0.32915515;-0.2916094
-0.025019895;0.51364106;-0.26850075
-0.03225373;0.3487572;-1.2891651
1.4474736;0.64562255;-0.7922283
1.9791595;0.9818274;-0.83895916
1.4888626;1.5983768;0.4765007
-0.40573373;2.0768857;3.3598797
0.16498077;0.60933834;-1.4722674
0.017777566;0.26203072;-1.1980919
1.3391589;0.78545356;-0.7672665
-0.23530623;0.29217443;-0.7387497
-0.2091708;1.5807145;0.0415508
2.3381636;0.83923864;-0.4053841
2.5386436;0.56489766;-0.32737023
1.8295364;1.7464881;0.21728706
-0.13619728;1.7993909;-0.35572803
1.2834859;1.4401102;0.3014278
-0.18036886;0.01841893;-1.1494513
0.05779576;0.19565298;-1.4287804
-1.2044212;0.6896221;1.0853443
-0.81957644;-0.16137761;2.484497
2.7860417;1.9480414;0.3761548
2.3039894;4.153133;0.017823903
0.18522994;0.19253056;-1.0138954
-0.9090337;0.20580372;0.910423
2.301804;1.6815543;0.43223548
1.7903029;0.99602765;0.84244055
-0.19515948;1.8225255;-0.3548935
-0.003707151;0.42071432;-0.13300253
1.3840421;2.557806;0.56158954
-0.1399732;1.2044419;-0.44273967
-0.036422838;0.3324734;-1.0829312
-0.76619714;-1.0410169;-0.15549034
-0.27100667;1.9390367;0.09734425
0.24015981;2.2552693;-0.056462944
2.350108;0.17838767;-0.82580745
-0.3964248;0.12500867;-1.3899312
-0.010911527;0.47246894;-1.0860598
1.0188674;1.0378294;0.34197578
0.12519623;-0.09039848;-0.96881443
1.6026001;1.4190929;0.75413287
0.03129705;0.34575945;-0.7900384
1.5824215;0.7784361;-0.726469
1.600145;1.3899815;0.34558254
-0.33055875;2.1839762;0.0012024622
1.7400784;0.65650535;-0.56289136
1.7810739;0.4872897;-0.8332334
-0.06549706;0.2696904;-0.5271614
-0.1958433;2.2204263;0.023801206
0.8847801;2.0626042;0.05412814
0.12628092;0.33408326;-0.6582387
1.6109122;1.1533058;0.42326418
-0.22489123;0.44417912;-1.4133643
-0.03691699;1.7484231;-0.0051889736
-0.087852575;0.1686464;-1.0321857
0.1532921;0.28868622;-0.6586069
1.5135788;1.1281337;0.49438694
-0.13653794;0.8878331;-0.9881682
