x;y;z
-0.00547339;0.0136617;-0.0212732
-0.000574748;0.0082988;-0.0011472
-0.00284893;-0.0158184;-0.00939989
-0.00333122;0.0144572;-0.0312702
-0.000480993;0.00681252;-0.0416749
-0.00128095;0.0104916;-0.0542326
-0.00207576;0.00851191;-0.0443355
-0.00290014;0.00444612;0.0134727
-0.00395993;0.0133945;0.00620067
0.00160472;0.00303721;0.00843112
0.00190271;-0.00290236;0.0768722
0.00303859;0.00307389;0.0419266
0.00357825;-0.00620084;0.0508115
-0.00381315;0.0109209;-0.00729322
-0.0026522;0.00981087;-0.0218271
0.00706429;-1.2865e-05;0.07573
-0.0025256;0.00821379;-0.0390377
-0.00237039;0.00536571;0.00067644
0.00292354;-0.00532337;0.0858326
0.00116504;0.00541493;0.025286
-0.00457355;0.0139956;-0.010529
-0.00293792;0.00342368;-0.00352015
0.000163253;0.000294625;0.0697471
0.00910982;-0.0141236;-0.103725
-0.00306105;-0.0145966;-0.0851194
0.019369;-0.0421625;-0.0402932
-0.0017978;0.00269572;-0.0194513
0.00173582;-0.00202564;0.0427125
-0.00102285;0.00811979;0.0298096
-0.00216514;0.00947247;-0.0235146
-0.0264597;-0.0586278;-0.0323124
-0.00143586;0.0126186;0.00657825
-0.00227646;0.0028207;0.0492113
-0.00992639;0.00253452;-0.0321301
-0.00244069;0.0126813;-0.0486971
0.0179925;-0.0399421;-0.0885366
-0.00493512;0.0160028;-0.00978109
0.0029603;0.00575101;-0.00441045
-0.00189341;0.00399484;-0.0123827
0.00831534;-0.0134753;-0.0983926
0.000133411;-0.00121738;0.0420557
-0.00295336;0.0132724;-0.00798202
-0.00338175;0.0150593;-0.0123069
-0.00134821;0.0108705;-0.0103283
-0.00283332;0.0027388;0.0286903
-0.00252208;-0.0105399;0.0577384
0.0125996;-0.0339829;-0.0797641
0.0205914;-0.0516928;-0.0645374
-0.00130322;0.0109055;-0.00465885
0.00100672;-0.00152495;0.00464702
0.000568286;0.00800325;0.0292257
-0.000429727;0.00204268;0.0519627
-0.00292183;0.00502212;-0.00197896
-0.000134703;0.005878;0.0224108
0.00428477;-0.00873246;0.0522023
0.00115916;0.00709492;-0.0058627
-0.000264593;0.00187324;-0.00122245
-0.00364702;0.0112924;-0.0237015
-0.0033957;0.010914;-0.0274895
-0.00314545;0.0112312;-0.00418022
-0.00198684;0.00944423;-0.0186639
-0.0025641;-0.000749191;0.0344029
-0.00569738;0.0157148;-0.0211617
-0.00580616;0.015713;-0.0217241
0.0105043;-0.019361;-0.0954551
-0.000128244;0.00422538;-0.0133856
0.00605014;0.00233244;0.0631745
0.0108318;-0.0167629;-0.0985386
-0.00154778;0.00256529;-0.00389115
0.0299157;-0.0707083;-0.0499655
-0.00304563;0.0032037;-0.0473286
-0.00436217;0.0156602;-0.0522846
0.0167424;-0.0358731;-0.0730899
-0.00383425;0.0130844;0.010128
0.000833826;-0.00143153;0.0525546
0.000390334;0.000782399;0.0286198
-0.0038417;0.00452509;0.00394852
-0.0033643;0.0135259;-0.0453686
-0.00508761;0.0146525;-0.0406221
-0.004144;0.00722353;-0.00620604
-0.00472685;0.00797969;-0.0246706
-0.000766155;0.0019882;0.0519113
0.00071821;-0.000982325;0.00692525
-0.00234426;0.0118243;0.0089102
-0.00429645;0.0113312;-0.0459601
-0.00469356;0.0124078;-0.0218476
-0.000389406;-0.000597278;0.0382347
-0.00027057;-0.0021323;0.0157242
0.00431533;-0.00937422;0.105314
0.000120618;0.00938877;0.0435729
0.00111481;0.0020527;0.0278609
0.00121361;0.00771619;0.0602342
0.0154583;-0.0411078;-0.0791108
0.0164384;-0.0457069;-0.0620557
-0.00144655;0.0014362;0.0142525
0.00470911;-0.00281781;0.0721874
0.00104185;-0.0011236;0.0526123
0.00305538;0.00594699;0.0524514
-0.000973584;0.00884477;-0.0131941
0.00765646;-0.00984792;0.118408
-0.00314537;0.0090458;-0.036622
-0.00395983;0.0119085;-0.0520058
0.00269262;-0.00569084;0.0907598
