x;y;z
-0.00174401;0.00403571;-0.00188044
-0.000802983;0.00549836;0.00444344
0.00424036;-0.0157785;-0.00245076
0.00341172;-0.00860612;0.00299671
-0.00154977;0.00297874;-0.00152105
0.00170871;-0.00631364;-0.0010234
-0.000805971;0.00918668;0.00892063
0.000718615;-0.000164102;0.00244203
0.00282394;0.000272991;0.010998
0.00522951;-0.0167235;0.000617777
0.000267388;0.00409611;0.00514109
0.00162532;0.00835706;0.016468
-0.0034475;0.00571276;-0.00664864
-0.00308879;0.0132538;0.00456441
-0.000789752;0.00520416;0.0036721
0.00485305;0.00156462;0.0201791
-0.00222201;0.00674863;-0.000120364
-5.8863e-05;-0.00371779;-0.00462925
0.00106843;0.00187157;0.0056704
-0.00193675;0.0123591;0.00736866
-0.000452314;0.00333154;0.0018651
0.00368032;-0.0235906;-0.0136712
0.00136491;0.0087059;0.0146783
0.00261378;-0.00231713;0.00945025
-0.00929504;0.0132797;-0.0189284
-0.00173226;0.00109699;-0.00593099
-0.00305983;0.0062416;-0.00446518
-0.000992742;0.000790214;-0.00315638
-0.00115434;0.00814691;0.00557041
0.000863338;0.000702004;0.0044955
-0.0222023;0.0482845;-0.0279837
0.00520522;-0.0103357;0.00701935
0.00028883;-0.000279387;-0.000108238
-0.00744316;-0.00291194;-0.0314032
0.00440289;-0.0116256;0.00276298
0.0056964;0.00110765;0.0237633
0.00221183;-0.00301841;0.00495003
0.0059791;-0.0175959;0.00228128
-0.00147785;0.00471586;0.000518092
-0.00051189;0.00178961;8.88286e-05
0.000536278;-0.00189963;2.32553e-05
0.0052724;-0.0140188;0.00360536
0.00341721;-0.00926174;0.00215954
0.00427623;-0.00283112;0.0133499
0.000145051;0.000832486;0.00102494
0.00460892;-0.0599834;-0.056274
-0.00092014;0.00547929;0.00219546
0.0049722;0.0077738;0.0295779
0.0040005;-0.0003533;0.0151364
-0.00216757;0.00288718;-0.0051076
0.0020416;0.00139402;0.00909142
0.003288;-0.000988278;0.0111653
0.000815576;-0.0068202;-0.0049527
-0.00072931;0.00834872;0.00701498
-0.00359016;0.00385181;-0.00872221
0.0010586;-0.00366486;-0.000718676
-0.00203554;-0.00212958;-0.0104879
-0.00169183;0.00477095;-0.000828697
-0.00219335;0.00785201;0.00130542
-0.00100134;0.00837402;0.00684399
