x;y
-0.23884;0.174944
-0.0655291;0.0208212
0.259605;0.0279401
-0.215469;0.251359
0.00282356;0.316784
-0.108053;0.417911
-0.0872489;0.335607
-0.0793814;-0.0957997
-0.27118;-0.0321317
0.0516926;-0.0545193
-0.0165555;-0.525471
-0.0133923;-0.281751
0.17302;-0.336623
-0.170316;0.0640166
-0.108689;0.171158
-0.0141465;-0.496945
-0.0706171;0.297676
-0.0496008;-0.00465976
0.00775768;-0.583054
-0.037171;-0.16692
-0.248845;0.0942196
-0.00493296;0.0273903
-0.106723;-0.484635
0.302086;0.700542
0.247636;0.595223
0.822261;0.178039
0.0204352;0.137566
0.0787024;-0.293178
-0.144111;-0.200304
-0.0985233;0.182879
0.478041;0.153012
-0.201702;-0.0340175
-0.121814;-0.340327
-0.0614906;0.245358
-0.18156;0.380766
0.547791;0.481591
-0.300154;0.0917215
0.0426799;0.0460652
-0.00372049;0.08846
0.279638;0.67359
0.035588;-0.291347
-0.209106;0.0721927
-0.239622;0.109664
-0.142773;0.0852286
-0.0779639;-0.205778
0.149903;-0.393406
0.526856;0.449029
0.730259;0.261525
-0.150797;0.0441286
0.124536;-0.0387565
-0.120571;-0.197861
-0.0881611;-0.363175
-0.0512023;0.017345
-0.0659515;-0.151511
0.223705;-0.337246
-0.0105442;0.0520779
0.0724135;0.0140153
-0.155045;0.18873
-0.137191;0.216902
-0.168971;0.0436533
-0.0860064;0.149493
0.0134703;-0.238506
-0.290877;0.17818
-0.284362;0.182852
0.355186;0.623363
0.0508865;0.102186
-0.0267418;-0.405101
0.386922;0.646597
0.0037223;0.0209358
0.85974;0.0839238
-0.0010765;0.345649
-0.218076;0.42368
0.603169;0.383272
-0.265413;-0.0604824
0.0226023;-0.361107
0.0230843;-0.203864
-0.0718581;-0.0286801
-0.164334;0.362198
-0.21734;0.328148
-0.111615;0.0517562
-0.0824831;0.193443
-0.0869799;-0.361545
0.123095;-0.045272
-0.195181;-0.0498428
-0.13996;0.36167
-0.176656;0.176147
0.025808;-0.267186
0.128695;-0.104396
0.0341632;-0.711924
-0.2084;-0.298569
0.00552768;-0.197743
-0.228936;-0.414918
0.580248;0.416613
0.692718;0.279546
0.0088419;-0.103882
0.0432299;-0.486219
0.00760803;-0.366677
-0.116381;-0.354965
-0.0937;0.102733
0.0436254;-0.781453
-0.0775387;0.282988
-0.169636;0.407829
-0.00574256;-0.617585
0.187999;0.813886
-0.228229;-0.0824915
-0.0635085;-0.0351191
-0.204202;0.413468
0.0652849;-0.170296
-0.268792;-0.060842
0.0910139;0.0569897
-0.0938915;0.199106
-0.127749;-0.115179
-0.0306185;-0.278199
0.013289;-0.102148
-0.117268;-0.0397298
-0.0671182;-0.473112
0.0613691;-0.102761
-0.0596508;-0.25428
-0.100138;0.0910726
0.482744;0.522487
0.0706012;-0.405413
-0.208829;0.125011
0.119933;-0.134352
0.761067;0.260316
-0.0316648;0.0297182
-0.0827888;-0.0344273
0.0853422;0.0175534
0.0108961;0.272136
0.0103986;-0.260774
0.0206709;-0.192103
-0.125841;-0.250093
-0.0130632;0.000630259
-0.12846;-0.321963
0.103529;-0.0143606
-0.166825;-0.0823705
0.63966;0.364655
-0.0520412;-0.144984
0.0109729;-0.189506
-0.0185684;-0.268399
0.111697;-0.0196669
0.501084;0.434503
-0.0897872;-0.327854
0.0419171;-0.0437983
0.00911324;-0.521598
4.15275e-05;0.228629
-0.205361;0.332081
-0.198552;0.161765
-0.19813;0.222138
-0.0307194;0.0733419
0.269835;-0.860548
-0.159802;0.274715
0.126092;-0.40962
-0.0396365;0.0136646
0.0273354;-0.202864
-0.0299732;-0.2274
-0.149026;0.100061
-0.0318915;0.366593
-0.152159;-0.0950464
0.0260519;-0.468716
-0.132773;0.306699
0.0840377;-0.445023
-0.00959323;-0.204485
-0.26288;-0.183993
-0.161581;-0.0320998
0.193481;-0.833371
0.151021;-0.65888
0.773394;0.206302
-0.0460732;-0.0824994
-0.102791;-0.282401
-0.00378665;-0.319951
0.186018;-0.422784
0.0289831;-0.657092
0.0777095;0.623518
-0.033041;-0.0659125
0.00905181;-0.0655399
-0.0364962;0.0734389
-0.20957;-0.00952717
-0.0693578;-0.0187757
0.16926;-0.824441
-0.123068;0.0757401
0.0247434;-0.171269
-0.101908;-0.228797
-0.200989;-0.219777
-0.146307;-0.47449
-0.187007;0.263956
