x;y;z
-0.149721;-0.244394;0.172074
0.262674;-0.0892587;0.0123084
-0.163319;0.26774;0.0534362
-0.0329766;-0.239244;0.244136
0.237834;-0.0396745;0.312042
0.000836149;-0.146184;0.417538
-0.0525927;-0.111964;0.338885
-0.266359;-0.0601475;-0.0827862
-0.241088;-0.262394;-0.0333786
0.21116;0.0342681;-0.0544424
-0.142572;0.0199237;-0.514765
0.206331;-0.0178727;-0.284917
0.324578;0.168852;-0.331921
-0.0221723;-0.176008;0.0608285
0.0374759;-0.128791;0.168794
0.273708;-0.012503;-0.501313
0.0166002;-0.0959185;0.297909
-0.0873424;-0.0465353;0.00511269
-0.15734;0.051794;-0.567388
0.237774;-0.0505935;-0.17258
-0.131787;-0.253015;0.0890343
-0.0406862;-0.00329368;0.0342919
-0.401344;-0.0572476;-0.467716
0.11774;0.241189;0.722871
-0.0341248;0.220664;0.619802
0.681091;0.75238;0.209948
-0.081284;0.011464;0.149573
0.115816;0.0850912;-0.285775
0.100754;-0.142562;-0.207314
0.023383;-0.119077;0.1806
-0.460931;0.519236;0.211211
-0.00509149;-0.213285;-0.0420895
-0.320369;-0.0787895;-0.332833
-0.19357;-0.0510406;0.255817
-0.140516;-0.208381;0.381064
-0.300525;0.522119;0.536457
-0.138582;-0.303816;0.083518
0.42697;0.000165488;0.0349878
-0.0355794;-0.00958517;0.0968575
0.0369303;0.221979;0.696314
0.0211358;0.0499384;-0.281683
-0.0130111;-0.220799;0.0644513
0.0266589;-0.258166;0.098633
-0.018428;-0.159336;0.0821904
-0.325658;-0.0490587;-0.188014
-0.0410808;0.182064;-0.377365
-0.1561;0.496794;0.498301
-0.15125;0.710462;0.324627
-0.0501018;-0.161963;0.041663
0.113905;0.112915;-0.0281821
0.0810339;-0.124999;-0.203158
-0.271137;-0.0520448;-0.350898
-0.141803;-0.0461119;0.0259653
0.107879;-0.0695857;-0.153497
0.429906;0.216766;-0.332173
0.283741;-0.0437661;0.0459341
0.186633;0.053678;0.0161901
-0.0363725;-0.170641;0.185778
-0.00615755;-0.155671;0.214042
-0.00510844;-0.177376;0.0391875
0.112219;-0.110415;0.14431
-0.0526024;0.0348913;-0.229946
-0.186191;-0.295058;0.172466
-0.145056;-0.290908;0.176382
