x;y;z
8.330211;10.163095;14.408655
11.624837;11.386885;11.7832775
5.0116096;-2.3386438;5.379813
7.9568567;9.930383;13.644583
7.8835645;10.440024;11.605825
8.202319;9.012651;12.368809
8.469097;9.254371;12.717629
9.908486;12.31262;-0.95605624
9.01927;11.399534;14.575197
10.409588;7.9640408;-0.022556461
9.065138;10.231014;-2.882038
11.616866;12.531018;12.319555
9.447991;7.1973405;-1.2528713
11.420978;10.676892;12.839304
8.327428;10.669747;12.674929
11.866747;13.079255;12.100963
8.386942;10.121235;12.344502
11.147057;9.440601;-0.09617089
10.2347555;8.729247;-2.7375789
11.520962;12.363874;11.862353
8.37982;10.702308;14.475939
10.7681;9.082545;0.3806663
10.082544;11.00353;-2.8069088
-5.6523633;8.983864;3.2356055
5.2485123;-2.1212437;5.6247363
-6.7921286;9.017605;3.7017465
9.417415;11.703438;0.72172546
10.31013;7.5088344;-1.0759249
11.564882;12.243813;12.564187
8.409308;10.599805;12.584045
7.212189;-2.1358838;6.42845
8.6447;12.0576;13.853725
9.644248;11.707637;-2.11076
9.473915;11.01766;2.081097
8.790793;9.163384;13.151528
-7.1648874;10.063134;3.6436353
8.5310955;10.768405;14.483008
11.171829;11.42281;11.205707
10.721366;9.257864;0.6352705
-5.988826;9.703669;3.501347
10.778487;8.316519;-1.6184878
11.28696;10.65108;12.834779
8.003272;10.991481;13.964154
8.571875;11.257587;13.4874
10.031862;11.80226;-1.7802553
9.59823;10.21167;-1.7038162
-6.8419075;10.072282;3.797053
-7.202541;9.370489;3.5332234
8.688738;11.55196;13.495624
10.488696;8.378557;0.2780179
11.368524;12.297352;12.586583
10.920419;9.396271;-2.4222636
9.496548;12.355038;0.07585693
11.406717;11.708458;12.327815
9.295522;7.3408246;-0.93837553
11.133196;11.237166;11.30697
8.333747;11.083995;0.12167197
8.352329;10.064958;13.345031
8.376748;10.408516;12.780937
8.262856;11.331564;13.375098
8.110146;11.081323;12.281305
10.123322;8.701561;-1.019337
8.443071;10.237411;14.432987
8.338165;10.127547;14.35305
-6.204603;9.856081;3.5880873
8.716448;10.905661;0.5981283
11.978054;13.100829;11.91696
-5.6508207;9.050597;3.3388875
11.04689;9.530474;0.06775418
-7.732954;9.307541;3.4417381
10.332088;10.480004;1.2803751
7.4406786;8.941917;12.722407
-6.9189634;9.4095;3.8080804
9.026308;11.621263;14.553575
8.563002;10.768447;-2.2094047
11.032778;8.297437;-1.081886
11.182363;9.581238;-0.23871835
7.25888;9.302744;12.697904
7.456797;9.272462;13.252877
9.666934;12.482098;0.034136992
9.525687;11.315701;1.6257286
9.410751;11.275405;-2.7131648
9.840775;8.240928;0.26950234
8.140598;12.175263;13.811406
8.70534;9.276957;12.122641
10.730427;10.1318655;12.084791
8.690091;11.174345;-1.7429062
9.742399;8.232687;0.090875655
9.746318;9.112259;-3.0115352
9.414225;12.738071;13.7982
11.083519;8.165449;-1.0565275
11.077458;12.531316;13.181776
-7.2929926;10.003425;3.7093287
-7.113935;9.324566;3.8633647
8.891189;11.921382;-0.95719975
9.930887;7.368594;-2.2131329
10.778906;8.457757;-2.145327
11.555867;12.689184;12.6520605
8.422156;11.0701065;13.114033
9.352328;8.312616;-3.224613
8.424755;9.896596;11.746871
8.385887;8.790757;12.975484
9.800615;9.11531;-3.0709708
-4.6846485;9.222463;3.3491654
11.127042;11.420734;13.3472395
9.396696;12.345783;-0.46612856
7.359961;9.058069;12.692869
10.375144;8.800647;-0.7538138
10.966656;11.283858;13.475414
8.363785;11.165972;0.07607348
7.405322;10.760169;12.120315
11.27909;11.604173;12.658267
10.818977;9.523588;-1.6792252
11.027546;8.349716;-0.06838396
11.56428;11.440248;12.123715
9.659738;10.780452;-2.9240842
10.6283245;8.04983;-0.08013089
11.692404;12.6658325;11.94361
7.437537;11.076431;13.212709
