x;y;z
0.5092129;0.022542752;0.4435433
-0.28379768;0.39687827;0.11585511
0.10579484;0.25958836;0.13226919
0.16432288;0.08199262;0.08424056
0.16432288;0.08199262;0.08424056
0.10579484;0.25958836;0.13226919
-0.04812444;0.057617366;0.29901874
0.5092129;0.022542752;0.4435433
-0.28379768;0.39687827;0.11585511
-0.15253948;0.47474492;-0.027542243
-0.10137183;0.9102944;-0.12538145
-0.12548088;0.5497762;0.20437552
-0.2882603;0.57564807;-0.001722211
-0.28735968;0.3654229;-0.22755374
0.43562043;-0.24931648;0.4775741
-0.22351386;0.42505765;-0.12153302
-0.87335706;0.42006;0.3699897
-0.2344942;0.6217238;-0.79084355
-0.06110949;0.44908303;-0.090856805
-0.017541623;0.04945235;0.2581728
-0.2344942;0.6217238;-0.79084355
-0.38513154;0.6508955;-0.16981424
-0.2230543;0.25674433;-0.055341348
-0.5620813;-0.014952123;0.3199642
-0.23641182;0.3104589;0.008580906
0.12999797;0.045075662;-0.025436977
-0.22237143;0.25693038;-0.01088609
-0.034060404;0.06305351;-0.069610864
-0.16416985;0.49437973;-0.1358725
-0.060746126;0.5312611;-0.2126766
0.22707288;0.20143257;0.14534062
-0.45153785;0.50295573;-0.013611672
-0.25728315;0.5584353;-0.048225343
-0.23218982;0.2817967;0.012133701
0.069644615;0.09839767;0.122621685
-0.1351398;0.5752562;-0.38482973
-0.09357046;0.024166066;0.30513254
-0.1260784;0.48248354;-0.2081397
0.24019602;0.07157105;0.2885166
0.24019602;0.07157105;0.2885166
-0.14891978;-0.30303085;0.4146322
-0.146021;-0.30759415;0.41905412
-0.034010284;0.041225508;0.35222614
-0.24748679;0.29103222;0.12995933
-0.24492492;0.28600225;0.11670243
-0.10078478;0.36264545;0.050306804
-0.13197032;-0.071563;0.17369874
-0.15430279;-0.06686464;0.18155071
-0.034010284;0.041225508;0.35222614
-0.03589475;0.15105627;0.071978696
-0.16487975;0.3294995;-0.16313499
-0.21883968;0.3402001;-0.11111669
-0.4397847;0.53272307;-0.112828985
-0.30241635;0.42461875;-0.121550694
-0.23949458;-0.3814212;0.6056056
-0.08084085;0.37669998;-0.092522085
0.33299989;0.06691359;0.14887105
0.12724125;0.08493629;0.24029654
-0.5467744;0.32873866;0.46671104
-0.22843443;0.33536863;0.022693312
-0.06485674;0.19745432;0.46355093
0.12724125;0.08493629;0.24029654
-0.67339754;0.40585354;0.4530474
-0.5467744;0.32873866;0.46671104
-0.19516759;0.5054244;0.01427835
-0.6956776;0.3231447;0.30387783
0.009389803;0.2983156;-0.40896156
-0.35463598;0.13311681;0.19054505
-0.2963104;0.41669956;-0.079008654
0.17806779;0.21580645;0.36783355
0.041892603;-0.12433699;0.32072422
-0.0991992;-0.056699336;0.12219477
-0.16342823;0.016616873;0.019821545
-0.17042033;0.81942296;0.35589218
-0.2963104;0.41669956;-0.079008654
0.17806779;0.21580645;0.36783355
-0.25436214;0.6073545;-0.38437396
-0.4272701;0.26114342;-0.4301283
0.3712235;0.35896093;0.36250058
-0.3929151;0.09346606;0.41142857
-0.23101766;0.30015585;-0.06662169
0.2391889;0.03702409;0.19253805
-0.058377557;0.0037901327;0.23286623
0.03315343;0.012928534;0.13273305
0.067951776;-0.20443949;0.57238364
0.05976028;-0.21013257;0.5790753
0.08086818;-0.20769095;0.59362984
0.17707683;0.055317294;0.080891505
0.067951776;-0.20443949;0.57238364
0.05976028;-0.21013257;0.5790753
0.08086818;-0.20769095;0.59362984
0.023905337;-0.13204521;0.31881568
-0.14179897;0.46886733;-0.33662933
-0.14323573;0.4636664;-0.32289803
-0.09888907;0.36265245;-0.15088843
0.22046593;-0.044177026;0.3146218
0.098059304;-0.1330626;0.65236115
-0.18277983;1.0868771;-0.0036354084
0.73655653;0.7380953;0.43193737
0.098059304;-0.1330626;0.65236115
0.3059456;-0.04654833;0.43372723
0.06513683;0.07189099;0.12009861
0.084938504;0.05835031;0.19425291
0.4342127;-0.043357193;0.47601035
0.3059456;-0.04654833;0.43372723
0.22029947;0.17478178;0.27599663
0.06513683;0.07189099;0.12009861
0.28001693;0.014115458;0.21546318
0.28001693;0.014115458;0.21546318
-0.22556546;0.18069758;0.103257895
0.29033625;-0.17488569;0.6993212
0.47148404;-0.078026645;0.36699992
0.21258561;-0.14383022;0.46740046
-0.05517047;0.018454198;0.40288407
-0.05517047;0.018454198;0.40288407
-1.431197;0.65705085;0.32986966
-0.29957846;0.4242237;-0.21127714
-0.33504385;0.61930966;-0.21469812
0.21258561;-0.14383022;0.46740046
0.20216887;-0.12751721;0.43293464
-0.76670504;0.29548642;0.4048207
0.33095217;0.018182926;0.43128562
0.090246;0.17589071;0.16072139
0.0697831;0.1908895;0.21305823
-0.16535954;0.2753799;0.15659857
-0.12845625;0.30636635;-0.116028145
0.2146508;0.24534197;-0.030187203
-0.043050624;0.011248462;0.09198466
-0.1137102;0.26352513;-0.086080275
-0.11525867;0.25812602;-0.084477894
0.07087331;0.17688277;0.05922339
-0.043050624;0.011248462;0.09198466
0.092929296;-0.095207095;0.19930638
0.16745089;0.037447058;0.2021001
0.077439696;-0.006100923;0.22774439
0.15096124;0.050714616;0.14591609
-0.11551189;0.5469514;0.009027412
0.05131419;-0.20178613;0.5987591
-0.24235131;0.5199493;-0.05615785
-0.24313222;0.5796499;-0.15818487
-0.4846233;0.5734192;-0.028698312
0.05131419;-0.20178613;0.5987591
-0.17766549;0.46235007;-0.033955067
-0.1315798;0.5210216;0.18698622
-0.22977032;0.6515213;-0.02963859
-0.13989538;0.61381817;-0.09335867
-0.2995632;0.18110862;0.09435071
-0.6969595;0.066477686;0.30853158
-0.545885;0.4199997;-0.4215347
-0.14712903;0.3661001;0.4590462
0.21234207;0.24681756;-0.18983984
0.24667405;0.120726064;0.09019534
