x;y;z
-0.000444349;0.000409135;-0.0111744
0.00113989;-0.000509995;-0.00276602
-0.000389234;-0.000716735;-0.00112752
0.000305183;0.00182266;-0.00542525
0.000305183;0.00182266;-0.00542525
-0.000389234;-0.000716735;-0.00112752
0.00103501;4.73718e-05;-0.00379834
-0.000444349;0.000409135;-0.0111744
0.00113989;-0.000509995;-0.00276602
-0.000874191;0.0015826;0.00104894
-0.00270739;0.0018942;0.00584777
-0.00126681;-0.000963486;-0.00290464
-0.00116685;0.000211577;0.00235475
0.0013707;0.00428947;0.00688536
-0.00207628;-0.000105499;-0.00784715
-8.05692e-05;0.0027608;0.00326942
0.00172706;-0.00175739;-0.000932397
0.000426376;0.00198405;0.0108132
-0.000882468;0.00268602;0.00110837
0.00115956;-0.000420957;-0.0039127
0.000426376;0.00198405;0.0108132
-0.00013628;0.00193359;0.0020103
0.00136934;0.000636788;0.00104521
0.000217546;-0.00250128;-0.00441936
0.00135844;7.7385e-05;-0.00114356
0.000822848;0.00336861;-0.00527686
0.00158312;0.000457994;-0.00119755
0.000877176;0.000684566;-0.000702974
-0.000958536;0.00265717;0.00328237
-0.00131778;0.00312543;0.00592601
-0.00079748;-0.000177329;-0.00351461
0.000420072;-0.00168215;0.00256405
-0.000516581;0.00112318;0.0013284
0.0018061;-0.000396966;-0.00417464
0.00210966;0.00186352;-0.00327716
-0.00114727;0.00425214;0.00749317
0.00110006;0.000459917;-0.00224276
-0.000335652;0.00281354;0.00138927
0.000417998;-0.000595553;-0.00978773
0.000417998;-0.000595553;-0.00978773
-7.8463e-05;0.000751182;-0.00631049
-0.000116793;0.000752622;-0.00637321
0.0001362;0.00051941;-0.00443824
0.000753164;0.000249519;-0.0040251
0.000832392;0.000208793;-0.00398308
-0.000165075;0.00146751;-0.00355026
0.00165659;0.000977175;-0.0046701
0.00158114;0.000959542;-0.00474139
0.0001362;0.00051941;-0.00443824
0.00105851;0.000515101;-0.00311782
0.000545086;0.00364658;0.00296711
0.000864847;0.00145066;0.00240192
0.000648603;0.00149118;0.00302086
0.000666687;0.00235113;0.00182438
-0.00104017;0.000204233;-0.00655805
-0.000292097;0.0034716;-0.000709113
-0.000154956;0.00211918;-0.00797972
0.00171518;0.000402201;-0.00748252
0.000214601;-0.000419319;3.39138e-05
0.00075417;0.000328222;-0.00136251
-0.000178443;-0.00103543;-0.00762984
0.00171518;0.000402201;-0.00748252
9.81157e-06;0.0010037;-0.000620093
0.000214601;-0.000419319;3.39138e-05
-0.000193883;0.000991448;-0.000996015
0.00163656;-0.00170165;-0.00347459
1.23781e-05;0.00449936;0.00680246
0.000827882;0.00205984;-0.00470754
0.000630376;0.00042455;0.00213205
-0.000282813;-0.00042231;-0.0043536
0.000502109;0.00216592;-0.0104597
0.00169025;0.00115254;-0.00660695
0.00359645;0.000144998;-0.00152749
-0.00247483;-0.00206436;-0.00435539
0.000630376;0.00042455;0.00213205
-0.000282813;-0.00042231;-0.0043536
-0.000608878;0.00432007;0.00829155
-0.000102989;0.00113473;0.00763164
-0.00144794;-0.000409283;-0.00585829
0.00129523;-0.00300067;-0.00350223
0.000936333;0.000131154;0.00173511
0.000416493;0.000340253;-0.00793829
0.000516548;0.000834698;-0.00364221
0.00120133;0.00112421;-0.00643068
-0.000383795;-0.000777742;-0.00918522
-0.000369431;-0.000954899;-0.00898533
-0.000612191;-0.000492239;-0.00942553
0.000844241;0.001969;-0.00724316
-0.000383795;-0.000777742;-0.00918522
-0.000369431;-0.000954899;-0.00898533
-0.000612191;-0.000492239;-0.00942553
0.000718007;0.00244605;-0.0106263
-0.000117567;0.00497051;0.00653189
-0.000203896;0.00516186;0.00638474
-0.000380992;0.00360591;0.00189453
0.000112747;0.00238876;-0.010754
1.65477e-05;0.000161265;-0.00937178
-0.00269327;0.0016521;0.0029351
-0.00343955;-0.00116174;-0.0026759
1.65477e-05;0.000161265;-0.00937178
-0.000654252;0.00120119;-0.00997338
0.00146542;0.000991519;-0.00586888
0.00192512;0.00109154;-0.00609687
-0.000879143;0.000192756;-0.0102203
-0.000654252;0.00120119;-0.00997338
9.82838e-05;-6.60357e-05;-0.00619375
0.00146542;0.000991519;-0.00586888
0.000239496;0.000457276;-0.00887819
0.000239496;0.000457276;-0.00887819
0.000862025;0.00124575;-0.00192677
-0.00126749;0.00171713;-0.0107918
-0.000278998;0.00185761;-0.0130271
-0.000746411;0.00135873;-0.0100296
0.00081815;-0.00117108;-0.00591854
0.00081815;-0.00117108;-0.00591854
0.00432767;-0.00301315;0.0019313
0.00120947;0.0025983;0.0027675
-0.000890613;0.00314221;0.00494781
-0.000746411;0.00135873;-0.0100296
-0.000629882;0.000961201;-0.00960134
0.0013766;-0.000606599;0.000605651
-0.000918763;-0.000837261;-0.00876725
0.000525849;0.000457396;-0.00363454
0.00103565;-0.00024497;-0.0053381
0.000231365;0.00207696;-0.00434105
0.000415481;0.00314795;0.000683794
-0.000115667;0.000494143;-0.000692241
0.00212459;0.00127234;-0.00484022
0.00055739;0.00299484;-0.00049198
0.000626528;0.00303678;-0.000559672
0.00161965;0.00020917;0.00257302
0.00212459;0.00127234;-0.00484022
0.00126056;0.000837823;-0.0099964
0.00114671;0.000881183;-0.00818774
0.00109071;0.000674946;-0.00878697
0.000972774;0.000870369;-0.00637467
-0.00124643;0.00164493;-0.000156714
-0.000332545;-0.000583377;-0.00899195
-0.000545136;0.00166852;0.00121817
-0.00114386;0.00126487;0.00576271
0.000817603;-0.000380582;0.000994984
-0.000332545;-0.000583377;-0.00899195
-0.000796788;0.00110452;0.00116156
-0.00106488;-0.00101623;-0.00259003
-0.00166274;0.00126356;0.00273219
-0.000938929;0.00294087;0.000254525
0.00151161;0.00293827;-0.00292397
0.00244752;-0.00395764;-0.00206335
0.00078287;0.00162858;0.00736123
-0.000740874;0.000212685;-0.00495944
-0.00111021;0.00369502;0.000472688
-0.000733358;0.00122925;-0.00497558
-0.000740874;0.000212685;-0.00495944
-0.000755402;0.00129744;-0.000495593
-0.00187087;-0.00219265;-0.00240272
-0.001277;0.00139763;-0.0115629
-0.001277;0.00139763;-0.0115629
0.000731372;0.00408541;0.00698061
0.00229958;0.00311688;0.00714137
0.00229958;0.00311688;0.00714137
0.000731372;0.00408541;0.00698061
-0.000940383;0.00131309;-0.0093409
0.000780022;5.76294e-05;0.0018892
-0.001277;0.00139763;-0.0115629
0.000461527;0.00201271;-0.00832362
0.000172088;0.00184704;-0.00664923
-0.000843497;0.000524556;-0.00687657
-0.000618328;0.00317798;0.00792101
-0.000471019;-0.000501707;-0.00620385
-0.00337119;-0.000984357;-0.00373674
-0.00143884;0.00438899;0.00654154
-0.00147257;0.00166072;0.00168665
-0.00149015;0.00102679;0.00374008
0.000686801;0.0034359;0.00303706
-0.000602579;0.00113092;-0.00525531
-0.000646515;0.00425598;9.45434e-05
-0.00218396;0.00343037;0.00735012
0.00154951;0.00138332;-0.00681461
0.00152127;-0.00366937;-0.00386856
0.000715562;0.000358196;-0.00647662
0.000792509;2.86293e-05;-0.00585674
0.000538847;0.000493538;-0.00670993
-0.000800434;0.000436448;-0.0119788
0.000455986;0.00205141;-0.00858713
-0.000656225;0.00228112;-0.010343
-0.000610183;0.00220932;-0.0104321
-0.000187969;0.00161477;-0.00520032
0.000406059;0.00227441;0.00119993
-5.38298e-05;0.00242103;0.0087884
0.000572794;0.00109871;-0.00967532
0.000523529;0.00102872;-0.00970814
-0.000800434;0.000436448;-0.0119788
-0.00115893;0.0032228;0.00104151
0.00119642;0.000425677;-0.00315411
-0.000330263;0.000750301;-0.00868673
-0.000332431;0.000763865;-0.00867308
-0.000354888;0.000903846;-0.0088383
0.000761437;0.00110295;-0.00954977
0.00049277;0.000335731;-0.0102243
0.000761437;0.00110295;-0.00954977
0.000645834;0.0011564;-0.00873577
0.00049277;0.000335731;-0.0102243
0.00104624;0.00069669;-0.00753956
0.000399595;0.00328263;0.00362862
0.00102842;0.000835801;-0.000491307
0.000189451;0.000589431;-0.00893244
0.00041346;0.000304197;-0.00585155
-0.0040353;-0.00174891;-0.00406612
0.000942564;-0.00320834;0.00246962
0.00100813;-0.000529125;-0.00363121
0.00128134;0.000692019;0.00136449
0.000263065;0.00202676;0.00297745
0.00041346;0.000304197;-0.00585155
0.00166748;0.000368515;-0.00231589
0.000925849;0.00202737;0.00302452
0.00187606;0.000824035;-0.00537105
-0.0011065;0.00333375;-0.00175739
0.00187606;0.000824035;-0.00537105
0.00197328;0.000955872;-0.00692983
-0.00110303;0.00347157;-0.00170138
