x;y;z
0.0140695;0.00361688;0.00347369
-0.000212319;-0.00263879;-0.0101009
-0.00695134;-0.00645946;-0.000354001
-0.00107613;-0.00485642;0.00635058
-0.00107613;-0.00485642;0.00635058
-0.00695134;-0.00645946;-0.000354001
0.00348335;0.00551057;0.000499799
0.0140695;0.00361688;0.00347369
-0.000212319;-0.00263879;-0.0101009
-0.00267408;-0.00678143;0.00580961
-0.00142367;0.0182116;0.00669069
-0.00577932;0.00196895;0.0069931
-0.0068681;0.00654682;0.00108297
-0.0116172;-0.0219136;-0.00886202
0.00786983;0.00543197;0.00148037
-0.00280185;0.00121563;-0.00588635
-0.00210348;0.00679781;0.00135114
-0.00744169;0.00178781;-0.019934
-0.00285758;0.0061123;0.00549272
0.00183178;0.00203095;0.00230909
-0.00744169;0.00178781;-0.019934
-0.00209541;0.00689009;-0.00809611
-0.00993567;-0.0157589;-0.0132156
-0.00317434;0.0168996;0.0144633
0.000103585;-0.0165785;-0.0107248
-0.00235069;-0.00981708;0.00912005
-0.0112422;-0.0152251;-0.00736459
-0.00208755;-0.0148736;-0.00626253
-0.00481722;0.0013203;-0.00129298
-0.00225004;0.0144485;0.00330959
-0.00191244;-0.00815752;0.00911638
-0.0150902;-0.0185293;-0.00369912
-0.00580454;0.0033739;-0.000237043
-0.00576151;-0.00982172;-0.0155183
-0.00122122;-0.0133084;-0.00410299
-0.00453681;0.000542373;0.00222266
-0.00383437;0.000292089;-0.000600924
-0.00545769;0.00649415;0.00400989
0.00234631;-0.00982632;-0.00310857
0.00234631;-0.00982632;-0.00310857
-0.00129804;0.00658141;-0.00282056
-0.00129219;0.00711929;-0.00275875
0.0022398;0.0036731;0.00593875
-0.00208716;0.00364885;-0.00109356
-0.00347825;0.00200844;-0.000157
-0.00402062;0.00305892;0.00765353
-0.00298148;-0.00059641;-0.00144273
-0.00275449;0.0011048;-0.000531382
0.0022398;0.0036731;0.00593875
-0.00450099;-0.01212;-0.00467645
-0.00937135;-0.0119507;0.00592662
-0.00873838;-0.00179967;-0.00505209
-0.00581723;-0.000451916;-0.0121794
-0.00642444;-0.00375471;-0.00864888
-0.000613558;0.0116892;-0.0128565
-0.0056251;0.0077579;0.0057162
0.000659047;0.00214713;0.00882081
0.00215696;-0.00872476;-0.00820238
0.00194439;0.0127733;0.0016249
-0.011909;-0.0102116;-0.00470135
0.00417992;0.0146713;0.0023689
0.00215696;-0.00872476;-0.00820238
-0.00248077;0.0182485;0.0169775
0.00194439;0.0127733;0.0016249
-0.00173932;0.00573502;0.00491074
-0.000983199;0.00953388;0.00258345
-0.005696;0.0047035;0.00183483
-0.00472608;0.00840525;0.0106015
-0.00506307;-0.0012014;-0.00765151
0.00151923;0.00155542;0.0028434
0.00410533;0.00448027;-0.00208752
-0.00232878;-0.00993218;0.00745045
-0.00636605;-0.0319191;-0.0121325
8.25913e-06;0.0170856;0.00467238
-0.00506307;-0.0012014;-0.00765151
0.00151923;0.00155542;0.0028434
-0.0072081;-0.00223336;-0.000431047
-0.00583529;0.00134892;-0.00654273
0.00796591;0.0180082;0.00624576
-0.00357016;0.000925057;-0.00934576
-0.00714054;-0.00425417;-0.00735768
0.00117524;-0.00448926;-0.000307386
-0.00141427;0.00161783;0.00904275
-0.00410697;-0.0154544;0.0058323
0.00236447;0.0030695;-0.0138525
0.00245781;0.00255399;-0.0148947
0.00340475;0.00310637;-0.0128271
0.000781453;-0.00664431;0.00312465
0.00236447;0.0030695;-0.0138525
0.00245781;0.00255399;-0.0148947
0.00340475;0.00310637;-0.0128271
0.0046196;0.0023551;-0.00313016
-0.00709262;-0.00265305;0.00292889
-0.00714064;-0.00191209;0.00328998
-0.00655305;-0.0019503;0.00859914
0.00308758;0.003465;0.0132132
0.00678809;0.00219627;-0.0241737
-0.00277071;0.0156858;0.0150268
-0.00358773;0.0121419;0.0173222
0.00678809;0.00219627;-0.0241737
0.00454203;0.00664623;0.00821938
-0.00806145;-0.0182144;-0.00249897
0.00142777;-0.0119914;-0.00575645
0.0094466;0.00492727;0.00541586
0.00454203;0.00664623;0.00821938
-0.000594266;-0.0052867;-0.00113506
-0.00806145;-0.0182144;-0.00249897
0.00412432;-0.00213846;0.000719559
0.00412432;-0.00213846;0.000719559
-0.0064202;-0.000589032;0.00329297
0.0111653;0.0173293;-0.00614604
0.00778672;-0.00108256;0.00635394
0.00830788;0.00485832;0.000725992
0.00231114;-0.000631171;-0.00579297
0.00231114;-0.000631171;-0.00579297
-0.00714567;-0.0188705;-0.0115858
-0.00449772;-0.00159887;-0.00398364
-0.00187017;0.00217527;-0.00288382
0.00830788;0.00485832;0.000725992
0.00658483;0.00346216;0.00152772
0.0017904;0.00934482;-0.000921444
0.00661052;0.00809105;0.00841382
-0.00520483;-0.0103745;0.0013866
-0.00290433;-0.00808526;-0.00100525
-0.00213778;-0.00114728;-0.00927607
-0.00693406;-0.00128898;-0.00318189
-0.00205323;0.00501015;0.00781964
-0.00586975;-0.01868;-0.00493469
-0.00282358;-0.00381743;-0.0159797
-0.00321332;-0.00471242;-0.0157748
-0.00169164;-0.00685277;-0.0174641
-0.00586975;-0.01868;-0.00493469
0.00161617;-0.00524806;-0.00344038
0.00201207;-0.00673602;0.000542841
-0.000370104;-0.000167332;0.00641403
0.00101317;-0.0071466;-0.00148122
-0.00723448;0.00343128;0.00797909
0.00245785;-0.00210684;-0.0169621
-0.00151899;0.00921541;-0.00404884
-0.00557493;-0.00153353;0.00334781
-0.0024195;0.00010189;-0.0139303
0.00245785;-0.00210684;-0.0169621
-0.00875166;0.00158763;0.0017658
-0.00664629;-0.000225175;0.00394269
-0.00474068;0.00673995;0.00504724
0.00274405;0.0193739;-0.00300649
-0.0023768;-0.00149716;-0.00654894
-0.00480803;-0.00439904;-0.00863088
-0.00525475;-0.00366343;-0.0124382
0.00542782;0.0156373;0.00278105
-0.00401638;-0.00167859;0.0111387
0.0026688;-0.00330839;0.000104327
0.00542782;0.0156373;0.00278105
-0.00372143;0.00727327;-0.00354757
0.00385128;0.0123891;0.00216137
0.00894689;0.0125076;0.00900153
0.00894689;0.0125076;0.00900153
-0.00489467;0.000474957;-0.00195446
-0.00511987;0.000722125;-0.00311745
-0.00511987;0.000722125;-0.00311745
-0.00489467;0.000474957;-0.00195446
0.0135907;0.00814595;-0.00987832
-0.000805864;-0.000304386;-0.010213
0.00894689;0.0125076;0.00900153
0.00261295;-0.00110453;0.00190856
0.00289844;-0.00268687;0.00205306
-0.000575321;-0.00477592;0.0101245
-0.00141207;0.0167105;0.00746818
0.0040657;0.00562207;0.0068477
-0.00237876;0.0122046;0.0188922
-0.000890818;0.00737616;0.00115027
-0.00574788;0.00402255;0.00176096
-0.00497285;0.0170682;0.00415103
-0.00570005;-0.00989418;-0.0111905
0.00720224;0.000790083;0.0099548
-0.000444538;0.00184994;0.0024376
0.00181275;0.013795;-0.00263858
0.00403192;-0.00848662;-0.00753748
0.00153792;0.01904;-0.00206361
0.00114209;0.00526313;-0.00354156
0.00174895;0.00554617;-0.0035471
-0.00133903;0.00948861;0.013439
0.016062;0.0102204;0.000612719
0.00289233;-0.00495339;0.00225229
0.00670421;0.0077147;-0.00310577
0.00731511;0.00745094;-0.00286248
0.00302671;0.00585627;-0.00302012
0.0042094;0.0101369;-0.0028295
-0.00613568;0.00426143;-0.00420623
0.00466701;0.00681738;0.00428363
0.00392002;0.00680378;0.00502535
0.016062;0.0102204;0.000612719
0.00373005;0.0119339;0.00258874
-0.00590169;-0.00971754;-0.00917771
0.00220207;0.0136605;-0.00482891
0.00237508;0.0133131;-0.00534
0.00266491;0.0136087;-0.00422466
0.00170664;0.00212173;0.00832633
0.00351808;0.00233087;0.00949502
0.00170664;0.00212173;0.00832633
0.00439276;-0.00184205;0.00557678
0.00351808;0.00233087;0.00949502
-0.00027475;-0.00341756;0.00423909
-0.00281753;-0.0106007;-0.00253099
-0.0011946;0.00259878;-0.0147909
0.00569449;-0.0001034;-0.0127444
-0.000384745;-0.00392986;-0.00176715
-0.00325158;0.00191559;0.00102633
-0.00299075;0.00469662;-0.0112162
-0.00126238;0.010278;-0.0075632
0.00170273;-0.00244523;-0.0150438
-0.00590997;-0.0031935;-0.0069291
-0.000384745;-0.00392986;-0.00176715
-0.00809471;-0.0166129;-0.00756343
-0.00415139;-1.91629e-05;-0.0057504
0.00291846;-0.00743515;-0.00771156
0.0025084;0.00527843;0.011353
0.00291846;-0.00743515;-0.00771156
0.00667083;-0.0106009;-0.00785047
0.00197324;0.00430333;0.0111513
0.0025084;0.00527843;0.011353
0.00647158;0.0162892;0.00923529
-0.00415139;-1.91629e-05;-0.0057504
-0.0079755;-0.0127714;-0.00868531
-0.00602126;-0.00448198;-0.00632698
-8.7822e-05;-0.016177;-0.00855877
-0.0101746;-0.0200213;-0.00651348
-0.000859505;-0.00518198;0.011131
-0.0101746;-0.0200213;-0.00651348
-8.7822e-05;-0.016177;-0.00855877
-0.0042188;-0.0069469;0.000499554
-0.0053718;-0.0193303;0.00752989
-0.00440104;-0.0175533;0.00903344
0.00294848;0.000328085;0.00404467
0.00294848;0.000328085;0.00404467
0.00294848;0.000328085;0.00404467
0.00294848;0.000328085;0.00404467
-0.00223097;-0.00717943;0.000464164
-0.00817657;-0.00913318;-0.0153027
-0.00241082;-0.018317;-0.00779334
9.74106e-06;-0.00559223;0.00830337
-0.00205143;0.00659013;0.00580352
-0.00668977;0.00704646;-0.000746934
-0.00813527;-0.00528024;0.000818978
0.00394062;0.00185843;-0.0143221
-0.00444452;-0.00848384;-0.000569789
-0.00319629;0.00813527;0.00718689
-0.00236219;0.00506331;-0.0110128
-0.00114673;0.00567901;-0.0120576
-9.28961e-05;-0.0085291;-0.00553919
-0.00637617;-0.0345913;-0.0132023
-0.000960359;0.00305093;0.025127
0.00394062;0.00185843;-0.0143221
-0.00902946;-0.0173931;-0.0218833
0.00135569;0.00509786;-0.0125024
-0.00510126;-0.00376133;-0.00891358
-0.00165486;0.000267503;-0.00827541
-0.00165486;0.000267503;-0.00827541
-0.0039342;-0.00405708;-0.00845253
-0.0019567;0.00279159;-0.0169419
-0.00493824;-0.00825145;-0.00613998
0.0134058;0.0119088;0.00076724
0.00052066;0.00141043;-0.00696166
0.00429008;0.00151901;0.0071906
0.000493978;0.0114664;-0.00128228
0.0134058;0.0119088;0.00076724
-0.000378281;-0.00466394;0.00241975
-7.79033e-05;0.00285642;-0.00769603
0.000175794;0.00293517;-0.00807885
-0.000827894;0.00290266;-0.0072744
-0.000378281;-0.00466394;0.00241975
0.000724322;0.00428279;-0.00859989
0.00429238;-0.00739476;-0.00895926
-0.00214555;0.00275648;-0.00899751
0.00446174;0.00514645;-0.000277739
0.00301064;0.00343444;-0.00358008
0.00229707;0.00369663;-0.00328495
0.00266556;0.0264552;0.00346576
0.00317146;0.0172903;-0.00399889
-0.00442755;0.00120788;-0.00863479
-0.005218;0.00237542;0.00186853
-0.00446564;3.30095e-05;-0.0205675
0.00211177;0.0111356;0.00358941
0.00292103;-0.00355051;0.00131821
0.00390328;0.000466923;0.00814359
0.00123596;0.00661567;0.00922123
0.00303569;-0.00542606;-0.00165505
0.00713574;0.00830397;0.00613521
0.00713574;0.00830397;0.00613521
0.00713574;0.00830397;0.00613521
0.00713574;0.00830397;0.00613521
-0.0044443;-0.0218537;-0.0119994
0.0100767;0.00523197;0.0069705
-0.00280994;-0.0123213;-0.00661744
-0.0085813;-0.00887774;0.0120296
-0.0064729;-0.00582858;-0.00604265
0.000574424;-0.000167137;-0.00509003
-0.00216507;-0.00149828;0.00231138
0.00218153;-0.00561903;0.000634492
-0.000773259;0.0052912;-0.00961674
-0.00448674;0.0117926;0.00112877
-0.00785064;0.00522371;0.00644287
-0.00448674;0.0117926;0.00112877
-0.00468829;-0.00341887;-0.000556923
-0.00343442;-0.000710839;0.00699489
-0.00343442;-0.000710839;0.00699489
-0.0024224;-0.000501189;0.0061943
-0.00297674;-0.00120385;0.00744942
-0.000953683;0.00495568;-0.00400944
-0.00110206;0.00308675;-0.00226572
-0.00505397;-0.00164449;-0.0113339
-0.00664813;-0.0125806;-0.0105471
-0.00584211;-0.0162429;5.01742e-05
-0.000315321;0.00200782;-0.00638093
-0.000763893;0.00130289;-0.00530988
-0.000695058;0.0103815;-0.0154833
-0.00348564;0.000210773;-0.00164594
-0.000240131;9.32011e-05;-0.00316962
-0.00672726;-0.0203289;-0.0210773
-0.00799388;-0.0143997;-0.0172775
-0.0100577;-0.0178924;-0.0189619
-0.000240131;9.32011e-05;-0.00316962
-0.00348564;0.000210773;-0.00164594
0.00100775;5.87944e-05;-0.00544147
-0.000673795;0.00687092;0.013962
-0.00592879;-0.0059435;0.0205417
0.00514439;0.0077891;0.0147235
0.00149364;0.00730443;-0.00108692
