x;y;z
-0.00378948;-0.00237719;0.0127756
-0.00133659;-0.00615812;-0.000358815
-6.17656e-05;-0.00244577;0.00126343
-0.000582965;-0.00175752;0.00565269
-0.000582965;-0.00175752;0.00565269
-6.17656e-05;-0.00244577;0.00126343
-0.00252517;-0.00321691;0.00126793
-0.00378948;-0.00237719;0.0127756
-0.00133659;-0.00615812;-0.000358815
0.000984241;0.00239298;0.000249398
-0.000958911;0.0115955;-0.00301276
-0.00178717;-0.0013771;0.00549884
-0.000685293;0.00226109;-0.0022387
0.00601909;0.00113633;-0.0113674
-0.00077925;0.00238332;0.015342
0.000705478;0.003145;-0.00597125
-0.00264442;-0.00468466;-0.0025135
0.00397127;0.00726842;-0.012727
0.00066688;0.00588293;0.00174055
-0.00203716;-0.00448616;0.00158883
0.00397127;0.00726842;-0.012727
-0.0011258;0.00308453;-0.00472833
0.0024003;-0.00547431;-0.00496807
-0.00260363;-0.00128985;0.0095509
0.00118752;-0.00655534;-0.0021256
0.00181166;-0.000796326;0.00653891
0.00145245;-0.00715419;-0.00236573
0.00219964;-0.0034658;-0.0010367
0.00128653;0.00555572;-0.00241616
0.00143646;0.0104511;-0.00383808
0.000147664;-0.00139166;0.00634429
0.000895364;-0.00678078;-0.00655266
-0.000569771;0.00197512;-0.00217099
-0.00124065;-0.0109585;-0.0020237
0.000881351;-0.00482713;-0.00155001
0.00285954;0.0105981;-0.00683081
-0.0010188;-0.00271057;0.000217811
-0.000586123;0.00498589;-0.0018003
-0.00219852;-0.00784057;0.00896643
-0.00219852;-0.00784057;0.00896643
-0.00270386;-0.0022365;0.00592517
-0.00283017;-0.00202369;0.00603085
-0.00180009;-0.0010065;0.00496853
-0.00184122;-0.0042997;0.00247246
-0.00157486;-0.00472406;0.00241542
-0.00122832;-0.000635499;0.00429269
0.000444123;-0.00404646;0.00433007
0.000233562;-0.00361054;0.00466879
-0.00180009;-0.0010065;0.00496853
0.000423231;-0.00604047;0.000462904
0.00323149;0.00240819;-0.00417553
0.00148913;-0.000558743;-0.00522941
-0.000211429;-0.000739233;-0.008687
9.30901e-05;-0.000411385;-0.00671856
-0.00413937;-0.00211961;0.00654381
-1.8661e-05;0.00431061;0.00185486
-0.00161322;-0.000750101;0.00996884
-0.00212458;-0.00882913;0.00229293
-0.00319916;0.000805599;-0.00235187
-0.000174055;-0.0055983;-0.00197076
-0.00564226;-0.00407188;0.00701615
-0.00212458;-0.00882913;0.00229293
-0.00291291;0.00428085;0.00195847
-0.00319916;0.000805599;-0.00235187
-0.0017597;0.000677621;0.00032074
-0.0033201;-0.00632484;0.000400242
0.00220064;0.00882757;-0.00897099
-0.00223994;-0.00124261;0.00357108
0.000693927;-0.00166351;-0.00523705
-0.00307807;-0.00237327;0.00336249
-0.00226497;-0.00355707;0.0115426
0.00105582;-0.00627676;0.00714976
0.00520303;-0.0124917;-0.0033244
-0.00542428;0.000176741;0.00789571
0.000693927;-0.00166351;-0.00523705
-0.00307807;-0.00237327;0.00336249
0.00235149;0.00846927;-0.0109903
0.00239222;0.00434765;-0.00945632
-0.00521717;0.00100773;0.00729397
-0.00211789;-0.00769427;0.00178792
0.00177279;-0.00331784;-0.00420939
-0.000997417;-0.00522538;0.0078294
-0.00102777;-0.00102249;0.00393825
0.000733834;-0.00648994;0.0060925
-0.0024649;-0.00501946;0.0111768
-0.00234023;-0.00524069;0.0109597
-0.00271696;-0.00454764;0.0115955
3.92772e-06;-0.00328843;0.00703296
-0.0024649;-0.00501946;0.0111768
-0.00234023;-0.00524069;0.0109597
-0.00271696;-0.00454764;0.0115955
-0.00208165;-0.00401;0.011055
0.00299285;0.0081317;-0.00804204
0.00282784;0.00835557;-0.00797089
0.00123826;0.00465925;-0.00202432
-0.00237351;-0.0013429;0.0133799
-0.00251307;-0.00542465;0.0086427
-0.00229013;0.00996434;0.00051484
-0.00353784;0.00594916;0.00974032
-0.00251307;-0.00542465;0.0086427
-0.00323754;-0.000917189;0.0128258
0.000545019;-0.00858174;0.00239995
-0.000586067;-0.00753053;0.00127789
-0.00324339;-0.00117329;0.0134551
-0.00323754;-0.000917189;0.0128258
-0.00268207;-0.00518902;0.00359693
0.000545019;-0.00858174;0.00239995
-0.00148532;-0.00452967;0.00949013
-0.00148532;-0.00452967;0.00949013
0.000848347;-0.00181018;0.00231477
