x;y;z
0.71154;0.687582;0.327192
0.490422;0.601829;0.498321
0.507385;0.486419;0.444031
0.640149;0.59642;0.5028
0.632599;0.590624;0.519917
0.472981;0.519187;0.435784
0.545694;0.626179;0.464255
0.700269;0.709159;0.368367
0.471021;0.6064;0.498569
0.532723;0.434729;0.521883
0.518791;0.234698;0.462572
0.536516;0.515026;0.367036
0.460998;0.424143;0.434991
0.48631;0.446441;0.812343
0.700653;0.549993;0.256456
0.522462;0.440894;0.606712
0.372026;0.583356;0.49367
0.361864;0.285762;0.69845
0.622953;0.412255;0.533481
0.517722;0.632469;0.491351
0.347168;0.247607;0.733275
0.477821;0.425649;0.550733
0.449571;0.556353;0.620382
0.421058;0.699679;0.325235
0.496033;0.609938;0.576789
0.69668;0.634434;0.60262
0.49611;0.610553;0.584967
0.482252;0.561259;0.567057
0.52725;0.341668;0.557986
0.544374;0.281407;0.572368
0.576806;0.536082;0.403217
0.31206;0.497277;0.559184
0.510081;0.441676;0.514493
0.508611;0.723632;0.571205
0.560279;0.669285;0.638761
0.531688;0.269653;0.626049
0.521202;0.572008;0.499607
0.586165;0.420826;0.582837
0.613955;0.723835;0.373774
0.613295;0.751052;0.401256
0.754339;0.547565;0.46297
0.632129;0.652586;0.397359
0.588464;0.568522;0.456303
0.515563;0.617819;0.519785
0.526297;0.6237;0.484476
0.604965;0.546831;0.487337
0.536055;0.691067;0.597556
0.580928;0.711409;0.560006
0.579175;0.576041;0.470287
0.512139;0.624326;0.569883
0.554452;0.455348;0.673074
0.482269;0.504535;0.616567
0.469626;0.459866;0.61145
0.484763;0.47558;0.611021
0.673561;0.480427;0.287301
0.656398;0.471787;0.580015
0.707693;0.616703;0.473984
0.584567;0.731768;0.498593
0.465052;0.463955;0.428943
0.492443;0.575182;0.554763
0.552468;0.66315;0.322471
0.564991;0.752721;0.537466
0.651053;0.433877;0.463167
0.474544;0.487736;0.422345
0.533468;0.479105;0.484538
0.415823;0.681108;0.463447
0.525828;0.340884;0.698309
0.703824;0.561571;0.545932
0.463025;0.484632;0.534033
0.585433;0.565449;0.387639
0.738226;0.674309;0.495897
0.620038;0.736511;0.573797
0.434634;0.735196;0.754098
0.580057;0.455696;0.261927
0.454323;0.510677;0.568798
0.556361;0.524618;0.39446
0.529524;0.28635;0.681328
0.391178;0.374998;0.594381
0.5965;0.509618;0.302065
0.400448;0.65864;0.388264
0.412862;0.540534;0.576162
0.626599;0.72515;0.457044
0.578573;0.582198;0.477868
0.606606;0.69378;0.572044
0.612275;0.673874;0.310725
0.616181;0.646856;0.309424
0.647064;0.6649;0.305278
0.661525;0.69383;0.508067
0.635365;0.690008;0.323128
0.622585;0.669744;0.335995
0.618114;0.689014;0.285923
0.752307;0.697598;0.484736
0.546858;0.350163;0.709177
0.564381;0.34852;0.698617
0.571843;0.410427;0.619772
0.743748;0.687139;0.459994
0.616857;0.741991;0.432472
0.567611;0.293113;0.441727
0.594662;0.387465;0.248414
0.666812;0.6923;0.336011
0.725406;0.63156;0.381592
0.549867;0.712573;0.595578
0.567508;0.717692;0.552738
0.668977;0.670197;0.340441
0.703127;0.62676;0.382659
0.604448;0.624866;0.35743
0.589693;0.709119;0.598733
0.641722;0.699255;0.442292
0.667243;0.677846;0.409151
0.548311;0.582871;0.576758
0.792847;0.603846;0.337232
0.813475;0.712057;0.416485
0.75255;0.614579;0.400202
0.550826;0.661399;0.415842
0.511248;0.644337;0.431187
0.291443;0.697282;0.64034
0.50672;0.459084;0.640978
0.508317;0.327528;0.58339
0.734439;0.649275;0.383849
0.707284;0.643967;0.38009
0.434597;0.578845;0.521019
0.610122;0.636033;0.309829
0.526919;0.644579;0.525933
0.556641;0.671698;0.473737
0.637137;0.560538;0.509072
0.575302;0.473281;0.635865
0.514292;0.490362;0.477054
0.593842;0.70831;0.612042
0.582912;0.550217;0.671783
0.570405;0.562356;0.653639
0.310357;0.468357;0.635942
0.549407;0.701562;0.605504
0.665044;0.792901;0.480891
0.622052;0.711957;0.456532
0.631297;0.712542;0.437819
0.598086;0.693758;0.513924
0.564031;0.404066;0.450376
0.61371;0.683132;0.299214
0.526336;0.421744;0.510984
0.451002;0.333234;0.524548
0.435148;0.551205;0.536924
0.610029;0.707937;0.310966
0.535635;0.435189;0.503883
0.519185;0.492581;0.356575
0.492832;0.362466;0.471543
0.614847;0.390342;0.501312
0.575544;0.595525;0.63699
0.343839;0.697973;0.482643
0.397989;0.385204;0.638169
0.58376;0.550647;0.345828
0.663654;0.384987;0.532256
0.65186;0.542515;0.427553
0.584168;0.515382;0.363867
0.548843;0.449867;0.485909
0.539406;0.464082;0.278879
0.757655;0.620416;0.330541
0.783405;0.600182;0.331408
0.486883;0.353775;0.705333
0.456753;0.469726;0.763145
0.407548;0.470285;0.76124
0.503227;0.33565;0.717916
0.781381;0.585219;0.360049
0.435731;0.492615;0.545469
0.768824;0.637689;0.340879
0.705129;0.666286;0.481965
0.665867;0.616496;0.493816
0.678063;0.564227;0.416515
0.486171;0.253536;0.600337
0.59832;0.598158;0.383069
0.603013;0.353388;0.235586
0.542331;0.297141;0.622053
0.524308;0.377446;0.491848
0.522689;0.307996;0.468861
0.552509;0.470769;0.672556
0.736078;0.582369;0.47883
0.633699;0.422792;0.565714
0.556755;0.206944;0.57589
0.608287;0.68349;0.512339
0.43895;0.714716;0.358139
0.600226;0.667274;0.500722
0.563121;0.646057;0.488396
0.692273;0.61539;0.449333
0.73778;0.693839;0.312935
0.699717;0.682508;0.532569
0.778592;0.651665;0.473939
0.756257;0.652529;0.435764
0.650788;0.565789;0.499364
0.5412;0.465669;0.569179
0.400273;0.29757;0.703854
0.680539;0.716091;0.440578
0.655258;0.713931;0.426531
0.746202;0.687106;0.292643
0.602984;0.421443;0.516033
0.493788;0.638786;0.583176
0.754522;0.595419;0.31218
0.81516;0.662965;0.489401
0.767177;0.632973;0.33823
0.681307;0.726609;0.484066
0.679332;0.698247;0.37981
0.662479;0.739248;0.440024
0.632846;0.7355;0.485105
0.685692;0.696153;0.384047
0.65543;0.702039;0.530056
0.563904;0.440922;0.677845
0.486049;0.541827;0.542602
0.65377;0.677514;0.414683
0.574815;0.656192;0.475624
0.611588;0.392578;0.210276
0.341137;0.532037;0.496086
0.470219;0.686283;0.50124
0.422101;0.557527;0.595706
0.496031;0.450853;0.603022
0.57067;0.662227;0.47529
0.474027;0.66727;0.574456
0.474714;0.460328;0.644543
0.564681;0.702264;0.52785
0.671163;0.437189;0.494673
0.539883;0.694367;0.547951
0.561294;0.739005;0.537194
0.675153;0.442328;0.52151
0.671219;0.443103;0.505859
0.521772;0.672221;0.262353
0.498598;0.476741;0.629383
0.470347;0.71639;0.574263
0.403522;0.566497;0.553546
0.555392;0.769446;0.391932
0.53133;0.68698;0.682097
0.757583;0.74116;0.535509
0.544218;0.724938;0.653388
0.529133;0.781025;0.42836
0.379184;0.74746;0.413454
0.49872;0.663385;0.395767
0.623519;0.662197;0.511999
0.707896;0.679606;0.419162
0.696605;0.671332;0.395614
0.690555;0.650968;0.418696
0.697615;0.667858;0.373589
0.65888;0.741231;0.442279
0.544436;0.420382;0.641622
0.461946;0.731427;0.591493
0.612946;0.737661;0.44218
0.497494;0.475176;0.451956
0.54603;0.376991;0.546966
0.629207;0.709213;0.568368
0.57386;0.673105;0.333358
