x;y;z
3.144922;-3.2329843;-10.622701
9.736045;8.389785;5.9016457
-10.851387;5.6030793;4.9763484
4.6397767;-9.97592;-14.642881
4.6397066;-9.975954;-14.643104
-10.851388;5.603079;4.976349
8.257694;11.315402;-1.8939493
3.1445854;-3.2326257;-10.622692
9.736045;8.389785;5.9016457
7.060666;15.6098995;1.1358819
-10.871348;-13.733483;10.033506
-2.979021;9.345518;11.902152
-15.788267;-7.913196;10.70594
5.1418233;10.593108;-12.374672
4.10386;-3.9065418;-9.962748
-5.1679864;14.863411;5.8485813
-13.5481825;9.3974085;4.324258
-16.230604;-5.097463;4.0318065
13.515786;-4.421299;-5.2323008
5.782335;12.174974;-3.7397566
-16.23063;-5.09726;4.032036
-8.182187;7.642773;11.671871
-1.6045325;17.4787;-4.0989633
12.886222;-3.446576;-7.4715114
11.994598;6.449354;2.7085578
-6.6356993;-20.002254;-3.3619065
11.331623;7.730976;-8.910345
8.512488;9.297737;-4.0298343
9.363977;10.12768;5.4715686
-5.8436384;15.781773;0.5146363
8.279996;5.9411173;-0.53473914
-3.4406412;-14.009021;10.31856
-12.9519;9.6055155;4.0321836
-4.5220017;16.833494;-3.9023945
8.004244;-7.8654175;-6.5398593
4.6002617;13.216695;6.906191
11.656503;4.611693;-3.0329087
7.737287;13.398874;-7.121365
3.8721666;4.782799;-7.3689337
3.8721666;4.782799;-7.3689337
-2.7737424;3.264129;-16.89709
-2.7060738;3.4032626;-16.838686
10.939982;0.26593426;-6.889984
12.169133;4.6502285;-8.932126
12.276895;3.8506126;-9.239129
10.131182;-2.6702874;-12.290818
-5.4679956;-12.605827;-9.598599
-5.438621;-12.7276;-9.484435
10.9399805;0.26593506;-6.8899555
10.857665;5.6768837;-7.3566256
10.99303;-5.196128;-10.279583
-0.23424114;17.894253;-3.6585996
-16.757639;-2.4094737;8.709671
-9.739041;14.227644;-0.8587612
5.3596315;15.82516;-4.994201
10.246602;-10.845169;-8.141736
0.9437144;-16.030172;-4.851049
1.0460377;5.9872174;-11.97224
-16.11772;-4.1485376;5.5892453
-8.002976;14.238063;-3.9923782
1.1241806;14.357715;1.7944647
1.0460377;5.9872174;-11.97224
14.090262;2.310573;-2.3085318
-16.117718;-4.148526;5.589223
1.2417438;16.98396;1.193366
-0.2836614;15.952561;4.703682
1.8631877;13.147215;2.361495
-5.975777;-4.3022046;-14.546783
-14.870059;7.142287;4.755473
-5.2082796;6.9525566;8.420601
-5.394993;-20.025126;-2.9052825
-5.260896;-19.557873;-2.954832
4.383434;-14.459593;-6.000777
-13.335128;-10.477379;13.018368
-14.870069;7.1422877;4.755464
-5.208058;6.9526343;8.420609
-16.55299;1.4485527;4.022824
-14.742;-9.83063;6.9241314
-8.617581;6.304432;5.580805
-6.6876793;8.766895;9.302273
-5.454776;16.191471;2.1191025
2.0763247;-1.5470484;-12.576284
7.0996323;0.21833993;-14.467911
0.37706843;-14.971478;-6.784307
0.48663577;3.150713;-13.563882
0.94506603;4.3726206;-12.870481
0.30451164;2.7876568;-13.81001
-5.8748083;-11.167305;-12.497001
0.48663577;3.150713;-13.563882
0.9450932;4.3726134;-12.870457
0.30459017;2.787807;-13.809863
-7.723958;-19.627115;-3.9923785
1.8560165;13.206621;-9.904763
1.7465061;13.209501;-9.9362335
4.546857;8.161974;-14.588684
-7.2969785;-19.582546;-4.3571205
8.486202;-1.4450471;-5.6942086
-14.760201;-5.0234275;12.420609
-10.453596;-5.281888;13.074984
8.486219;-1.4450673;-5.694204
1.4068625;-13.555546;-13.940542
-2.0982962;0.2228947;-15.518674
1.1416128;-0.107699886;-14.343621
3.3163764;-3.2528982;-10.608244
1.4068643;-13.555545;-13.940512
-6.9585156;8.967475;1.0287971
-2.098292;0.22287534;-15.518681
-0.715322;-2.9056485;-14.811632
-0.715322;-2.9056485;-14.811632
8.642853;-10.813253;-12.326925
-2.092978;0.28742573;-15.586675
-5.422141;-21.387774;-2.6502535
-4.9397225;-9.744969;-13.849103
10.082144;4.7305517;-4.9989552
10.082191;4.7305427;-4.9989743
-3.9178245;4.61844;13.73801
11.80461;7.243033;-1.1795917
-13.841496;-1.7846863;12.690245
-4.9397225;-9.744969;-13.849103
-1.1620857;-13.103904;-13.6009445
-13.373755;0.38533363;8.332646
3.2128367;9.122525;-7.645831
6.568354;12.822192;-0.942697
12.1848345;5.1964755;3.174027
10.330408;2.5778182;-12.187654
-2.8394296;7.7489667;-15.907475
4.9887505;13.649786;0.87935555
-0.19850251;-13.194804;-8.342737
6.925395;-7.727067;-15.932273
6.9972463;-9.134329;-16.328945
-8.842493;-11.815137;9.64274
-0.19851267;-13.194804;-8.342713
-6.8779073;-19.839565;-4.1522274
3.771538;-12.976494;-13.168776
-2.3584933;-12.475711;-10.235441
3.9629464;-7.024565;-11.927308
0.2248652;17.895939;-1.5349156
2.9801989;3.3401911;-11.375434
-14.936466;7.1013083;4.647741
-15.818413;-4.7599673;10.706831
-16.552494;-5.7517056;9.241261
2.9802306;3.3402278;-11.375349
-10.08627;14.125272;-0.23670745
-10.824962;6.658651;9.036595
-14.873399;-0.016740203;11.867204
-5.570732;16.375044;0.4421503
4.987403;-0.09378639;-17.022736
-8.991202;3.694959;12.186458
-15.584576;-4.12387;9.827705
-0.9445882;13.417312;8.4945135
4.8120227;5.0759864;-11.877161
-2.3240345;8.965494;-10.822583
-0.9445885;13.417311;8.494515
-12.610025;9.823956;-1.9072771
-11.861041;-6.594682;11.605518
2.5346088;-14.751897;-11.475608
2.5345984;-14.751852;-11.475576
-0.11121161;18.02502;-3.533102
-3.5463452;17.27971;-4.30587
-3.5463347;17.279556;-4.305921
-0.111162044;18.024996;-3.533156
8.884427;-0.38111386;-5.607312
-12.620076;-2.459943;13.457265
2.5346122;-14.751953;-11.475544
-5.7261734;-12.604564;-11.7015
-4.4538503;-5.744027;-16.065683
4.4154153;-13.562756;-7.6926155
-12.141655;7.9785776;8.943223
11.465864;3.4021904;-3.0312016
-0.48847958;5.8515296;11.114796
9.025908;14.556044;-0.73150057
-10.23945;4.584712;13.191577
-5.877924;2.6094973;14.011968
6.1529922;14.130196;-0.8317683
5.7740507;-5.1439886;-8.241204
2.379871;5.384089;-13.286797
-12.912062;-11.181554;5.404968
0.4528503;-2.7178361;-15.163611
-2.0515075;5.646445;13.282826
7.529509;-6.1290827;-13.143251
7.31728;-4.9409227;-13.230339
-0.08437076;-7.399632;-18.054522
2.7729964;-3.07508;-10.723759
-7.2315464;-17.910738;-6.6142287
-7.2337737;-17.568138;-6.625645
-7.681069;-18.005281;-6.1859922
3.7150412;-1.1529456;-14.760047
-3.6940916;16.446936;-3.9241261
-6.7931404;12.34767;6.4746118
-3.3950994;-14.029567;-8.13186
-3.8291755;-14.311611;-8.0599
2.7729964;-3.07508;-10.723759
1.5629629;12.913415;2.1179767
2.1698534;15.749555;-1.3675075
-5.3096776;-5.8795414;-13.990275
-5.3574495;-5.80992;-14.027349
-5.3431582;-6.0298157;-13.921318
-4.107466;-15.017005;-7.4083376
-2.58782;-14.255097;-11.240792
