x;y;z
0.4479744;-0.7004235;1.5868088
0.4574829;1.5374177;1.5441419
0.29084018;0.21486844;1.550212
1.7317187;-1.1002853;0.66744655
-0.19014685;0.5370584;1.1969405
1.4194332;0.33086908;0.5152803
0.63003576;1.225502;1.3604516
0.7206991;0.39824206;0.35481033
1.1926533;0.12902476;0.72893953
1.917585;-0.47709617;0.76728266
0.10394634;1.8098342;0.47185212
0.64817834;0.6435653;0.9084087
-0.43043128;-0.82760674;0.56855714
-0.05057719;0.961259;0.38610184
1.3044497;-0.20896704;0.6983753
1.1122309;0.08580701;0.8542699
0.3920682;1.2279913;0.6518786
0.8239877;0.26001135;1.1365371
0.16356005;0.95798796;1.8965911
0.8825424;1.4588704;0.2084716
1.0811917;1.4399638;0.07336446
1.2522508;1.7791145;-0.861692
0.6400614;-0.36594617;0.8168429
0.13909782;1.3770857;1.9687172
0.6211683;0.61646545;1.5678052
0.28845608;-0.41062483;1.1614058
1.3875965;0.30678454;1.1156788
-0.279439;0.6130098;0.94730103
0.95797366;0.37878045;1.2050343
0.36591277;0.9974036;0.8381368
0.37208292;0.1709332;1.4989852
1.2071004;0.19259502;0.4772867
0.47429875;0.24342258;1.1776001
0.8258583;0.503107;1.58493
1.1951886;0.67901987;1.1776774
0.58792;0.6906894;0.9934648
0.66001654;0.6329126;0.55895376
0.32902768;2.3708518;-0.42197108
-1.2712314;2.1429906;0.12438493
1.2812815;0.8591205;0.78003377
0.34717706;1.9083552;0.22225893
0.9356349;0.6399834;0.11540761
0.12073295;-0.6537591;1.1753596
0.8814045;0.76038474;0.58368146
1.1070468;1.105011;0.70739424
0.6573744;0.26163426;1.4793504
0.8489033;2.2928865;-1.2367531
1.2584245;0.592819;0.6867697
1.05663;1.5594337;0.037307523
0.20047708;1.5160205;0.15974164
0.32423276;2.3806698;-0.52195436
0.65350527;2.1949189;0.04605674
0.7347479;2.2026799;-0.38806945
0.07089646;0.4641057;0.9322157
0.4286513;1.5493758;0.5918976
0.629649;1.9070976;-0.5344691
0.33461788;0.750398;1.5669842
0.71564424;0.5449288;0.7530507
0.38638413;3.1137462;-0.74951434
1.8883282;2.251517;-1.1118324
0.81763285;2.0402505;-1.6581868
0.4926668;1.4516165;-1.2668995
0.58804107;-0.15088873;0.68691057
0.45903793;1.0270674;-1.1413475
0.8177486;0.4860108;0.6093701
0.62950116;0.54805535;0.70021385
0.3636228;1.4277691;-0.97631997
0.51009303;1.9665399;-0.40687054
1.1029557;-0.6867114;-0.3491081
0.7927816;2.143264;-0.29339802
-0.015416775;1.3620588;1.5034204
0.5666461;0.28633523;-1.7173127
0.8317005;0.18723734;1.3016467
1.2186033;1.2809991;0.57749844
0.6491823;1.76861;-0.05612064
0.018085096;1.0284642;0.78430855
1.030039;1.2677953;-0.5207678
0.2330014;-0.22409017;1.119126
0.14937846;-1.5755323;1.3787661
0.5835911;1.5197443;-0.056903727
0.28963646;1.2187433;-0.63276434
1.0448008;0.5769001;0.4182225
0.22723374;-0.25800708;2.7519927
-0.10204138;-0.09057091;0.8907028
0.69306874;1.5569693;-0.21757782
0.14006397;0.7635839;1.1073872
0.058305573;0.71690583;0.25848418
0.5059313;0.8988616;1.427638
0.33334997;0.9363825;-0.025453873
0.5194384;0.68059576;0.320466
0.14739178;1.6981016;0.09902876
0.19528995;0.8783733;0.45889097
0.5340003;2.2801735;0.29177675
0.4354104;1.6392322;-0.019482143
0.485221;0.39227998;0.850374
0.0172281;0.67041886;1.3023484
0.5976989;1.6884053;-0.52808183
0.29071346;2.0974717;-1.3308122
1.4269096;1.830565;-0.08443571
0.44313645;0.70310324;0.39855438
0.16454692;1.2556224;0.3238404
1.1795177;3.3463721;-2.780274
0.14322002;2.1694298;-0.2913885
0.72887194;1.041109;-0.39609903
0.5347425;1.640633;-0.84417534
1.3896625;0.2879152;0.6603918
0.68066734;0.8060677;-0.10662464
0.53709006;1.9525809;-0.06532354
0.15074618;-0.9118954;2.3227842
0.54245985;1.3520129;-0.22804123
0.6798005;1.235985;-0.98439515
0.2485243;0.43901998;-0.2538834
0.23682578;-0.3640323;-0.04337483
0.6165299;0.77055854;-0.8244914
1.7723175;1.3670428;-0.5894308
0.5262568;1.4032289;-0.22298825
0.45991245;0.6556767;-1.2919666
1.0207932;0.47241047;0.9814564
0.85414374;0.054026324;1.0724143
-0.13214238;1.4727657;0.75157267
1.7826247;2.0340817;0.0031573102
0.11820036;0.5945053;1.0399168
-1.0294477;-1.2529708;1.9501885
1.1821516;1.4879003;0.3962084
0.51637065;1.4262605;0.13399649
0.6309842;2.4150984;-0.07229782
0.4521548;1.3606652;0.38571626
-0.2118418;1.3894907;1.1096797
0.3387393;0.45503235;0.25745195
0.44844982;0.46251145;1.4785544
1.1848567;1.4951484;-0.23712504
0.5940296;0.9558652;0.9050206
0.41814902;0.9907027;0.7679267
0.8669131;1.621706;0.62288827
0.26857057;1.1790454;1.1852843
0.16021603;1.4971421;-0.11206896
0.23368691;1.5096734;-0.4580428
0.7749237;1.8592917;-0.22018427
-0.28878865;0.06875189;0.50322497
0.8230369;1.1784432;-0.51336557
1.4369373;3.6987674;-1.6533172
0.23246266;0.91103107;0.65932906
0.50296897;1.4978609;-0.5875458
0.87197286;1.5106413;0.12440344
0.6842872;2.4055884;-0.52186364
1.0092596;0.9500989;-0.713808
