x;y;z
-0.822943;0.0685407;-0.232482
-0.119826;-0.0801154;0.0899564
-0.418983;-0.0236796;-0.0511941
-0.916947;0.348002;0.0392398
-0.208291;-0.0520167;0.0135618
-0.122984;0.00248733;0.166829
-0.120076;-0.0748112;0.114709
-0.0383855;-0.0414533;0.180873
-0.225376;0.00997183;0.132581
-0.613316;0.21074;0.0764713
0.136027;-0.1084;0.225327
-0.10811;-0.0553956;0.142568
-0.559811;0.175438;-0.109838
0.0870608;-0.0889222;0.207421
-0.344261;0.0816803;0.105063
-0.267954;0.00632086;0.115934
0.0644057;-0.0926299;0.202338
-0.303945;-0.0147731;0.0733619
-0.339848;-0.0551719;-0.0624963
0.160661;-0.0989087;0.239761
0.186332;-0.0996366;0.251227
0.283085;-0.109111;0.281297
-0.363099;0.0602379;0.0688079
-0.296433;-0.06634;-0.0357265
-0.318325;-0.0440869;0.0188583
-0.557366;0.0476617;-0.0710077
-0.27742;-0.00685772;0.107841
-0.105505;-0.0654285;0.0951337
-0.277006;-0.0276082;0.087508
-0.0195791;-0.0771926;0.156269
-0.436504;-0.0174455;-0.0483318
-0.140363;0.0115888;0.165562
-0.315495;-0.0213973;0.0448279
-0.344378;-0.036718;0.0236606
-0.179027;-0.040295;0.12515
-0.13475;-0.0564854;0.131287
-0.00596123;-0.0605241;0.188655
0.279732;-0.123187;0.275988
0.226372;-0.117847;0.249864
-0.0109237;-0.0616021;0.189913
0.197791;-0.113422;0.251009
0.0768123;-0.0678574;0.223455
-0.733803;0.0754083;-0.16618
0.0100703;-0.0660979;0.195625
0.069435;-0.0858366;0.214765
-0.391335;-0.0163768;-0.00253211
0.312411;-0.119637;0.289751
-0.0718674;-0.0381331;0.175956
0.21398;-0.106587;0.259197
0.170607;-0.105711;0.242685
0.283925;-0.123996;0.278159
0.246588;-0.119514;0.26627
0.271223;-0.119616;0.275367
-0.145499;-0.0548883;0.0887471
0.107227;-0.101747;0.218545
0.258168;-0.115293;0.271735
-0.294269;-0.0518031;0.00677704
-0.0871048;-0.0483375;0.159491
0.294002;-0.127716;0.280117
0.295289;-0.112442;0.286154
0.271074;-0.101619;0.278267
0.265859;-0.100505;0.278049
-0.282855;0.0475238;0.0941405
0.259461;-0.0766877;0.275236
-0.0400341;-0.0540427;0.181353
-0.0637451;-0.0588295;0.165655
0.254351;-0.104284;0.274203
0.270362;-0.119748;0.274906
-0.116341;1.3594;0.186232
0.260899;-0.119786;0.271115
-0.130326;-0.0790797;0.0741339
0.195592;0.132698;0.262441
-0.37591;-0.00945213;0.0369268
0.09922;-0.0865424;0.221504
0.23334;-0.113243;0.263702
0.0123839;-0.0848705;0.170356
0.174226;-0.0863077;0.245265
-0.399732;0.0034992;-0.0173046
-1.37595;0.164857;-0.384516
0.211354;-0.108468;0.257252
0.208837;-0.0978497;0.25948
-0.0155643;-0.037693;0.192304
-0.874579;0.0116338;-0.661381
-0.344851;-0.00587571;-0.000373179
0.219409;-0.106562;0.261312
-0.156335;-0.0626864;0.0891445
0.074606;-0.0766707;0.208157
-0.226898;-0.0578837;0.0678481
0.155272;-0.0893478;0.24171
0.0346674;-0.0609653;0.196291
0.193916;-0.111575;0.247933
0.0622368;-0.0824038;0.201667
0.235961;-0.120344;0.260407
0.207816;-0.111322;0.254342
-0.140894;-0.0369663;0.129688
-0.253265;-0.0527821;0.0277172
0.252348;-0.110689;0.26968
0.301239;-0.118539;0.285707
0.23833;-0.109302;0.266998
0.0431789;-0.0719319;0.20196
0.11758;-0.0979738;0.223236
0.318286;-0.112656;0.293223
0.260023;-0.121501;0.271391
0.210677;-0.0946524;0.261433
0.266076;-0.108344;0.275745
-0.188173;0.0307456;0.141148
0.145569;-0.0825567;0.241178
0.241729;-0.116879;0.266852
-1.16655;0.0737228;-0.674411
0.212502;-0.104756;0.260334
0.256805;-0.0978917;0.274179
0.127024;-0.0570762;0.232153
-0.151486;0.231715;0.139147
0.209109;-0.0676621;0.261492
0.227072;-0.0878208;0.268959
0.217894;-0.107343;0.260556
0.253817;-0.0615931;0.273835
-0.186209;-0.0286048;0.125163
-0.33848;0.015377;0.067396
0.0426965;-0.0940336;0.183262
0.23952;-0.110857;0.267818
-0.151702;-0.0588932;0.0870024
-1.30757;0.0998847;-0.974106
0.135105;-0.0916104;0.230695
0.209672;-0.105387;0.255359
0.252913;-0.121785;0.267961
0.108028;-0.0966579;0.22449
-0.0259113;-0.087068;0.137169
0.00857121;-0.0525797;0.185944
-0.351222;-0.0344595;0.00364507
0.211287;-0.100728;0.259672
-0.0283902;-0.074976;0.166157
-0.0108496;-0.0798831;0.174956
0.118479;-0.0991732;0.220137
-0.0807882;-0.0800353;0.127262
0.20048;-0.108442;0.25385
0.251829;-0.113942;0.26848
0.253305;-0.11561;0.270597
-0.104435;-0.0236874;0.113999
0.222595;-0.0969474;0.261937
0.327116;-0.127029;0.292959
0.0259487;-0.0823843;0.180343
0.241143;-0.108346;0.267983
0.191378;-0.104188;0.25164
0.302947;-0.125451;0.284583
0.187507;-0.0667899;0.254944
-0.144362;0.0484451;0.165665
0.117117;-0.0692194;0.223674
0.100471;-0.0879073;0.219012
0.248476;-0.121075;0.266121
0.209702;-0.105689;0.256323
0.0965837;0.0673483;0.241473
0.342224;5.68371;0.271128
0.283532;-0.119283;0.279806
0.159006;-0.0914565;0.241979
0.226289;-0.109258;0.262675
-0.202672;-0.0362108;0.0681309
0.149936;-0.108448;0.226474
0.27051;-0.120499;0.275208
0.310482;-0.128527;0.286778
0.174749;-0.0853779;0.247348
-0.120326;-0.0668796;0.0468986
-0.484914;-0.0242014;-0.11265
0.18936;-0.0933396;0.25236
-0.39642;-0.0503061;-0.118923
0.241232;-0.122802;0.262528
0.296467;-0.121904;0.283858
0.0180872;-0.0858783;0.173513
-0.287103;-0.0381122;0.000459859
0.199103;-0.113418;0.249314
0.230702;-0.10956;0.263313
0.150342;-0.105128;0.23354
-0.159295;-0.0244596;0.125143
0.28651;-0.110245;0.280777
0.324268;-0.128293;0.290866
0.336551;-0.126767;0.295779
0.109101;0.232451;0.236574
-0.173112;-0.0297989;0.119823
0.312363;-0.134357;0.28533
0.29302;-0.125327;0.280641
-0.723599;-0.0140023;-0.790466
-0.817836;0.0282996;-0.222135
0.0227541;-0.0883697;0.1876
0.255497;-0.104888;0.270798
0.0952035;-0.0946701;0.218416
0.30512;-0.122577;0.286366
0.00904615;-0.0947111;0.172417
0.236972;-0.112735;0.265179
0.270578;-0.1187;0.275609
0.267095;-0.120047;0.273269
-0.585997;0.297323;0.0631447
0.243364;-0.109267;0.263664
0.355277;-0.132228;0.298902
-0.0299205;-0.0391686;0.190748
-0.123325;-0.0242537;0.144229
0.239909;-0.115473;0.265049
-0.0575896;-0.033116;0.169052
0.0430453;-0.0869542;0.175272
-0.203961;-0.0622567;0.0769294
-0.0484316;-0.0639607;0.175993
0.183744;-0.101909;0.249066
-0.066312;-0.0772815;0.143376
-0.801162;0.0197278;-0.356867
-0.30562;0.00191417;0.0990805
0.152358;-0.0910124;0.239857
0.0946287;-0.0926747;0.21698
0.275637;-0.114124;0.279038
0.0768298;-0.0990416;0.196142
0.0610336;-0.0648526;0.216781
0.18644;-0.112716;0.244201
-0.266386;-0.0507967;-0.0359379
0.250654;-0.115716;0.269721
0.82626;-0.0127478;-3.61447
-0.0471632;0.019587;0.142415
-0.0958989;-0.0300086;0.16283
-0.0142377;-0.0436928;0.191216
0.142961;-0.0707539;0.239948
0.271365;-0.105308;0.27668
-0.276858;-0.0535976;-0.0164149
-0.264525;-0.0675802;0.00798879
0.218082;-0.111229;0.258457
0.154873;-0.0934637;0.239744
0.261972;-0.108074;0.275621
-0.0581082;-0.0650537;0.16642
0.223769;-0.115099;0.259012
0.160712;-0.10356;0.235079
0.286953;-0.119429;0.281708
0.109237;-0.0905498;0.221959
0.168681;-0.0995797;0.24533
-0.15892;0.00806026;0.153745
-0.251424;-0.0379398;0.0831974
0.289558;-0.126084;0.280772
0.283254;-0.126072;0.278723
-0.206202;-0.070174;0.0472919
0.290456;-0.116883;0.283004
0.220031;-0.115432;0.257774
-0.597397;-0.0242685;-0.416605
-0.0980015;-0.0814813;0.0879908
0.133979;-0.0970177;0.228969
-0.212741;-0.0610054;0.0869781
0.215406;-0.112455;0.255958
0.296386;-0.128138;0.282084
0.0123603;0.04804;0.210718
0.219798;-0.113442;0.256194
-0.225931;-0.0479205;0.0575581
0.244313;-0.102469;0.269289
0.257667;-0.119529;0.270243
0.0202474;-0.0239429;0.203299
0.23973;-0.111443;0.268376
0.229165;-0.107152;0.264099
-0.503815;-0.0125483;-0.205851
0.262263;-0.118014;0.272392
-0.531432;0.0102112;-0.0885215
-0.0490487;-0.0780687;0.153989
-0.235421;-0.0618625;0.0447648
0.0659884;-0.0777522;0.209287
-0.444458;-0.0270308;-0.090161
-0.375242;0.071004;0.0555334
-0.721864;0.153125;-0.144752
-0.272318;-0.0280962;0.102882
-0.238178;-0.0664061;0.0500239
0.136636;-0.111246;0.221529
-0.096053;-0.0575079;0.118388
0.179131;-0.114937;0.241323
-0.0692698;-0.080499;0.145202
-0.40317;-0.0538323;-0.244011
0.20951;-0.0898148;0.259207
0.220984;-0.111931;0.257783
0.230904;-0.110888;0.263488
0.177341;-0.0605454;0.25158
0.294255;-0.13111;0.279566
0.25289;-0.112299;0.271349
-0.502794;-0.0224652;-0.310297
0.287979;-0.114673;0.282413
0.0532331;-0.0995876;0.189073
0.204729;-0.0969683;0.252908
0.309011;-0.12655;0.286645
0.0625331;-0.100906;0.18734
0.26393;-0.125199;0.270544
0.195177;-0.108025;0.250581
-0.339646;-0.0399114;0.0126077
0.254592;-0.111247;0.269387
-0.270745;-0.0516802;0.0444712
-0.153759;-0.0370973;0.127353
0.187471;-0.090096;0.248006
0.302196;-0.128097;0.28338
0.159626;-0.0746071;0.243464
0.290884;-0.126832;0.279752
0.141104;0.00280987;0.237855
0.264791;-0.114657;0.273846
0.00491764;0.175636;0.183768
0.103946;-0.0941528;0.219881
0.181675;-0.0937571;0.250145
0.239807;-0.11405;0.266542
0.261111;-0.119182;0.272095
0.262126;-0.121789;0.270999
0.316036;-0.126125;0.288397
0.249997;-0.113897;0.267243
0.231505;-0.119857;0.260397
0.285503;-0.116063;0.28046
-0.430799;-0.0211293;-0.115766
0.204019;-0.0961769;0.254879
-0.500398;0.0113895;-0.134085
0.273987;-0.114823;0.277996
0.264208;-0.115133;0.27346
0.267302;-0.118061;0.274164
0.28407;-0.126035;0.278362
0.334771;-0.127112;0.29491
0.304948;-0.132205;0.282901
0.293406;-0.128965;0.279553
0.267349;-0.118352;0.274982
0.256671;-0.125492;0.266765
0.225146;-0.106791;0.261021
0.289725;-0.121973;0.281536
0.318879;-0.107753;0.292244
0.307828;-0.131216;0.284884
0.312645;-0.130234;0.286532
-0.0889707;-0.0766491;0.130693
0.0269981;0.229839;0.21674
0.303889;-0.126365;0.282806
0.195093;-0.0651016;0.257589
-0.0655267;-0.0866472;0.111111
0.191141;-0.101697;0.252116
-0.654845;0.00480736;-0.135913
0.258066;-0.118275;0.271433
0.248413;-0.116447;0.268327
0.25309;-0.121328;0.267195
0.306596;-0.12949;0.284943
-0.0896742;-0.0620849;0.144606
-0.0296546;-0.0491993;0.16317
-0.0690384;-0.0607843;0.156298
0.142318;-0.0836421;0.238046
0.282925;-0.118092;0.27978
0.305299;-0.127016;0.28556
0.282593;-0.124009;0.278302
-0.149391;-0.0588428;0.0925384
0.234602;-0.103534;0.265736
-0.273783;-0.0437606;0.0480536
0.262932;-0.111192;0.275114
-0.509403;-0.0363121;-0.427208
0.0771565;-0.078759;0.212838
0.205572;-0.0781458;0.261497
0.207221;-0.0943788;0.259887
-0.354875;-0.0322481;-0.0101261
0.229821;-0.105371;0.264234
0.262896;-0.088626;0.275744
0.268939;-0.120731;0.274761
0.161295;-0.104749;0.236981
0.261371;-0.115365;0.273872
0.233682;-0.102789;0.266198
0.296576;-0.126458;0.281902
-0.539974;0.176212;0.0062881
-0.839108;0.00555027;-0.853875
-0.0319259;-0.0621782;0.168102
0.280727;-0.111567;0.277942
0.179949;-0.0841914;0.246115
0.0925031;-0.0591895;0.221811
0.255411;-0.122035;0.268332
0.283604;-0.103337;0.280611
0.277324;-0.114887;0.278706
0.310678;-0.132366;0.284869
0.233599;-0.115955;0.262545
0.226286;-0.111035;0.262055
0.134366;-0.105154;0.22329
0.247657;-0.119686;0.267254
-0.148556;-0.0767243;0.0719692
-0.411322;-0.0234056;-0.0942829
0.214983;-0.109744;0.258798
-0.284496;-0.064107;-0.240198
-0.549208;-0.0250743;-0.311872
-0.286974;-0.0096307;0.0819829
