x;y;z
0.0177728;-0.0129087;-0.0380776
0.0274816;-0.0241634;-0.00356598
-0.0124704;0.00102668;0.0160094
-0.01274;0.0671302;-0.00845604
0.0129417;0.00162365;0.00626868
-0.0301291;0.0232496;0.0148025
0.0147039;0.00347675;0.00625583
-0.0128546;-0.0195101;0.0354993
-0.0367805;-0.0113052;0.0256489
-0.0102203;0.0165843;-0.0398668
0.00536104;0.0112178;-0.0334609
0.000965391;0.00964127;-0.0290054
0.0212163;-0.0364074;-0.0117595
0.0140808;-0.0140464;0.00140155
-0.00342326;-0.0010196;-0.00376023
-0.0137976;-0.0209958;0.036752
-0.00550705;0.0332866;-0.0153121
0.00933178;-0.00155217;0.00963149
0.00554579;0.034364;-0.00420903
0.0121902;-0.000729484;0.0177904
-0.0313698;-0.0144772;0.0197879
-0.00924616;-0.00565364;0.00784548
0.00869321;-0.0451763;-0.0135511
0.00512196;-0.0120513;-0.002753
0.0104601;0.0206369;0.0232512
0.0217099;-0.116738;0.0432347
0.00322676;-0.0418747;-0.0212791
0.0145234;0.0129379;-0.00643224
-0.00703856;0.0219495;-0.00777595
-0.00731838;0.00751651;-0.00696606
0.00267044;-0.0251532;0.0170306
0.000765868;-0.0127702;-0.00663533
-0.0227164;-0.0167192;0.0457853
0.0216189;0.0189951;0.0109196
-0.0113965;-0.00439781;-0.0249617
0.0189814;0.0528908;-0.0132206
-0.000886146;0.00703794;0.000400433
-0.0276946;0.0132815;-0.00778138
-0.0389596;0.00295324;0.0266747
0.010487;0.0233466;0.0203603
0.00117252;-0.0334118;-0.014601
-0.0167551;0.0270248;0.03662
0.0280022;-0.012658;-0.0373907
0.00145774;0.00501016;0.00143067
0.00193612;0.0245715;-0.00342101
0.00719281;0.0474683;0.0213033
0.0237684;0.00503298;-0.0118161
-0.00191401;0.0043818;0.0279212
-0.00965492;0.0279565;0.0233566
-0.00238057;-0.0259256;-0.0107608
-0.012656;0.0196512;-0.00842445
0.0159995;0.0176008;-0.0454496
0.0182346;-0.0324907;0.00546879
-0.0413544;-0.0179731;0.0296955
0.00651692;0.008375;0.000304396
-0.00780536;-0.00595454;0.0138176
0.0124263;0.0203941;0.00613378
-0.0468087;-0.014156;-0.00271629
