x;y;z
0.00608915;0.00514173;0.0125741
0.00808391;0.00857603;0.00837943
0.00751116;0.00740464;0.00735514
-0.00284185;-0.00360373;-0.00136428
0.00851842;0.00820331;0.00730637
-0.00185632;-0.00223268;-0.000627775
0.00545715;0.00548782;0.00746895
-0.000349386;-0.000555466;0.000542836
-0.000882639;-0.00150056;-0.000172537
-0.00157982;-0.00221937;-0.00156264
0.00211938;0.00251942;0.00268896
0.00229713;0.00219995;0.00475378
0.00798516;0.00671246;0.00722507
0.00231688;0.00229313;0.000770455
0.000322118;-0.000528843;0.000250184
0.000940296;0.000549365;0.00273773
0.000547269;0.000735722;0.00262392
0.00318588;0.00266585;0.00480256
0.00751116;0.00756437;0.0129318
-0.000890539;-0.000781756;-0.00122934
-0.00125197;-0.00139407;-0.00181627
-0.00624677;-0.00615416;-0.0068499
0.00207988;0.00161426;0.00290032
0.00893317;0.00936139;0.0131269
0.00356114;0.00335803;0.0113385
0.00474614;0.00401028;0.00733888
0.0010746;0.00060261;0.00246134
0.0059509;0.00596703;0.00530657
0.00206013;0.00156102;0.00683487
0.00454864;0.00458266;0.00449365
0.00648415;0.00599365;0.00865582
-0.00277273;-0.00304466;0.00197358
0.00411414;0.00385055;0.00468875
0.00709641;0.00684557;0.00880215
0.00296863;0.00266585;0.00413596
0.00358089;0.00347783;0.00426603
0.000328043;0.00016334;0.00145331
-0.00184842;-0.00146063;-0.00370713
0.00070527;0.00114837;-0.00190569
-0.000704888;-0.000861624;6.30624e-06
-0.00114334;-0.000914869;-0.000774101
-0.00396366;-0.00422936;-0.0032584
0.00717541;0.00657934;0.0114035
-0.00091819;-0.00112785;0.000949298
-0.00129344;-0.00127427;-0.000286347
0.0062669;0.00602027;0.00704623
-0.00795121;-0.00789527;-0.00812944
-0.00118284;-0.00127427;-0.000725326
-0.002751;-0.00276513;-0.00282592
-0.000999165;-0.000848313;-0.00134315
-0.0034067;-0.00315115;-0.00394776
-0.000939915;-0.000648644;-0.0018179
-0.00321118;-0.00291155;-0.00383557
0.0055954;0.00544789;0.00452617
0.00104497;0.00129479;0.00169719
-0.00367926;-0.00347062;-0.00413798
0.00662241;0.0067657;0.0102166
0.000707245;0.000775655;0.00137202
-0.00184842;-0.00143401;-0.00276739
-0.00743178;-0.00733353;-0.00770022
-0.00541529;-0.00526763;-0.00608087
-0.00736858;-0.00736016;-0.00734903
0.000879071;0.00016334;0.00192481
-0.00647192;-0.00659476;-0.00677511
-0.00183262;-0.00192652;0.000737938
0.00107262;0.000868834;0.00119318
-0.0062922;-0.00620608;-0.00654099
-0.00398341;-0.00375016;-0.00475743
-0.0065529;-0.00678644;-0.00678974
-0.00209332;-0.00179341;-0.0035104
0.00624715;0.0064063;0.00953378
-0.0065529;-0.00697413;-0.00726774
0.00439064;0.00409015;0.00720882
-0.000303961;-0.000435665;0.000494061
-0.00252387;-0.00241904;-0.00285356
0.00239588;0.00258598;0.00350188
-0.000801664;-0.000795068;-0.0025853
