x;y;z
0.0478854;-0.000722337;0.00352677
0.0252393;-0.0814149;0.00938662
0.0370002;-0.0324666;0.00346434
0.0267326;0.134169;-0.0090484
0.0273629;-0.065187;0.00169028
0.00868951;0.0595007;-0.00369929
0.0216865;-0.0431626;0.00594134
0.00974456;0.0362646;-0.0014239
0.014624;0.0642829;-0.00552315
0.0261252;0.115469;-0.00839968
0.0025162;-0.0333776;0.00491588
0.0164573;-0.0038703;0.00327552
0.0395357;-0.00877784;-0.0063214
0.00344936;-0.0211313;-0.000886806
0.0194136;0.0706651;-0.00881641
0.0217652;0.0529407;-0.00331355
0.00513936;-0.009555;0.00480025
0.0272188;0.0212662;6.02971e-05
0.0382496;-0.0626171;0.0121181
-0.00708414;-0.00153302;-0.000385754
-0.00899023;0.00912717;-0.00261234
-0.0270178;0.02942;-0.002828
0.0213639;0.0277016;-0.00318663
0.0395945;-0.0817785;0.015033
0.0335754;-0.0154309;0.0115918
0.0362368;0.00852099;0.000291608
0.0200339;0.0436416;-0.00298702
0.0212144;-0.0443246;0.00293431
0.0253221;0.0249682;0.00114102
0.0128285;-0.0405974;0.00223836
0.0379037;-0.0151707;0.00225824
0.00999666;0.0611215;-1.00275e-05
0.0286956;0.00635168;0.000778685
0.0358381;-0.0259632;0.00397231
0.0196876;0.00493022;0.000793664
0.0190993;-0.00619274;0.00130521
0.00680232;0.0197106;-0.00222567
-0.0194364;-0.0172573;-0.000190142
-0.00898902;-0.0352422;0.000730139
0.00413677;0.0280276;-0.00204897
-0.00918571;-0.0107027;0.0022958
-0.00283282;0.0651049;-0.0043349
0.0473233;-0.00315598;0.00170452
0.00525792;0.0243757;0.000577478
0.000149535;0.0205012;0.000494113
0.0332375;-0.0180228;0.00232237
-0.0324664;0.0387387;-0.00284704
0.0079318;0.0465613;-0.0022987
-0.0137946;0.0119071;-0.00133483
-0.00683913;-0.000606916;0.000224018
-0.0211968;-0.00337197;0.000273932
-0.0154275;-0.0217399;0.000718641
-0.0204431;-0.00189663;7.50902e-05
0.0216241;-0.0322252;0.000878469
0.00186228;-0.0155038;0.00325206
-0.0184903;0.0101455;-0.0006176
0.0346017;-0.0442894;0.00984064
0.0125177;0.0206003;0.000521729
-0.0201339;-0.0236322;0.0015359
-0.0296677;0.0444172;-0.00323083
-0.0213458;0.0359731;-0.00317268
-0.0220598;0.065063;-0.00443956
0.0202601;0.0424172;-0.00366456
-0.0242016;0.0367981;-0.00390309
0.00854583;0.0450811;0.000802197
0.0127312;0.0243314;-0.00171716
-0.0200332;0.054359;-0.0035685
-0.0216252;0.00538745;-0.000466764
0.000699869;0.107289;-0.00772766
-0.0178748;-0.00827417;-0.000483461
0.0236825;-0.0693902;0.0100397
-0.0190308;0.0629665;-0.00725582
0.0336963;0.00718259;0.00372989
-0.0014043;0.00328499;-0.000116415
-0.0154934;-0.000660488;5.36831e-05
0.0098818;-0.0266466;0.00452635
-0.00727866;0.00894696;-0.00355605
0.0322877;-0.0145415;0.00193198
0.0628831;0.0248724;-0.00998367
