x;y;z
0.554772;1.13706;0.548497
0.417998;0.617901;0.784286
0.567923;0.848792;0.700792
0.978716;1.01884;0.0954336
0.416468;0.777962;0.682616
0.620822;0.775171;0.248776
0.462954;0.658195;0.686957
0.637109;0.64619;0.385574
0.67467;0.796298;0.379093
0.980823;0.953456;0.208395
0.522858;0.379166;0.640919
0.581331;0.662107;0.543502
1.05352;0.659189;0.642282
0.565035;0.439864;0.612474
0.767314;0.826969;0.313251
0.787644;0.7468;0.387184
0.494548;0.550394;0.603264
0.683358;0.817408;0.461528
0.558046;0.745829;0.839153
0.410318;0.511171;0.445109
0.368353;0.499671;0.411273
0.353841;0.365292;0.258113
0.590887;0.923163;0.40513
0.564644;0.646376;0.905166
0.541748;0.835158;0.687804
0.503734;1.02105;0.534674
0.664735;0.865893;0.462388
0.50202;0.600919;0.729283
0.775536;0.696533;0.493658
0.415657;0.610277;0.603672
0.706767;0.789913;0.693499
0.701348;0.743251;0.276774
0.683137;0.788718;0.628234
0.717381;0.78731;0.660767
0.604175;0.753703;0.467047
0.501031;0.73886;0.549358
0.611113;0.60785;0.49653
0.440144;0.178382;0.490312
0.49533;0.2023;0.71507
0.567929;0.671375;0.42717
0.453921;0.376288;0.574875
0.703724;0.524301;0.329202
0.976937;0.923661;0.601948
0.563743;0.605074;0.413846
0.596232;0.529908;0.524814
0.53468;0.893817;0.587346
0.386115;0.246507;0.271452
0.634755;0.704782;0.363663
0.369782;0.451919;0.415139
0.536186;0.392322;0.558041
0.39822;0.252284;0.492351
0.347654;0.349172;0.508217
0.34528;0.333465;0.414262
0.576276;0.682995;0.657516
0.535537;0.418628;0.606958
0.393909;0.355182;0.354131
0.515205;0.760556;0.731786
0.62173;0.675524;0.519077
0.35143;0.236717;0.48711
0.326866;0.397311;0.168696
0.365594;0.409608;0.153947
0.562415;0.303228;0.215202
0.709716;0.796592;0.413556
0.590748;0.327978;0.184927
0.689363;0.558661;0.410719
0.694712;0.613051;0.514995
0.605721;0.28829;0.309044
0.361597;0.294423;0.435625
0.703748;0.867865;-0.048337
0.356264;0.338997;0.451418
0.469997;0.62644;0.784015
0.534606;0.547609;-0.0308558
0.746617;0.827955;0.534506
0.425515;0.584208;0.457581
0.418162;0.370986;0.457844
0.482021;0.565061;0.621948
0.313237;0.600896;0.323853
0.530853;0.919565;0.551903
0.966294;1.22674;0.495555
0.43963;0.408032;0.45541
0.621653;0.338047;0.341074
0.519693;0.678134;0.394922
0.758945;1.08882;0.913168
0.890354;0.648869;0.647298
0.463707;0.399844;0.368608
0.554459;0.63951;0.669112
0.598912;0.446613;0.526291
0.609506;0.647669;0.717059
0.57161;0.4245;0.41662
0.395868;0.652361;0.451749
0.500131;0.352036;0.567788
0.532969;0.510604;0.589216
0.345418;0.313706;0.574121
0.463904;0.396709;0.484775
0.543825;0.733534;0.524122
0.607083;0.658717;0.747589
0.459338;0.334294;0.368286
0.543088;0.206546;0.295961
0.339606;0.430977;0.35963
0.564464;0.540608;0.501223
0.585709;0.404544;0.574728
0.390367;0.303554;0.08622
0.488677;0.250524;0.491025
0.523818;0.418761;0.318777
0.476215;0.31707;0.314345
0.579709;0.832829;0.282741
0.57514;0.486677;0.351689
0.404635;0.332941;0.485812
0.75959;1.2728;0.727691
0.597171;0.373498;0.381058
0.503414;0.374418;0.246358
0.64545;0.496259;0.338323
0.874878;0.667682;0.323043
0.581361;0.423859;0.213707
0.40737;0.494268;0.193597
0.514763;0.333404;0.436356
0.505438;0.358279;0.134401
0.568827;0.773047;0.463286
0.711435;0.809029;0.442274
0.499917;0.407494;0.846232
0.281105;0.47281;0.366824
0.500275;0.71327;0.651313
0.975113;1.2071;0.759217
0.344624;0.597782;0.425224
0.32815;0.379191;0.612021
0.380475;0.321958;0.508548
0.670756;0.411584;0.535198
0.461451;0.519793;0.742554
0.485352;0.681702;0.412853
0.664534;0.758021;0.711183
0.401053;0.474654;0.327848
0.495138;0.631939;0.560701
