x;y;z
2.7281485;6.0771832;3.2038958
3.9651031;6.548792;1.6622044
2.9759343;6.307691;2.7346272
3.16105;4.2841744;3.0226674
3.993859;6.455318;2.1111693
3.473882;4.0113516;2.657433
3.7421486;6.26789;1.7937722
3.8518965;3.9719663;2.3059103
3.350584;4.053316;2.7346852
3.0991895;4.292818;3.0053377
5.931827;4.7110023;0.18775351
3.681066;4.7819953;2.0945175
3.430339;6.2278757;3.2696476
5.195176;5.075391;1.2707626
3.1902404;4.368243;2.952104
3.2032664;4.384052;2.7888153
5.404407;4.883551;0.787855
3.1941535;4.823215;2.7874978
3.2766094;6.9700103;2.3064897
5.011488;2.6281488;0.08018566
5.518972;2.1185367;0.524775
6.830954;1.3083357;0.10675344
3.3994205;4.9609385;2.9961948
3.382361;7.0367427;2.1818714
3.1892161;6.410365;2.4090884
2.913053;5.779705;3.1739213
3.3304722;4.2989655;2.5897477
4.2187047;6.3303413;2.3132288
3.1634135;4.815643;2.6917174
4.3431697;5.8965745;1.7542526
3.2318213;6.207009;2.9258344
3.4630713;4.0177402;2.644689
3.2395062;5.5505557;2.7072065
3.1722076;5.897152;2.524571
3.6786354;4.5271554;2.1540172
3.7888052;4.6183057;2.0681367
4.169799;4.2222004;1.9142659
7.5075846;3.217674;-0.87029916
7.156991;3.6442707;-0.1953641
4.1146665;4.0013356;1.943732
6.316188;4.272498;-0.0731382
4.4970393;3.664647;2.141931
3.234749;6.2056723;3.260669
4.0112777;3.940527;1.9976029
4.3844776;3.9825118;1.5932103
2.8792856;6.0842595;2.7532318
7.7348194;1.7033256;-0.02858647
3.680941;4.0587373;2.418987
5.8663855;1.6969455;0.2569661
6.20318;4.459208;0.35836497
7.6938634;2.9817574;-0.61879694
6.3000183;3.2127147;-1.1865218
7.0834517;2.244369;-0.58362645
4.3514113;6.069274;2.34302
5.559996;4.6820436;0.67644185
7.2170486;2.259734;0.06384766
3.3282795;6.6165323;2.3060286
3.800884;4.230312;2.206369
7.598893;2.6948223;-1.2916203
6.9502916;1.2882868;0.43255445
7.1629643;1.8283745;0.71819115
7.6886744;1.9773431;1.0605596
3.1769025;4.731348;3.000744
7.4090595;2.1561942;0.5093702
4.0338364;4.076216;2.3815005
4.0613265;4.353823;2.1981068
7.5992565;2.1793127;1.0843332
7.039539;2.441424;-0.6286428
5.342991;3.065949;2.5915468
6.565525;2.0383694;-0.7383898
3.8575115;6.667612;1.7331576
5.888405;2.493771;2.1641073
3.018605;5.1271896;2.7550502
4.739287;3.0793817;0.8451053
6.4968715;2.5651991;-0.46820667
4.5342913;5.738643;1.6682293
6.0821567;1.5510464;0.830283
3.0281239;5.923205;2.9568594
2.749191;6.130979;3.4486814
6.3652616;2.659601;0.017216465
7.373875;2.4502883;1.2456143
3.908946;3.895096;2.1361609
2.677104;6.765522;3.2589777
3.8259773;6.3790965;2.9919808
6.7710733;2.4027724;0.38477027
4.087142;6.2258506;2.2760875
5.090619;4.4782157;1.4134704
3.572232;6.279933;2.030605
6.210978;3.2056205;1.1846633
4.857664;3.0496426;1.3620905
6.7980447;4.3226733;-0.15283585
5.1762853;4.812594;1.1959462
6.1307664;3.217736;-1.3751072
6.3903537;3.106418;-0.14997013
3.5936973;4.940873;2.5588498
3.932331;6.579884;2.578386
7.0788236;2.7273638;0.1721697
7.720998;2.1535554;0.6659571
6.096068;1.4459177;-0.0933458
4.8373227;4.169424;1.5258774
5.862463;4.647853;0.64666706
7.5250883;1.5230496;0.5367051
7.461819;3.9042296;-0.27256066
6.331127;2.4099314;1.1957691
7.3794594;2.177418;0.59988046
3.429675;4.279808;2.79167
5.9029636;2.7008085;1.4300134
6.4492636;2.8426144;-0.564558
2.685472;6.3620276;3.3683107
6.5386486;2.687651;0.61315304
7.1113153;1.8803698;1.3126571
6.002073;2.730846;1.7912208
5.2989697;3.1727614;2.5177863
6.234843;2.1385076;1.8782948
6.4106517;1.5558101;1.1080341
6.484619;2.6743844;0.53819937
6.4284487;2.1896389;1.7065469
3.3664465;4.6903048;2.6210885
