x;y
0.0189708;-0.405773
-0.195037;-0.398928
-0.0729793;-0.396808
-0.0678543;-0.398392
0.0576329;0.609065
-0.0490176;0.604758
-0.105952;0.600483
0.0419488;-0.405572
-0.14851;-0.402036
0.313775;0.592939
-0.106566;-0.396227
0.116385;-0.392184
0.244912;-0.400307
-0.345585;0.607225
-0.024159;0.599602
-0.243325;-0.39588
-0.385401;0.604586
0.122733;0.604649
0.409295;-0.401522
0.331951;-0.407694
-0.0368852;-0.395251
0.195333;-0.40353
-0.398273;-0.394124
0.512146;-0.40978
-0.00308316;0.595882
-0.093342;0.596478
0.164817;0.594422
-0.101203;-0.399133
0.172392;-0.399302
-0.053637;0.5987
0.197182;-0.406471
-0.127759;0.604147
-0.0592587;0.602067
0.518765;-0.402924
0.563842;0.598686
0.334614;0.591838
-0.0427501;0.602076
-0.0490398;-0.403718
0.239837;0.59225
0.0709369;0.598593
-0.0728294;0.602336
-0.0890373;-0.400795
-0.0768467;0.596303
-0.0578974;-0.398737
-0.159068;-0.396356
0.455663;0.588243
-0.127095;-0.401244
0.0318294;-0.394259
0.240111;0.594275
-0.0631345;0.597806
-0.427372;0.615409
-0.102494;-0.388776
0.477297;-0.404698
-0.170323;-0.398173
-0.119405;-0.397196
0.529534;-0.407424
0.0707636;-0.403545
-0.0854722;-0.399856
-0.440678;-0.387884
-0.120158;-0.402219
0.00833262;-0.405952
-0.00241196;0.601286
-0.520432;0.611493
0.190202;-0.398388
0.294452;-0.399271
0.123787;0.606738
-0.249529;0.617317
0.105623;-0.401744
0.0530452;-0.403573
-0.187044;0.597211
0.197129;0.595528
-0.490332;0.609955
0.0838653;-0.405231
0.2023;-0.400609
0.245593;0.594829
-0.160916;0.599563
-0.0549223;0.596462
0.254582;-0.400857
-0.101864;-0.402819
0.34645;-0.400449
-0.0548959;-0.395372
0.0149792;-0.402381
-0.0792219;0.600034
-0.0977703;-0.393748
-0.0843478;-0.388935
-0.0710388;0.602086
0.0995686;-0.396939
-0.0184491;-0.398877
0.0792136;-0.401583
-0.287467;0.613019
-0.485167;0.620649
0.182301;-0.3992
0.408504;-0.411441
0.239501;-0.40534
-0.0967234;-0.402356
-0.0641465;0.603238
0.245839;0.597602
-0.054019;0.599161
-0.0912209;-0.406902
-0.00593388;0.600746
0.443477;0.590199
0.183166;-0.405498
-0.218892;0.61874
-0.115503;-0.40324
-0.492471;-0.390646
0.273219;-0.410565
0.182737;-0.404895
0.276828;0.605296
0.0480299;0.602575
0.400505;0.589846
-0.108294;-0.400039
-0.125998;0.607669
-0.534515;0.614055
-0.0804742;-0.401555
-0.0528914;0.606267
-0.304393;0.60251
0.226996;0.593141
-0.126027;0.600209
0.26635;0.591684
0.0345504;-0.396637
-0.590481;0.616028
0.439726;0.592441
0.355776;-0.4008
-0.159859;-0.39713
-0.0596705;0.599399
0.298514;0.588711
-0.0525719;0.611472
-0.0312815;0.600551
-0.0193391;0.60795
-0.300586;0.617492
0.214351;-0.408742
0.0960848;0.60384
-0.0369086;0.598575
-0.0575558;0.60489
-0.100428;-0.402832
-0.240205;0.602668
-0.0337855;0.598752
-0.0281897;-0.401542
0.256842;-0.398568
-0.0618797;0.597821
0.386217;0.600716
0.199908;0.59304
-0.35109;0.604112
0.429174;0.588097
0.141001;0.595594
-0.162734;0.601374
-0.064275;-0.400927
-0.168318;0.606467
-0.389028;-0.39767
0.238777;-0.391796
-0.123046;0.599478
-0.0575444;0.598208
0.238911;0.600978
-0.0413708;-0.388573
-0.107368;-0.401209
-0.0154799;0.599054
-0.0590949;-0.394877
-0.121867;-0.398841
-0.996587;0.625304
-0.206229;0.616171
-0.435419;0.616834
-0.0385408;0.597931
0.206949;0.599431
-0.13774;-0.397771
-0.0512548;-0.393808
-0.0864305;-0.39974
0.509408;0.598603
-0.184127;0.598935
-0.151788;-0.398345
-0.0986661;-0.402917
-0.0147509;0.603135
0.219901;-0.405273
-0.0597558;-0.404067
0.29981;-0.409698
0.307591;0.59263
