x;y;z
-0.00417766;0.00617895;0.414422
-0.207167;-0.201648;0.399736
-0.13179;-0.0810545;0.402454
0.147255;-0.0746547;0.402763
0.333069;0.0872846;-0.599512
-0.146278;-0.020574;-0.598142
-0.0639701;-0.0863333;-0.59788
-0.258987;0.0342275;0.414872
0.0946224;-0.160651;0.403761
-0.14363;0.341314;-0.57308
-0.085166;-0.121332;0.401188
0.0270507;0.111337;0.403635
-0.0032235;0.228464;0.416179
-0.160379;-0.321409;-0.610415
-0.198583;0.0010983;-0.592826
-0.453081;-0.255609;0.397894
-0.273546;-0.353724;-0.610678
0.29007;0.144434;-0.593804
0.247411;0.397612;0.422571
-0.234222;0.321948;0.427417
-0.0416308;-0.0487129;0.402805
0.151039;0.187742;0.417018
-0.191499;-0.402906;0.387945
0.156799;0.501504;0.43309
-0.300213;0.0242754;-0.588058
-0.229584;-0.0687183;-0.590852
-0.275143;0.192114;-0.58019
-0.146301;-0.110537;0.404238
0.261202;0.164073;0.412838
-0.268359;-0.0252348;-0.592522
-0.235713;0.188787;0.420477
-0.153447;-0.102826;-0.599326
-0.181121;-0.0318395;-0.596142
0.349513;0.505305;0.427221
0.339664;0.586858;-0.572635
-0.238832;0.361256;-0.572033
0.231441;-0.0194542;-0.597007
-0.267594;-0.0579334;0.410048
-0.300977;0.264124;-0.574927
-0.194088;0.0937081;-0.588542
-0.0814163;-0.0505671;-0.597967
-0.249411;-0.0953183;0.405077
-0.286513;-0.0496671;-0.590463
0.165704;-0.0661571;0.403217
-0.206041;-0.163735;0.398404
-0.253257;0.481899;-0.564618
-0.298701;-0.135076;0.40444
0.0893223;0.0164631;0.40547
-0.14442;0.2618;-0.57799
-0.292628;-0.0343299;-0.59196
-0.000535298;-0.404318;-0.620836
-0.24299;-0.113229;0.395642
0.266827;0.467014;0.427837
-0.230566;-0.180191;0.399948
-0.200016;-0.128377;0.400996
0.214896;0.518267;0.431405
0.150594;0.0577621;0.413306
0.164235;-0.094845;0.403
-0.126651;-0.446576;0.379393
0.197956;-0.133978;0.403099
0.138246;-0.00696671;0.412273
0.155541;0.0234757;-0.59401
-0.201228;-0.49209;-0.621426
0.220889;0.178597;0.412864
0.273774;0.28752;0.416549
0.32928;0.15963;-0.597051
0.338009;-0.226296;-0.617184
-0.202872;0.09514;0.413582
-0.160277;0.0452882;0.413553
-0.178374;-0.167236;-0.593258
-0.23241;0.225268;-0.580537
-0.124634;-0.467961;-0.618998
0.0958896;0.0777223;0.413766
-0.125584;0.19221;0.415463
-0.180922;0.269764;-0.578721
-0.255656;-0.136097;-0.596549
-0.214598;-0.0293671;-0.589695
0.205082;0.246238;0.415726
-0.264068;-0.109235;0.407207
-0.0355605;0.333941;0.421476
-0.285597;-0.0715197;0.402677
-0.204698;0.00326211;0.409844
-0.157712;-0.0545861;-0.593706
0.292413;-0.11222;0.396469
0.0575764;-0.093496;0.395157
-0.121177;-0.046539;-0.596318
0.22317;0.0875096;0.406369
-0.149206;-0.0286643;0.406364
0.0988592;0.0703984;0.410703
-0.000792933;-0.262622;-0.612888
0.349429;-0.458587;-0.630769
-0.104712;0.173673;0.412856
-0.274381;0.402187;0.433096
0.133184;0.23008;0.42035
-0.247864;-0.10454;0.406874
-0.1246;-0.0382338;-0.596857
0.184519;0.271288;-0.58292
-0.227641;-0.0274232;-0.593308
0.0153287;-0.0999343;0.41054
0.131996;0.0207952;-0.593457
-0.229905;0.47076;-0.566776
-0.184483;0.176613;0.418026
0.550281;-0.195084;-0.621092
-0.226559;-0.125026;0.40757
-0.181336;-0.502748;0.381766
-0.267122;0.265137;0.428227
0.114994;0.175667;0.417931
0.0247189;0.301223;-0.587482
-0.0753277;0.0702505;-0.592171
0.118298;0.420948;-0.568546
0.110711;-0.119994;0.401706
0.270433;-0.102429;-0.603917
0.268001;-0.509948;-0.626084
-0.258673;-0.0871585;0.406063
-0.0766212;-0.0261228;-0.599144
-0.27532;-0.271043;-0.606072
-0.242992;0.252723;-0.577545
-0.22591;-0.101586;-0.59558
0.124218;0.288575;-0.576004
-0.0699605;0.0221529;0.406126
-0.0431258;-0.565333;-0.627291
0.15014;0.460731;-0.570297
0.204414;0.347766;0.420485
0.227428;-0.173398;0.397769
-0.261091;-0.0308195;-0.593343
-0.29967;0.323102;-0.56902
0.113359;-0.0300961;-0.604008
0.126836;-0.00442067;-0.595333
0.272304;0.00834154;-0.600913
0.380142;-0.280974;-0.618599
-0.310669;0.208495;0.424137
-0.0947693;0.121658;-0.592127
0.199436;-0.0160623;-0.593886
0.346874;-0.0369819;-0.599882
-0.265155;-0.107793;0.407278
0.134114;-0.210547;-0.605051
-0.242961;-0.00690444;-0.59208
0.117734;-0.0372628;0.406898
0.296728;0.246548;0.415541
-0.2847;-0.0335981;-0.592031
-0.0505248;0.409706;-0.578202
-0.21835;0.224703;-0.577773
-0.246592;-0.327913;-0.607391
-0.222295;0.454019;-0.564868
-0.257516;0.170878;-0.58274
-0.242793;-0.130805;-0.599316
-0.195274;-0.0735922;0.406494
-0.119913;-0.14489;-0.604166
0.0195962;-0.400786;0.390984
0.360637;0.23015;0.407091
0.105103;-0.0954305;-0.597389
-0.267326;-0.0298648;-0.59234
-0.0880075;0.260353;-0.584121
0.411914;-0.0519221;0.393674
-0.192978;-0.116431;0.406033
0.0804915;0.012276;-0.593129
-0.0977116;-0.0672966;0.400221
-0.0868072;-0.134188;0.402591
0.359193;-0.968432;-0.653609
0.38682;-0.184106;-0.613932
-0.0813725;-0.408944;-0.623151
-0.230232;-0.0109266;-0.590283
0.278519;0.230192;-0.584913
0.14398;-0.148449;0.398574
0.240039;-0.0580255;0.399032
-0.216917;-0.0933848;0.404037
-0.00765017;0.533439;-0.572869
0.0495858;-0.160721;-0.598545
0.14634;-0.157075;0.39931
-0.260817;-0.106326;0.407371
-0.0873528;0.00864899;-0.595295
-0.199824;0.210626;0.420057
-0.268577;-0.0665677;0.409624
-0.304349;0.291665;0.428431
-0.219633;0.328423;-0.573646
0.416788;-0.480164;-0.630797
-0.235577;0.0962455;-0.587626
-0.173259;-0.232261;-0.605216
-0.268459;-0.107108;0.407357
0.0760099;-0.169294;0.401353
-0.129033;0.0473131;-0.594451
-0.0923072;-0.0594777;0.404565
0.295749;0.0212945;0.401345
0.0112842;-0.0870263;0.408825
-0.254476;-0.00911207;-0.589844
0.17344;-0.247486;0.391806
-0.155566;0.149625;0.415395
0.132392;-0.591522;0.36697
0.117647;-0.0445761;0.406168
-0.117669;-0.862901;0.358001
-0.15972;0.0172173;-0.593524
-0.230633;-0.222706;0.396432
-0.224883;0.188722;0.419638
-0.265994;0.00537283;0.411051
0.112535;0.0639334;-0.589864
-0.239831;-0.52486;0.380435
0.0856573;0.421432;0.4333
-0.302444;-0.0526668;0.409313
0.106257;0.389095;0.42961
-0.217416;-0.32401;0.395933
0.0991026;0.44843;0.431397
-0.192443;-0.164165;-0.603104
-0.256344;0.131259;0.417637
-0.201028;-0.0623225;-0.593395
0.346219;-0.0583623;0.397494
0.212869;0.0464976;-0.59308
0.186354;0.26517;-0.585176
0.18427;0.207019;0.416976
-0.226216;-0.110773;0.405953
0.258071;0.33235;0.418066
-0.260966;0.107712;-0.583955
0.124685;0.154559;0.414269
0.241353;-0.0858429;0.400324
-0.0952601;-0.114254;-0.603358
-0.0628791;-0.386647;-0.613193
0.196389;0.101828;-0.588909
