x;y;z
-5.096882830410211e-10;8.540149538723861e-17;-1.1272841865275137e-12
-3.043861272789273e-15;8.920631727127159e-15;-3.4907915204799325e-18
-7.628484602090636e-17;3.036790044628161e-19;2.1485141098880448e-17
4.57067396787125e-14;-2.6612371525975907e-18;1.8922288643022033e-14
-4.744019779334523e-18;-3.0426168519634554e-18;-4.424173893237674e-17
-7.891805969568316e-18;-5.276174525601788e-18;1.4194922237222387e-17
-5.717811207145429e-17;1.0175388468145463e-17;2.906158130628684e-17
9.814740166425029e-17;2.0033568922058926e-16;-5.109231269433015e-17
1.704859127135694e-14;-2.7483471192708357e-17;-1.5960521588785919e-13
-6.03900610074426e-17;7.19017715683406e-18;-2.4403019210396393e-18
8.326551731686389e-15;-1.0337997872086912e-14;3.2291905329802086e-13
-1.9081958235748024e-17;2.813717576293742e-13;-4.2358423626293064e-17
9.714451463454146e-17;-2.3167492533932376e-15;-7.860465750589122e-18
6.938893903907228e-17;2.385469772594724e-18;7.421363870663278e-17
1.6653345369377348e-16;3.974605490295258e-17;3.491130995403324e-17
-2.1627184347451246e-15;-5.651066093443396e-13;7.54046787308401e-17
-4.440892098500626e-16;2.376139175285126e-18;3.0357660829594124e-17
1.1524132012326763e-20;-4.7212584161903886e-17;1.5612567572781635e-17
-0.31356707516194093;2.0909527234923534e-17;2.4090005158848902e-06
-2.1015123532208855e-16;0.00012593400334952114;-3.5722807733035028e-16
5.650926974797804e-16;1.6396293967939495e-12;2.1404136412393212e-16
-2.878978926456082e-13;7.478065309916429e-18;3.993025030341353e-12
-7.795750751543989e-17;4.760878574243761e-17;-2.131237998004201e-16
4.697382218695765e-14;3.670891698890759e-17;-8.284946043886826e-15
1.7408533631052706e-18;1.3332933862639334e-17;-1.3877756190729838e-17
-2.6019952351103133e-18;-9.945013815567359e-18;3.053113738448972e-16
9.537399688449437e-18;-3.780985559395429e-17;-7.771461118797979e-16
-3.9094350766914895e-18;-1.698627459873045e-15;5.257733863389298e-16
-3.694453183615387e-11;-2.2295854171808403e-18;2.205007567677517e-09
-1.7347555733287233e-18;-1.2756316235476125e-17;1.665336649589598e-16
8.419767095056128e-19;-1.2970477794521135e-13;2.305280994560988e-17
-1.0842138387381451e-18;-2.8628866583793e-17;5.551115583843916e-17
4.609040117502216e-19;-9.902032128024033e-18;-6.879571291060895e-17
5.594651089491368e-17;4.616674632083027e-17;-1.508557542752087e-15
2.1684026663880207e-19;2.976812590002039e-17;-1.7347225645068573e-17
-1.0301549730030624e-22;-5.1811310861942294e-17;-8.667442551369797e-18
-4.06610824767181e-20;-2.7891100844738463e-17;8.675587615855292e-19
1.3504073456622401e-16;4.50798553987223e-15;5.064494161767022e-18
-9.000468645022034e-20;-1.956963562651549e-17;2.75016838361955e-18
3.392908630615251e-20;-2.927345777467215e-17;-1.6609444540599786e-19
2.400137945331531e-19;-1.2358833767381998e-17;-1.0267367048251481e-19
-2.054090272196698e-19;-2.104932865401415e-14;3.697960530548689e-19
-1.6263032977612416e-19;1.8865117839072628e-17;-1.0842018960761186e-19
-1.318327412736813e-16;-1.552743699123981e-17;1.5177975560881776e-14
-7.632100761270324e-20;3.977136231332985e-11;-1.6124718896094314e-18
3.252606492149809e-19;6.245004521286353e-17;-1.0842022839884234e-18
-2.2478576885107372e-18;4.14998800786603e-17;-4.116430441219338e-17
3.537664046885135e-18;2.6804078845562082e-14;-4.689087686278591e-16
-3.794695471617942e-19;-6.678691397791755e-17;3.2536567779392414e-19
-1.0841264352383115e-19;4.250051785740871e-17;2.437730907825642e-19
4.0686039403489453e-20;-9.627749862552245e-17;-1.3557372024917976e-19
6.112208761710705e-18;-2.0726665799912535e-13;2.788473547083308e-20
2.0265551014669386e-15;-5.545070074328237e-17;8.183663831795189e-13
-8.294071854147055e-17;3.562899228264207e-14;-1.5635040200887655e-19
-2.0942847941487013e-17;1.4660605246119116e-12;-3.241006511281459e-20
-1.014008200431938e-15;3.454953951774365e-16;1.170188526758836e-13
-1.7271138602678865e-13;3.7507373876909735e-16;5.375833712352943e-11
2.0003825018124504e-15;1.010195548647683e-16;1.848297206154395e-13
7.151186322057437e-20;2.514953210915175e-16;6.971837699745945e-21
2.177314084913733e-15;5.653176097497204e-16;8.395289677034784e-15
0.0;-1.1102230246251565e-16;3.3881317890172014e-21
-1.7051489180530515e-25;2.3602847695535573e-21;1.6941922037173124e-21
1.557360228917706e-21;2.6455363680341544e-17;1.3878601363999011e-21
5.717522105542091e-11;2.9492450839462285e-17;3.231324857591898e-09
-6.155618143738604e-14;4.089880129906565e-17;1.0373707420209929e-11
3.7707585090062756e-27;-1.7343908711953784e-18;-1.5881333186402083e-22
-3.3975655835757826e-27;-3.0473276334079907e-22;5.293493583516688e-23
-6.384603372676328e-18;-5.871653554523626e-09;-1.0815517232306353e-20
2.1533013051993062e-16;5.496154156897163e-10;5.126354932972543e-19
-6.659724266269569e-24;3.1384558694609193e-19;-1.718587491592778e-24
-5.14549515184961e-23;3.9381348284113153e-19;4.122648276629227e-21
3.215634134286574e-24;-2.2092821296281746e-19;-3.3395627748095524e-24
-1.8281747142253176e-09;1.9458561029729875e-19;-6.6263250804638645e-12
-7.5095446189087e-15;-4.333965858957031e-06;-1.6032204101888817e-17
3.3173047494100334e-23;5.74775791681995e-20;-1.399693820154354e-22
-1.5809977795898442e-24;-9.061899258203719e-20;-8.75984276225272e-25
-6.011096411845774e-23;-5.663901982554829e-21;4.762795556403162e-21
4.1044524925236345e-10;-4.843421092674351e-21;-2.0054505324498616e-12
-2.9571187680532284e-23;1.486300943574151e-21;-6.94480519132527e-25
-1.9029943099656867e-14;-1.80150951826655e-08;-4.4423407933524907e-17
3.2311742677852644e-27;6.352747104407253e-22;3.2311742677852644e-27
-3.767373583983233e-17;-2.0652821526615873e-14;-2.409514081390862e-16
7.850015138897364e-24;-1.0304367413704146e-22;-6.267062083830652e-22
4.249063051851676e-13;-1.4258873147921745e-20;1.9059926598346714e-11
9.907377078329384e-20;1.5100243595316817e-15;1.5185425087464456e-20
-2.9315609830105817e-23;1.0449021503387924e-23;2.4726576908740162e-23
2.700552662394089e-11;-5.601539608861052e-19;9.423367624851898e-10
1.0635552338634424e-18;-7.742729406074847e-14;1.97118475468588e-20
1.3135702668962573e-09;3.600662045428723e-20;-4.3296700314462687e-13
-2.6483757060521005e-22;5.819531816096376e-21;1.7334949567223136e-20
-1.5059181944864337e-26;1.966273563243529e-26;-2.1090308123323567e-27
4.6879768444349814e-15;1.0703942237663805e-12;6.763275943468423e-18
-7.289165070223195e-22;1.0587536765655119e-16;-4.4447037827144235e-23
-1.1446922142176497e-12;3.810341367822486e-20;8.881820750846148e-09
4.46088400779999e-22;-4.6699489808722957e-20;-3.945960293945699e-24
-2.7680953785768444e-26;8.297474779291715e-25;1.1891864126587678e-26
-2.5482292492505006e-25;4.4353013876396244e-26;-6.890710627147298e-27
-1.8210270221404584e-23;1.9313752213231407e-22;2.4112002178298135e-22
