x;y;z
0.00294444;-0.00370767;-0.00210275
0.00294445;-0.000207263;-0.00382786
0.00294445;-0.000107172;-0.00290755
0.00294444;-0.00317269;0.000750916
-0.00448602;0.000687136;0.00566096
-0.00448602;0.00339452;-0.000562178
-0.00448601;0.00531615;0.00646771
0.00294445;-0.000555016;-0.00528221
0.00294444;-0.00318901;0.000174598
-0.00448602;0.00307902;-0.00159409
0.00294445;0.000126687;-0.00194353
0.00294445;9.46389e-05;-0.00109211
0.00294445;0.000171244;-0.00131028
-0.00448602;0.00378735;0.000497607
-0.00448602;0.00345317;-0.000812853
0.00294446;0.0031574;-0.00627147
-0.00448602;0.00333373;-0.00170197
-0.00448602;0.00108199;0.00666929
0.00294444;-0.00337251;0.00078554
0.00294445;-0.000784411;-0.00578471
0.00294445;0.000164239;-0.00147463
0.00294444;-0.00348737;-0.000248381
0.00294445;0.000141499;-0.0025568
0.00294444;-0.00364539;-0.000775725
-0.00448602;0.00292708;-0.00320867
-0.00448602;0.00337676;-0.00134364
-0.00448602;0.0027979;-0.00341127
0.00294445;-6.39449e-05;-0.00291498
0.00294444;-0.00316438;0.00156316
-0.00448602;0.00305538;-0.00254614
0.00294445;-0.000574533;-0.00511546
-0.00448602;0.0035083;-0.000319432
-0.00448602;0.00350787;-0.00041711
0.00294444;-0.00305365;0.00244843
-0.00448603;0.000380572;0.00461546
-0.00448602;0.00278167;-0.00322631
-0.00448602;0.00119207;0.00654847
0.00294445;-0.000487006;-0.00509907
-0.00448602;0.00266919;-0.00400535
-0.00448602;0.0032169;-0.00157004
-0.00448601;0.00461995;0.00391957
0.00294445;-0.000290137;-0.00423977
-0.00448602;0.00304105;-0.00277574
0.00294444;-0.00298791;0.001483
0.00294445;-0.000270191;-0.00388177
-0.00448602;0.00264609;-0.00376034
0.00294445;-0.000578939;-0.00557527
0.00294445;0.000509673;0.000482752
-0.00448602;0.0033377;-0.000914072
-0.00448602;0.00300359;-0.00286674
-0.00448601;0.00426777;0.0031582
0.00294446;0.00356517;-0.00341039
0.00294444;-0.00335422;0.000975918
0.00294445;-0.000162766;-0.003791
0.00294445;-0.000210411;-0.00373155
0.00294444;-0.00349994;0.00010247
0.00294444;-0.00323314;0.000452402
0.00294444;-0.00265861;0.00255446
0.00294445;0.000185343;-0.00198219
0.00294445;-0.00170585;0.00596658
0.00294444;-0.00299876;0.000952592
-0.00448603;0.000375433;0.00328911
-0.00448602;0.00369782;-4.49115e-05
0.00294444;-0.00332445;0.000804052
0.00294444;-0.00328234;0.00131779
-0.00448602;0.000723554;0.00569719
-0.00448602;0.000940427;0.0064525
0.00294445;-0.000468956;-0.00458749
0.00294445;-0.000232343;-0.00358678
-0.00448602;0.00365033;-0.000243381
-0.00448602;0.0028694;-0.00286407
-0.00448601;0.004182;0.00191207
0.00294444;-0.00345216;-0.000588771
0.00294445;-0.000347783;-0.00365328
-0.00448602;0.00316715;-0.00164209
-0.00448602;0.00323871;-0.00191274
-0.00448602;0.00332098;-0.00142603
0.00294444;-0.00337895;0.000475963
0.00294445;-0.000412957;-0.00484912
0.00294445;-0.000228274;-0.00262822
0.00294446;0.00375888;-0.0033171
0.00294445;-0.000202988;-0.00386287
-0.00448602;0.0035031;-0.00041978
0.00294445;-0.00236297;0.00429611
0.00294445;0.000424503;0.000146643
-0.00448602;0.00387349;0.0011497
0.00294444;-0.00316148;0.0012622
0.00294445;-0.000194527;-0.00335701
0.00294444;-0.00347607;-0.000595942
-0.00448602;0.00402075;0.00236277
-0.00448602;0.00167826;0.00898771
0.00294445;-0.000288587;-0.00329462
0.00294444;-0.00101892;-0.00676486
0.00294444;-0.00354311;-0.000573933
0.00294445;-0.000340266;-0.00450115
-0.00448602;0.00360303;0.000188826
-0.00448603;0.000239222;0.00303523
-0.00448602;0.00339315;-0.00119536
0.00294444;-0.00346843;-0.00125173
-0.00448603;0.00024398;0.00273568
-0.00448602;0.00267808;-0.00345244
0.00294445;-0.000361688;-0.00411553
-0.00448601;0.00309028;0.0152346
0.00294445;-0.000199073;-0.0039414
0.00294445;0.000299953;-0.00197444
0.00294445;-0.000786294;-0.00600869
0.00294444;-0.00357553;-0.000778055
-0.00448602;0.00356301;0.00113264
-0.00448602;0.0038748;0.001509
-0.00448603;-5.5204e-06;0.00171312
0.00294444;-0.00289735;0.00136545
-0.00448602;0.000772053;0.00538186
-0.00448602;0.00163848;0.00815049
0.00294445;-0.000330641;-0.00445605
-0.00448602;0.00358875;0.000524907
-0.00448602;0.0032707;-0.00191376
-0.00448602;0.00291191;-0.00288201
-0.00448602;0.00332783;-0.00144958
-0.00448603;0.00017542;0.00231417
0.00294445;6.73279e-05;-0.00197454
-0.00448601;0.00434113;0.00307405
-0.00448603;1.80902e-05;0.00204492
0.00294444;-0.0035668;-3.47663e-05
0.00294445;-0.00202972;0.00499312
-0.00448602;0.00307002;-0.00242662
-0.00448602;0.00266475;-0.00404685
-0.00448601;0.00445987;0.00466382
-0.00448602;0.000583939;0.00385287
-0.00448602;0.000579215;0.00483923
-0.00448602;0.00130014;0.00782677
0.00294445;-0.000927323;-0.00674196
-0.00448602;0.00340022;-0.000249574
-0.00448602;0.00131702;0.00663951
-0.00448602;0.00173838;0.0091144
0.00294445;-0.000432109;-0.00492597
-0.00448602;0.000583986;0.00372302
-0.00448602;0.00318618;-0.00196562
0.00294444;-0.00327808;0.000102439
0.00294444;-0.00316979;0.00182284
-0.00448602;0.00306851;-0.0026273
-0.00448602;0.00322976;-0.000437735
-0.00448602;0.00302454;-0.00237546
-0.00448602;0.00346769;-0.00116228
-0.00448602;0.00282915;-0.00297709
-0.00448602;0.00283738;-0.00313064
-0.00448602;0.00318456;-0.00195896
0.00294445;-0.00022349;-0.00379487
-0.00448602;0.00394392;0.00130434
0.00294444;-0.0032269;-0.000437323
0.00294444;-0.00300135;0.00284267
-0.00448602;0.000527215;0.00342611
-0.00448602;0.00315857;-0.00221061
-0.00448602;0.00334513;-0.000418161
0.00294445;-0.00204398;0.00632554
0.00294445;-0.000201523;-0.00369525
-0.00448603;0.000221538;0.00234145
0.00294445;0.000209906;-0.00155574
0.00294445;0.00063223;-0.000240681
-0.00448602;0.00228462;0.0108228
-0.00448602;0.00114618;0.0073956
-0.00448602;0.0039;0.00150889
-0.00448602;0.00315613;-0.00202649
-0.00448602;0.000565185;0.0046869
0.00294444;-0.00268292;0.00238967
0.00294444;-0.00299323;0.00201271
0.00294445;-0.000130637;-0.0035062
-0.00448602;0.00330596;0.000103608
-0.00448603;0.000333763;0.00232266
0.00294444;-0.00293241;0.0015492
0.00294445;-0.000372548;-0.00467701
-0.00448602;0.00368184;0.000638828
0.00294445;-0.000541205;-0.00481397
0.00294445;-0.000499785;-0.00515487
0.00294444;-0.00100185;-0.00694103
-0.00448602;0.00297046;-0.00258319
-0.00448602;0.00169262;0.00936618
-0.00448602;0.00298071;-0.00253191
-0.00448602;0.00360026;-0.000197173
0.00294445;-0.000452705;-0.00498904
0.00294444;-0.00320935;6.06518e-05
-0.00448602;0.00341341;-0.000467256
0.00294445;3.72836e-05;-0.00220312
0.00294445;-0.00253464;0.00377222
0.00294444;-0.00349116;-0.00129523
-0.00448602;0.00309832;-0.00235923
0.00294444;-0.00296813;0.00153689
0.00294445;-0.000242252;-0.00357029
0.00294446;0.00170769;0.00483401
0.00294444;-0.00329853;8.50942e-05
0.00294445;0.000638496;-0.000480888
-0.00448602;0.00354992;-0.000257872
0.00294445;-0.00025562;-0.00405088
0.00294445;-0.000625323;-0.00519651
0.00294445;-0.000555018;-0.00530789
-0.00448603;0.000165402;0.00232213
0.00294445;3.97601e-05;-0.00318651
0.00294444;-0.00384786;-0.00186326
0.00294445;-0.000642335;-0.00577969
0.00294444;-0.00363879;-0.00116094
0.00294445;-4.47652e-05;-0.00342784
0.00294444;-0.00389101;-0.00185449
-0.00448602;0.00341734;-0.00089381
0.00294445;-0.000668308;-0.00557925
-0.00448602;0.00368078;-3.26652e-05
0.00294445;-0.00205665;0.00574021
-0.00448602;0.000479042;0.00406078
-0.00448603;7.69015e-05;0.00266257
0.00294444;-0.00337251;0.000321422
0.00294445;-0.000170193;-0.00377898
0.00294444;-0.00330789;0.00108914
-0.00448602;0.00321019;-0.00200819
0.00294444;-0.0035217;-0.000548271
0.00294444;-0.00288084;0.00232825
-0.00448602;0.00359755;0.00039854
-0.00448601;0.00526576;0.00605575
-0.00448603;0.000336284;0.00345759
0.00294444;-0.00361091;-0.000874681
-0.00448602;0.00382456;0.00109773
0.00294444;-0.00614715;0.00428294
0.00294445;-0.000429303;-0.00385597
0.00294445;-0.0024387;0.00364096
0.00294446;0.00179908;0.00525971
0.00294445;0.000965134;0.00131275
0.00294445;0.000224662;-0.00170495
0.00294445;0.000463179;-0.00053746
0.00294445;0.000112841;-0.00248581
-0.00448602;0.000456507;0.00410918
-0.00448603;0.000278365;0.00280616
-0.00448602;0.00328978;-0.00179596
0.00294445;-0.000127695;-0.00359087
0.00294445;-0.000525125;-0.00523306
-0.00448602;0.00334899;-0.00160099
-0.00448603;-6.57466e-05;0.000856604
-0.00448601;0.00427063;0.00266168
0.00294444;-0.00329483;2.85287e-05
-0.00448602;0.00300083;-0.00209724
0.00294445;-5.56938e-05;-0.0031647
0.00294445;-0.000758807;-0.00553625
0.00294445;-0.00181638;0.00690497
0.00294446;0.00328917;-0.00466941
0.00294445;-0.000453883;-0.00470148
-0.00448602;0.00345542;-0.000204376
0.00294445;-0.000253785;-0.00390646
0.00294445;-0.000312123;-0.00389235
0.00294445;9.30694e-06;-0.00223934
0.00294445;-0.00010833;-0.00252283
0.00294445;-0.00245716;0.00594865
0.00294445;-0.000201433;-0.0037031
-0.00448602;0.0034131;-0.00125301
-0.00448602;0.000676021;0.00497311
0.00294445;-9.38009e-06;-0.00310577
-0.00448602;0.00326122;-0.00156745
0.00294445;0.000105971;-0.00256599
0.00294445;-0.000228661;-0.0037817
0.00294445;-0.000275072;-0.00378756
-0.00448603;5.70077e-05;0.00120572
0.00294444;-0.00318455;0.00147772
0.00294444;-0.00349323;-0.000663363
0.00294444;-0.00328485;0.00087027
-0.00448602;0.00129135;0.00730044
0.00294445;0.000165654;-0.00225492
-0.00448602;0.00335582;-0.00112483
0.00294444;-0.00346207;-0.000324622
0.00294445;-0.000665892;-0.00477941
0.00294445;-0.000501463;-0.00422267
0.00294444;-0.00384108;-0.00247159
-0.00448602;0.00331721;-0.00159989
0.00294445;0.000585585;0.000757277
0.00294445;0.000110154;-0.00126699
-0.00448602;0.00350081;-0.00078922
-0.00448602;0.00360037;7.48036e-05
-0.00448603;5.46187e-05;0.00168536
0.00294445;-3.81412e-05;-0.00109539
0.00294445;-7.10057e-05;-0.00282672
0.00294445;-0.000661975;-0.00524255
0.00294445;1.21304e-05;-0.00234215
-0.00448603;0.000320331;0.00314035
0.00294445;-0.00081409;-0.00612409
-0.00448602;0.000412491;0.00313743
0.00294444;-0.00290708;0.0014259
0.00294445;-0.00065675;-0.00550095
-0.00448602;0.000774487;0.00516736
0.00294445;0.000432826;-0.00102481
0.00294445;-0.000245078;-0.00387824
0.00294444;-0.00269966;0.00234877
0.00294444;-0.00328905;0.000856027
-0.00448602;0.00371678;0.000723803
0.00294445;-0.00230361;0.00466695
0.00294445;-2.54881e-05;-0.00319127
0.00294444;-0.00294115;0.00221104
-0.00448602;0.00266365;-0.00376789
0.00294445;-0.000882568;-0.00653009
-0.00448602;0.000930715;0.00550591
-0.00448602;0.00327191;-0.00159987
-0.00448602;0.0027255;-0.00350882
-0.00448602;0.00385771;0.000866373
0.00294444;-0.00372109;-0.00177289
0.00294444;-0.00264406;0.00274772
0.00294444;-0.00317512;0.000608906
-0.00448602;0.00320218;-0.00142555
-0.00448602;0.00375576;0.000919824
0.00294445;-0.000560646;-0.0044285
0.00294444;-0.00299561;0.00169199
0.00294445;-0.000446574;-0.00488356
0.00294445;-0.000548366;-0.00506847
0.00294445;-0.000873228;-0.00619183
0.00294444;-0.00327162;0.000405081
0.00294444;-0.00368479;-0.00174621
-0.00448602;0.00153478;0.00862441
0.00294445;-0.000739831;-0.00577368
0.00294444;-0.00321319;0.000728145
0.00294444;-0.00273742;0.00226546
-0.00448602;0.00344703;-0.000186415
0.00294445;-0.00230987;0.00485633
-0.00448602;0.00316505;-0.00207376
-0.00448602;0.00319203;-0.00213463
0.00294445;9.71064e-05;-0.00198495
0.00294444;-0.00289852;0.00296757
0.00294445;-0.00248889;0.00391624
-0.00448602;0.00291694;-0.00269456
-0.00448602;0.0037046;0.000155336
0.00294445;0.00027815;-0.00194218
-0.00448602;0.00308081;-0.00247685
0.00294444;-0.00354649;-0.00119108
0.00294445;0.000364334;-0.0011871
-0.00448602;0.00368755;0.00106857
0.00294444;-0.0029611;0.00178591
0.00294444;-0.00281473;0.00180905
-0.00448602;0.000504659;0.00494018
-0.00448602;0.00116878;0.00620409
0.00294444;-0.00321906;0.000596505
0.00294445;0.000126554;-0.00165591
0.00294445;-0.000277126;-0.00404293
0.00294444;-0.00314936;0.00137236
-0.00448602;0.00307479;-0.0024062
0.00294445;0.000231315;-0.00201781
0.00294445;0.000348579;-0.00144394
0.00294445;-0.000740162;-0.00536466
0.00294444;-0.0033135;-0.000166834
0.00294445;-0.000524244;-0.00451993
0.00294445;-0.000695792;-0.00525247
-0.00448602;0.00335383;-0.000683418
0.00294445;-0.000316256;-0.00408075
-0.00448602;0.000641564;0.00418219
0.00294445;2.85473e-05;-0.00295008
0.00294445;-0.000623894;-0.00521332
